aachen	a khen
hilverding	hin phéc đinh
himalaya	hi ma lay a
himmler	him lơ
hindenburg	hin đen bớt
hindu	hin đu
hinshelwood	hin seo gút
hipparkhos	híp bác khốt
hippocrate	híp bốc rát
hippolutos	híp bô lu tốt
hirado	hi ra đô
hirohito	hi rô hi tô
hironaka	hi rô na ca
his	hít
hisinger	hi xin gơ
hitchcock	hít cóc
hittites	hít tít sờ
hlag	hu la gu
ho	hơ
hoban	hơ bơn
hobbes	hốp xơ
hoboken	hô bô cơn
hodgkin	hốt kin
hofmannsthal	hốp man xờ than
hohe	hô hơ
hokkaido	hóc cai đô
hokusai	hô cu xai
holbach	hôn bách
holberg	hôn bớt
homs	hom xơ
honam	hô nam
honduras	hôn đu rát
honecker	hô nếch cơ
honiara	hô ni a ra
honolulu	hô nô lu lu
honshu	hôn su
hooft	hốp tơ
hooke	húc
hoover	hu vơ
hopper	hốp bơ
horatius	hô ra ti út
horn	hon
horowitz	hô rô vít
horsham	ho sam
horthy	hót ti
horton	ho tơn
host	hót sờ
houston	hao sờ tơn
howard	ho quát
huambo	hu am bu
hubble	húp bô
hudson	hút xơn
huhhot	hu hốt
hulagu	hu la gu
humboldt	hum bôn
hume	hi um
humphrey	hăm phờ ry
huron	hu rôn
huss	hút
husserl	hút xen
huston	hút xờ tơn
hutcheson	hắt chi sơn
hutton	hớt tơn
huxley	hơ xờ ly
huygens	huy ghen
huysmans	huy sờ man
hviezdoslav	hơ vi ét đót sờ láp
hydaspes	hi đa xờ bơ
hyderabad	hai đơ ra bát
hystaspes	hi sờ tát sờ bê
iaxarte	la xác
iberique	i bê rích
ibn	i bơ
ibsen	íp sen
idris	i đờ rít
idrus	i đờ rút
ife	i phê
ifni	íp ni
igarka	i gác ca
ijselmeer	i xen me
ijssel	i xen
ilissos	i li xốt
illinois	i li noi
iloilo	i lôi  lô
imhotep	im hô tép
imperator	im bơ rây tơ
inchon	in chơn
indalslven	in đan sen ven
indiana	in đi a na
indostan	in đốt sờ tan
indravarman	in đờ ra vác man
ingold	in gôn
ingria	ing ri
inigo	i ni gô
innocentius	in nô xen ti út
innocento	in nô xen tô
innsbruck	in xơ bờ rúc
inquart	in quát
ioffe	i ô phê
ionie	i ô ni
ios	lốt
ipoh	i bô
iquitos	i ki tốt
irbid	ơ bít
irishun	i ri sun
irrawaddy	i ra quát đi
isaacs	i giắc
isaakievskij	i sa ki ép sờ ki
isabella	i sa ben la
isakovich	i xa cô vích
ishikotrau	i si cô trau
isla	i sờ la
ismail	i sờ meo
issarak	i xa rắc
issus	i xút
issyk	i sít
istanbul	ít tan bun
italiana	i ta li a na
ivanov	i va nốp
izalco	i xan cô
izhma	i giơ ma
izmir	i giơ mi a
jacob	gia cốp
jakovson	gia cốp sơn
jamaica	gia mai ca
james	giem
jamuna	gia mu na
jaspers	giáp bơ
jaya	gia da
jayavarman	gia da vác man
jeans	gin sờ
jeantet	gin tét
jeddah	giét đa
jefferson	gie phơ xơn
jehovah	giê hô va
jelgava	gien ga va
jenner	gien nơ
jensen	gian xen
jericho	giê ri cô
jersey	giơ xi
jespers	gie xờ bơ
jevons	giê von
jhelum	giê lum
jima	gi ma
jinja	gin gia
johannesburg	giô han nét xờ bớt
johnson	giôn xơn
johor	giô hô
joliot	giô li ô
jolivet	giô li vê
jordan	giót đan
josephson	giô sép sơn
joule	giun
jouver	giu vơ
joyce	gioi xơ
jubal	giu ban
jules	giu lét
julius	giu li út
junger	giân gơ
jupiter	giu bi tơ
justanian	giu xờ ta ni a
justinianus	giu xờ ti ni a nút
jutland	giút lan
juventud	giu ven tút
kabila	ca bi la
kahler	ca lơ
kaifeng	khai pheng
kalahari	ka la ha ri
kaledin	ca lê đin
kalemegdan	ca lê méc đan
kalimantan	ca li man tan
kalinga	ca lin ga
kalinin	ca li nin
kalmar	kan ma
kama	ca ma
kamakura	ca ma cu ra
kamba	cam ba
kamchatka	cam chát ca
kamerlingh	ca méc linh
kamheng	cam heng
kammu	cam mu
kampot	căm bốt
kanchanaburi	can cha na bu ri
kanchenjunga	can chen giun ga
kandinskij	kan đin xờ ki
kandla	can đờ la
kandy	can đi
kanpur	can bua
kansai	can sai
kansas	can giát
kant	can tơ
kanva	kan va
kaolack	cao lắc
kapica	ca ba ca
kara	ca ra
karachi	ka ra chi
karajan	ca rai an
karakorum	ca ra cô rum
karakum	ca ra cum
karasu	ca ra su
kardiner	các đi nơ
kariba	ca ri ba
karimata	ca ri ma ta
kariora	ca ri ô ra
karl	các lơ
karlovy	các lô vy
karmal	các man
karol	ca rôn
karpates	các bát
karpov	các bốp
karsk	các xờ cơ
kartini	các ti ni
kartli	các li
karuai	ca ru ai
karwendel	các ven đen
kashmir	cát sờ mia
kaspi	cát sờ bi
kassal	cát san
katay	ca tay
kateb	ca tép
katun	ca tun
kaunas	cau nát
kavkaz	cáp ca giơ
kawasaki	ca qua sa ki
kazakh	ka giắc
kazan	ca gian
kazanskij	ka gian xờ ki
kazuo	ca giu ô
kebnekaise	kép nờ cai sờ
keio	keo
keisern	cay sơn
kelani	kê la ni
kelanta	kê lan ta
keller	kê lơ
kellogg	kê lốc
kemal	kê man
kemusu	kê mu xu
kendrew	ken đờ riu
kenema	ke nê ma
kentucky	ken túc ki
kenya	kê ni a
kenyatta	kê ni át ta
keobunphan	keo bun phan
kepler	kếp lơ
kerchen	kéc chen
kerchensteiner	két khen sờ ten nơ
kerki	kéc ki
ketterle	kê tơ lơ
keynes	cây nơ
khabarovsk	kha ba rốp xờ ki
khalifah	kha li pha
khariton	kha ri tôn
kharkov	khác cốp
kherson	khơ sần
khieu	khiêu
khingan	khin gan
khiva	khi va
khler	ke lơ
khmer	khơ me
khorat	kho rát
khorezmi	khô re giơ mi
khorsabad	kho sa bát
khrapchenko	khơ ráp chen cô
khudjand	khút gian
khulna	khun na
kierkegaard	ki ếc cơ gốt
kiev	ki ép
kikuyu	ki quyn
kilauea	ki lau a
kilimandjaro	ki li man gia rô
kinabalu	ki na ba lu
king	kinh
kingston	kinh xờ tơn
kinshasa	kin sa xa
kira	ki ra
kirchner	kiếc nơ
kirenga	ki ren ga
kirensk	ki ren sờ cơ
kiribati	ki ri ba ti
kirill	ki rin
kiriroom	ki ri rum
kirov	ki rốp
kirovabad	ki rô va bát
kirovakan	ki rô va kan
kishinjov	ki sin giốp
kishna	ki sờ na
kismaayo	ki xờ may ô
kissinger	kít sin gơ
kistna	kít na
kisumu	ki xu mi
kitaj	ki tai
kitoj	ki tôi
kitwe	ki tuê
kizilirmak	ca gia lơ mắc
kjeldahl	kiên đan
klajpeda	cờ lai bê đa
klapheck	cờ láp hếch
klee	cờ lê
kleist	cờ lai sờ tờ
klejn	cờ lê in
klitias	cờ li ti át
kljuchi	cờ liu chi
knies	cờ ni sờ
knossos	cờ nô xốt
koblenz	cô bờ len xơ
kobylin	cô bư lin
kocher	cô sê
kodiak	cô đi ắc
koechlin	cô ét lin
kokaral	cô ca ran
kola	cô la
kolamkotta	cô lam cốt ta
kolchak	côn chác
kolguev	côn gu ép
kolhid	côn khít
kolmogorov	côn mô gô rốp
kolnit	côn nít
kolonia	cô lô ni a
kolwezi	côn que gi
kolyma	cô ly ma
komandorskie	cô man đô sờ ki
komer	cô mơ
komoe	cô mô ê
kompong	com bông
konpon	con bon
koobi	cô bi
kooning	cu ninh
kopavogur	cô ba vô gua
kopet	cô bét
kopetdag	cô bét đắc
koppernick	cô béc ních
koppers	cáp bơ
korap	cô ráp
korat	cô rát
korjinskij	cót gin sờ ki
korlsen	cót sen
kosala	kô xa la
kosi	cô si
kosrae	cô xờ ra ê
koster	cốt sờ tơ
kota	cô ta
koudougou	cu đu gu
kouilou	cui lu
kourou	cu ru
koussi	cu xi
kovalevskaja	cô va lép sờ ca gia
kovalevskij	cô va lép sờ ki
kpelle	khờ bê lê
kra	cờ ra
kragujevac	cờ ra gui ê vắc
krasnodar	cờ rát nô đa
krasnoj	cờ rát xờ nôi
krasnojarsk	cờ rát xờ nô giắc
krebs	cờ rép xờ
krein	cờ rê in
krishna	cờ rít na
krisna	cờ ri xờ na
kristiansen	cờ ri xờ ti an xen
kritajasa	cờ ri ta gia sa
kritias	cờ ri ti át
krivoj	cờ ri vôi
kromdraai	cờ rôm đờ rai
kru	cờ ru
kruchinina	cờ ru chi ni na
krupp	cờ rúp
krym	cờ rim
kuala	cua la
kuban	cu ban
kuhn	cun
kuku	cu cu
kulikovo	cu li cô vô
kuljab	cu li áp
kulpe	cun bơ
kumo	cu mô
kunsan	cun san
kunstkammer	cun sờ tơ ca mơ
kura	cu ra
kurgan	cua gan
kuril	cu rin
kurosawa	cu rô sa qua
kurpinskij	cu rờ bin sờ ki
kutaisi	cu tai si
kutuzov	cu tu giốp
kuzneckij	cu giơ nê sờ ki
kuznecov	cu giơ nét xốp
kuznets	cu giơ nét
kyrgyz	ki a ghi giơ
kyrgyzstan	ki a ghít tan
kyushu	kiu su
kyzyl	ki gian
labrador	la bờ ra đô
lacan	la căng
lachaise	la chai
ladoga	la đô ga
lae	la ê
laffite	la phít
lafontaine	la phông ten
laforgue	la phót ghiu
lagash	la ga sờ
lagny	lan hy
lagrange	la răng
lahore	la ho
lake	lếch
lalitpur	la lít bua
lallemand	la lơ man
lama	la ma
lamarck	la mắc
lamartine	la mác tin
lambert	lam bớt
lancelot	lăng xơ lô
land	len
landau	lan đao
lando	lan đô
lane	len
langlois	lăng lo i
lanjuinais	len giuy nê
lanka	lan ca
lansdale	len sờ đên
lanshan	lan san
laperuza	la be ru gia
lapicque	la bích
laplace	la phờ lây
laptev	láp tép
larnaca	lác na ca
lartet	lác tê
las	lát
lascaux	lát sờ cô
lask	lát sờ cơ
laspeyres	lát sờ bây rét
lassalle	la xan
lastman	la xờ tơ man
latour	la tu a
laughlin	láp lin
laurasia	lau ra di a
laurencia	lau ren xi a
lautoka	lau tô ca
lautrec	lô tơ réc
lavoir	la vo a
lavrov	láp rốp
lavrovskij	láp rốp sờ ki
lawrence	lo ren xơ
lazarev	la gia rép
lazarsfeld	la giát phen đơ
lazdinaj	lát đi nai
le	le
leakey	li ki
lebesgue	lơ bét sờ
lebrun	lê bờ rân
lecocq	lơ cốc
lederman	lê đơ men
legien	lê gin
lehmbruck	lem bờ rúc
leipzig	lép gích
lemeshev	lê mê sép
lena	lê na
lenard	lê nác
leningrad	lê nin gờ rát
lenkoran	len cô ran
lennuyeux	len nuy ơ
leon	lê ông
leonardo	lê ô nác đô
leone	lê ôn
leonid	lê ô nít
leonidov	lê ô ni đốp
leontief	lê ôn ti ép
leopardi	lê ô bác đi
lepeshinskaja	lê bê sin sờ ca gia
lepidus	lê bi đút
leriche	lơ rích sơ
lermontov	léc môn tốp
lerne	lơn
leroy	li roi
lesbos	lê sờ bô
lescot	lét xờ cót
leskien	lét sờ kin
lessing	lê xinh
leste	lét tơ
leucippe	lơ xíp
lev	lép
levickij	lê vi xờ ki
levin	lê vin
lewis	li quýt
leyde	lây đơ
leyte	lây tờ
lhote	lốt
liang	li ang
liaodong	liêu đông
liban	li băng
libby	li bi
liben	li ben
libreville	li bờ rơ vin
libye	li bi
liebknecht	li ếp nếch
liepaja	li ê bai a
lietuvos	lít va
liezi	li gi
liguria	li gu ri a
lille	lin
lima	li ma
limmat	li mát
limoges	li mô gét sờ
limpopo	lim bô bô
lincoln	lin côn
lindanise	lin đa nít sờ
lindemann	lin đơ man
lindenmann	lin đen men
lindgren	lin gờ ren
line	lai nơ
linggadjati	lin ga gia ti
lingwu	linh gu
linton	lin tơn
linz	lin xơ
lipchitz	líp sít
lipmann	líp man
lippi	líp bi
lippold	líp bôn
lisboa	lít sờ bo a
lishan	li san
lisickij	li xít xờ ki
lisle	lít lơ
liszt	lít sờ tơ
little	lít tô
live	li vơ
liverpool	li vơ bun
livonia	li vô ni a
ljapunov	li a bu nốp
ljudmila	lút mi la
loango	lô ăng gô
lobito	lô bi tu
lobnor	lốp no
lobos	lô bốt
locarno	lô các nô
loire	lo rờ
lolejt	lô lây tơ
lolland	lon lan
lollobrigida	lô lô bờ ri ghi đa
lomonosov	lô mô nô xốp
london	luân đôn
longa	lôn ga
longin	long gin
loos	lô ốt
lopburi	lốp bu ri
lope	lóp
lorentz	lo ren xơ
lorenzo	lo ren giô
lorrain	lo ren
lorraine	lo ren
lourdes	lua đét sờ
louveciennes	lu vơ xi en nét
lualaba	lua la ba
luanda	lu an đa
luang	luông
luba	lu ba
lubango	lu ban gu
lubumbashi	lu bum ba si
lucasiewicz	lu ca si ê vích
luce	lu xơ
lucerne	lu xéc nơ
lucia	lu xi a
lucien	lu xi ân
luckenwalde	lúc ken van đơ
lucknow	lấc nao
lucky	lắc ki
luhyar	lu da
luigi	lui gi
lukacs	lu các
lukuga	lu cu ga
lully	lu y ly
lumumba	lu mum ba
lunda	lun đa
lunokhod	lu nô khốt
luo	lu ô
luos	lu ốt
lusaka	lu xa ka
lusitani	lu di ta ni
luther	lu thơ
lutoslawski	lu tô xờ láp xờ ki
luxembourg	lu xem bua
lwoff	lơ vốp
lyell	lay eo
lykeios	li cây ốt
lyon	li ông
lysippe	li xíp
maas	ma sờ
maastricht	mát sờ trích
mably	ma bờ li
maccarthy	mác ca thy
macdonald	mác đô nan
macedoine	ma kê đô ni a
machiavelli	ma ki a ve li
maclaurin	mác lô rin
macmillan	mác mi lan
madagascar	ma đa gát sờ ca
madang	ma đang
maddox	ma đốc
madeira	ma đây ra
madinat	ma đi nát
madras	ma đờ rát
madre	ma đờ rơ
madrid	ma đờ rít
madura	ma đu ra
mae	ma ê
maekawa	ma ê ca oa
maestra	ma ét sờ tra
maeterlinck	ma tét lin cơ
magadan	ma ga đan
magdalena	mác đa lê na
magellan	ma giê lan
maggini	ma gi ni
maginot	ma ghi nốt
magnani	man ha ni
magnus	mắc nút
magritte	ma gờ rít
magsaysay	mác xây xây
mahajanga	ma ha gian ga
mahall	ma han
maharashtra	ma ha rát sờ tra
mahathir	ma ha thi a
mahler	ma lơ
maikopskaaj	mai cốp sờ ca
maillol	mai lon
main	men
maio	mai ô
maits	mai sơ
majorca	ma giót ca
makarenko	ma ca ren cô
makarova	ma ca rô va
makeni	ma kê ni
makhachkala	ma khát ca la
makimono	ma ki mô nô
makino	ma ki nô
makoko	ma cô cô
malacca	ma lác ca
malay	ma lay
malebranche	ma lơ bờ răng sơ
malevich	ma lê vích
malherbe	ma léc bơ
malinke	ma lin kê
malinowski	ma li nốp xờ ki
malraux	man rô
malta	man ta
malthus	man thớt
malvinas	man vi nát
malyj	ma lư i
mamalay	ma ma lay
mamburao	mam bu rao
manado	ma na đô
manaut	ma nau
manco	man cô
mandalay	man đa lay
mandela	man đê la
manessier	ma nê xi ê
manet	ma nét
manila	ma ni la
manitoba	ma ni tô ba
mann	man
mannerheim	man néc hem
mannheim	man hêm
mano	ma nô
mantegna	man tê nha
mantova	man tô va
manzini	man gi ni
mar	ma rờ
maracaibo	ma ra cai bô
marano	ma ra nô
marat	ma rát
marc	mác
marcel	mác xen
marcello	ma xe lô
marchais	mác se
marco	mác cô
marconi	mác cô ni
marcos	mác cốt
marcuse	mác cu sơ
mariana	ma ri a na
marienburg	ma ri en bớt
mariette	ma ri ét
marigny	ma rây ni
mariinskij	ma rin sờ ki
marinetti	ma ri nét ti
marino	ma ri nô
mariotte	ma ri ốt
maritain	ma ri tan
marius	ma ri út
marka	mác ca
markelius	mác kê li út
markovo	mác cô vô
marlowe	ma lô
marmara	mác ma ra
marne	mác nơ
maroc	ma rốc
marquet	mác kê
marrakech	ma ra kếch
marseille	mác xây
marsh	ma sờ
martial	mác seo
martin	mác tin
martinez	mác ti nét
martinique	mác ti ních
martinson	mác tin xơn
martos	mác tốt
martov	mác tốp
marvin	ma vin
mary	ma ri
maryland	ma ri len
masaka	ma xa ca
masang	ma sang
masanobu	ma xa nô bu
masaouah	ma sao a
mascara	ma xờ ca ra
mascareingnes	mát sờ ca ren nét
mascate	mác cát
maseru	ma xê ru
mashhad	mát sờ hát
mashonaland	ma sô na len
masina	ma si na
masown	ma xơn
massachusetts	ma xa chu xét
massenet	ma xơ nét
massin	ma sin
massine	ma sin
masson	ma sân
mastroianni	ma xờ tơ rôi an ni
matheron	ma tơ rông
mathieu	ma thi ơ
matisse	ma ti xơ
mato	ma tu
matsumoto	mát xu mô tô
matsuyama	mát xu da ma
matta	mát ta
matveev	mát vê ép
maudao	mau đao
maui	ma u i
mauna	mau na
maupassant	mô ba xăng
maurice	mao rai
maurois	mao rít
maurya	mô ri a
mausole	mao sôn
mavaca	ma va ca
maxwell	mác xoen
maya	ma da
mayen	ma den
mayo	ma dô
mazurie	ma giu ri
mazzini	ma gi ni
mbale	mơ ba lơ
mbete	mơ bê tê
mboshi	mơ bô si
mckinley	mác kin li
mclennan	mác len nơn
mead	mít
mecca	méc ca
mechnikov	mét ni cốp
meckel	méch ken
medan	mê đan
medellin	mê đê lin
medina	mê đi na
medvednica	mét vét ni ca
mefodij	mê phô đi
meghna	méc na
mehring	mê rinh
meidias	mây đi át
meillet	mây lét
meissen	mai sen
meissner	may sờ nơ
meitner	mét nơ
mejicanos	me gi ca nốt
mekong	mê công
melaka	mê la ka
melbourne	meo bơn
melville	men vin
memling	mem linh
menam	mê nam
menandros	mê nan đờ rốt
mendeleev	men đê lê ép
mendelevium	men đe le vi um
mendelsohn	men đen xơn
mendelssohn	men đen xôn
mendoza	men đô gia
menelaos	mê nê lao sờ
mengistu	men gi xờ tu
menuhin	mê nu hin
menzel	men xen
mercator	méc ca to
mercure	mơ cu ri
merle	méc lơ
merritt	me rít
merton	mơ tơn
meseta	mê xê ta
mesopotamie	mê dô bô ta mi
messerer	mê xê rơ
messiaen	mê xi an
messina	mét xi na
mesurado	mê xu ra đô
metagenes	mê ta ghê nét
metro	mê trô
mettecnich	mê téc ních
metternich	mét ten ních
metzinger	mét giăng gơ
metzinzer	mét gianh giơ
meuse	miu giơ
mexico	mê xi cô
meyerbeer	mây ơ bia
miami	mai a mi
mian	miên
michel	mi ken
michelangelo	mi kê lang giê lô
michelozzo	mi kê lô xô
michelson	mai ken xơn
michigan	mi chi gân
michoacan	mi chô a can
mickiewicz	mít ki ê vích
mies	may giờ
miguelito	mi ghê li tô
mikhajlovskij	mi khai lốp sờ ki
miklukho	mi khờ lu khô
milankovich	mi lan cô vít
milhaud	mi lô
mill	miu
millikan	mi li ken
miltiades	min ti a đét
milton	min tơn
milwaukee	mi lau ki
minamata	mi na ma ta
minamoto	mi na mô tô
minas	mi nát
mincus	min cút
mindanao	min đa nao
mindelo	min đê lô
minerve	mi néc vơ
minghe	min ghê
minin	mi nin
minkowski	min cốp sờ ki
minneapolis	min nê a bô lít
minorca	mi nót ca
minos	mi nốt
minsk	min xờ cơ
minusinsk	mi nu xin xờ cơ
mirabeau	mi ra bô
mishan	mi san
miskolc	mi xờ côn
miskovich	mít cô vích
missouri	mít sao ri
mitani	mi ta ni
mitchell	mít chen
mithridate	mi tơ ri đát
mitrofan	mi tơ rô phan
mitterand	mít tơ răng
mitumba	mi tum ba
mjaskovskij	mi da xờ cốp xờ ki
mlaren	me la ren
mller	muy lơ
mlu	mờ lu
moa	mô a
mobutu	mô bu tu
moctezuma	mốc tê giu ma
modigliani	mô đi gờ li a ni
moen	mô en
mogadishu	mô ga đi su
moghol	mốc hôn
mogollon	mô gô li ôn
mohammed	mô ha mét
mohawk	mô hốc
mohenjo	mô hen giô
moholy	mô hô ly
mohs	mô xơ
moinkum	mô in cum
moises	ma sen
moissan	mót sân
moivre	moa vơ rơ
mojave	mô gia vơ
moko	mô ku
molepolol	mô lê pô lon
mollet	mô lét
mollweide	môn quét
molokai	mô lô cai
moluccas	mô lu ca sờ
moncada	môn ca đa
monet	mô nét
monge	mông
mongkut	mông cút
mongo	môn gô
mongoloid	môn gô lô ít
monod	mô nô
montagnier	mông ta nhi ê
montaigne	mông tê nhơ
montana	môn ta na
monte	mông tê
montego	môn tê gô
montelbaan	môn ten ban
montenegro	môn tê nê gờ rô
monterrey	môn tê rây
montesquieu	mông tét ki ơ
montevideo	môn tê vi đê ô
montgomery	môn tơ gô mơ ri
montmorillon	môn mô ri lon
montparnasse	mông bác na xơ
montpellier	mông pê li ơ
montserrat	môn xê rát
mopti	mốp ti
moratuwa	mô ra tu qua
moravie	mô ra vi
moreau	mô rô
morelly	mô reo li
morena	mô rê na
moreno	mô rê nô
moresby	mô re xờ bi
morgan	mo gân
morgenstern	mô ghen sờ tơn
morisot	mô ri giô
morley	mo li
mornay	móc nay
morozov	mô rô giốp
morris	mo rít
morvan	mót van
morzhovetc	mót giô vét
mosel	mo seo
moses	mô sét
moskva	mát xờ cơ va
mossadegh	mốt xa đéc
mossotti	mót sốt ti
mostar	mô sờ ta
motherwell	ma đơ oen
moundou	moan đu
mounier	mu ni ê
mountbatten	mao bát tơn
moustier	mao sờ ti ơ
moutier	mao ti ơ
mudanjiang	mu đan gi ang
mufulira	mu phu li ra
mugabe	mu ga bê
muhammad	mu ha mét
muharrak	mu ha rắc
mujnak	mui nác
mukden	múc đen
mulhacen	mu la xen
mullerup	mu le rúp
munku	mun cu
munsterberg	mun xờ téc bớt
munzer	man giơ
murat	mu rát
murata	mu ra ta
muren	mu ren
murgab	mua gáp
murmansk	mua man sờ cơ
murnau	mua nau
musorgskij	mu sờ óc sờ ki
musset	miu sét
mutare	mu ta rê
mutsamudu	mút xa mu đu
muztag	mu giờ tác
mwanza	mờ quan gia
mweru	mu ê ru
mymensingh	my men xin gơ
myrdal	mi rơ đan
mzuzu	mơ giu giu
nabuchadnezzan	na búc hát nê gian
nabuchodonosor	na bu sô đô nô do
nadar	na đa
nadi	na đi
nagasaki	na ga xa ki
nagel	na ghen
nageli	na ghe li
nagornyj	na gót nai
nagoya	na gô da
nagy	na gi
naha	na ha
nairobi	nai rô bi
najibullah	na gi bu la
nakhitchevan	na khi chê van
nakhodka	na khốt ca
nakhon	na khon
naktong	nác tông
namangan	na man gan
namibia	na mi bi a
nanjing	nan ging
napier	nây bi ơ
naples	náp lơ
napoli	na bô ly
narbada	nác ba đa
narmada	na ma đa
narva	nác va
narvik	na rơ vích
naryn	na rin
naseby	nây dơ bi
nassau	na xô
nasser	na xê
nateville	na tơ vin
natorp	na tóc bơ
natsagdorj	nát sắc đô ri
natsume	nát sư me
natta	nát ta
naur	nao rơ
nauru	nau ru
navarre	na va
nazim	na gim
nazret	na giơ rét
nebraska	nép rát sờ ca
neckar	néc ca
nectanebo	nét tan nê bô
nederland	nê đéc lan
neel	nê en
negina	nê ghi na
negro	nê gờ rô
negros	nê gờ rốt
neiafu	nê i a phu
neiman	nây mơn
neimeng	nây meng
neisse	nai xơ
nelson	nen xơn
neman	nê man
nemirovich	nê mi rô vích
nemunas	nê mu nát
nepal	nê ban
nervi	néc vi
neseby	nét sờ bai
nessler	nét sờ lơ
netzahualcoyotl	nê xa hu an coi ốt
neumann	niu man
nevada	nê va đa
nevado	nê va đo
nevanlinna	ne van lin na
nevis	nê vít
nevskij	nép xờ ki
newcastle	niu cát sô
newland	niu len
newman	niu man
newport	niu bót
ngozi	nơ gô gi
nhlangano	nhơ lan ga nô
niagara	ni a ga ra
niassa	ni a xa
niccolo	ni cô lô
nickerie	nít ke ri
nicobar	ni cô ba
nicol	ni con
nicolas	ni cô lát
nicolaus	ni cô la út
nicosthenes	ni cô xờ tê nét
niebuhr	ni bua
niedere	ni đê rơ
niepce	ni ép xơ
nihon	ni hon
niigata	ni i ga ta
niki	ni ki
nikolaevsk	ni cô la ép xờ cơ
nimes	ni mơ
nineveh	ni nê ve
ninigi	ni ni gi
ninive	ni ni vơ
nipkow	níp cốp
nirari	ni ra ri
niue	niu ê
njaris	ni a rít
nkayi	nơ cay
nkomo	nơ cô mô
nkrumah	nơ cờ ru ma
noami	no a mi
nobel	nô ben
nogier	no gi ơ
noguchi	nô gu chi
noi	noi
nolde	nôn đơ
nome	no mơ
nonghed	non hét
nono	nô nô
nonthaburi	non tha bu ri
noort	nóc tơ
norfolk	nơ phóc
normandie	nót măng đi
norodom	nô rô đôm
norrish	no ri sơ
nosavan	nô xa van
nou	nao
nouhak	nu hắc
noverre	nô vơ
novgorod	nốp gô rốt
novi	nô vi
novo	nô vô
novonikolaevsk	nô vô ni cô la ép sờ cơ
novorossijsk	nô vô rô xi xờ cơ
novosibirsk	nô vô si bia sờ cơ
nubie	nu bi
nukualofa	nu ku a lô pha
nukunono	nu ku nô nô
nukus	nu cút
numidie	nu mi đi
nuremberg	nuy rem bớt
nyala	ni a la
nyasa	ny a sa
nyquist	nai quýt
octavianus	ác ta vi a nút
octavius	óc ta vi út
odense	ô đen xê
ogden	óc đơn
okazaki	ô ka gia ki
oldenburg	ôn đen bớt
omoloj	ô mô loi
ongbah	ong ba
ongole	on gôn
onnes	on nét
oppenheim	ô ben hai mơ
orange	o rin giơ
ordos	ót đót
orloj	ót lốp
ormandy	ót măng đi
ormuzd	ót mút
ouzen	ô gian
oxford	ót xờ phớt
padang	ba đang
padova	ba đô va
paeroa	bê roa
pagan	ba gan
pago	ba gô
pahang	ba hang
pahlavi	ba la vi
paimio	bai mi ô
paiva	bai va
pajot	ba giô
pak	bắc
pakse	bắc xê
palace	ba lát xơ
palade	ba lát
palau	ba lau
palermo	ba léc mô
palestine	ba lét tin
palestrina	ba lét tri na
palikir	ba li ki a
palladio	ba la đi ô
palm	bam
pamir	ba mia
pampana	bam ba na
panama	ba na ma
panay	ba nay
panca	ban ca
pane	ba nê
panofsky	ba nốp sờ ki
paolo	bao lô
paracelsus	ba ra xen sớt
paraguay	ba ra quay
paraiba	ba rai ba
parakou	ba ra ku
paramaribo	pa ra ma ri bô
parana	ba ra na
pardo	bác đô
pareto	ba rê tô
parini	ba ri ni
paris	ba ri
parker	bắc cơ
parma	bác ma
parmentier	bác man thai ơ
parnasse	bác na xơ
paropamisus	ba rô ba mi sút
parseval	ba xe van
parsons	ba sân
parthenon	bác tê nông
parthia	bác thi a
pascal	bát sờ can
pascoli	ba xờ cô li
pascua	ba xờ cu a
pasternak	bát sờ tơ nách
pasteur	bát sờ tơ
patagonia	ba ta gô ni a
patani	ba ta ni
patesi	pa tê xi
patjitan	bát gi tan
patna	bát na
patrick	ba trít
paul	bôn
pauli	bao li
pauling	bao linh
paulo	bao lô
paulus	bao lút
paustovskij	bau tốp sờ ki
pavese	ba vê dê
pavie	ba vi
pavlov	báp lốp
pavlova	ba phờ lô va
pavlovsk	báp lốp sờ cơ
paxton	bắc xờ tơn
peano	bê a nô
pechora	bê chô ra
peggy	bê ghi
pegu	bê gu
pei	bây
peirce	bi ơ xơ
pelman	ben man
peloponnissos	bê lô bô ni xốt
peltier	ben chi ê
pemba	bem ba
penang	bê nang
pendjab	ben giáp
pendleton	ben đơn tơn
penk	ben cơ
penn	ben
pennine	ben nin
pennsylvania	ben sin va ni a
penzias	ben gi át
peracini	bê ra xi ni
perkin	bơ kin
perov	bê rốp
perrault	bê rô
perreaux	bơ rô
perrier	bê ri ê
perrin	bê rin
perrot	bê rót
perry	be ri
perse	béc xơ
persique	béc xích
perth	bớt
perugia	bê ru gia
perugino	bê ru gi nô
pestalozzi	bét sờ ta lô xi
peter	bi tơ
petipa	bơ ti ba
petrarca	bê trác ca
petrashevskij	bê tơ ra sép xờ ki
petrjak	bê tri ắc
petrograd	bê tơ rô gờ rát
petrovskij	bê tơ rốp xờ ki
petrzhak	bê tơ rơ giắc
petty	bét ti
peugeot	biu giô
pevek	bê vếch
pha	pha
pharos	pha rốt
pharsalia	phác xa li a
phidias	phi đi át
philadelphia	phi la đen phi a
philastre	phi lát trơ
philippe	phi líp
philippines	phi líp bin
philon	phi lông
phnom	phờ nôm
phomvihane	phôm vi han
phong	phong
phouma	phu ma
phoumi	phu mi
phuket	phu kẹt
