aabish	ஆபிஷ்
raja rani ko chahiye pasina	ராஜா ராணி கோ சாஹியெ பஸினா
rajendra mohan bhatnagar	ராஜேந்திர மோஹன் பட்னாகர்
rajgeer	ராஜ்கீர்
rajput	ராஜ்புட்
rakhi ki saugandh	ராக்கி கி செளகந்த்
ram janma	ராம் ஜன்மா
rama newsprint	ராமா நியூஸ்ப்ரிண்ட்
ramesh powar	ரமேஷ் போவார்
ramjeet	ராம்ஜீத்
ramswaroop	ராமஸ்வரூப்
ramu dada	ராமு தாதா
ranachhod	ரனசோத்
rangoon	ரங்கூன்
rasesh	ரஸெஷ்
rashid	ரஷித்
rayyan	ரய்யன்
rendor	ரென்டர்
revolt in the vendee	ரிவோல்ட் இன் த வென்டீ
riju	ரிஜ்ஜூ
robert atkins	ராபர்ட் அட்கின்ஸ்
robinson christian	ராபின்சன் கிறிஸ்டியன்
rodeo	ரோடியோ
rosa	ரோஸா
ross edwards	ராஸ் எட்வர்ட்ஸ்
round dance	ரவுண்ட் டான்ஸ்
rozalia	ரோஸலியா
ruchi soya	ருச்சி சோயா
saagu	சாகு
saan	சான்
saba	சபா
saeed	சயீத்
saeed azad	சயீத் ஆசாத்
sahim	சஹிம்
sahl	சஹ்ல்
saint john the baptist high school,thane	செயிண்ட் ஜான் த பாப்டிஸ்ட் ஹை ஸ்கூல், தானே
saint joseph's boys' high school, bangalore	செயிண்ட் ஜோசப்ஸ் பாய்ஸ் ஹை ஸ்கூல், பெங்களூர்
saint michael's academy, chennai	செயிண்ட் மைக்கெல்ஸ் அகாடெமி, சென்னை
sajjanpur	சஜ்ஜன்பூர்
salwa	சல்வா
samarah	சமரா
samarendra	சம்ரேந்திரா
samayapuram	சமயபுரம்
sanam	சனம்
sanat	சனத்
sanghera	சங்கேரா
sanjay bangar	சஞ்சய் பங்கர்
santhal pargana	சன்தல் பர்கானா
sarabande	சராபான்டெ
sarangi	சாரங்கி
sarnath	சார்நாத்
sati pariksha	சதி பரிக்ஷா
satya	சத்யா
satyendra	சத்யேந்திரா
saubhagya	செளபாக்யா
saudamini	சோதாமினி
score	ஸ்கோர்
scott	ஸ்காட்
seagram	சீக்ராம்
sean pan	சீன் பான்
seemantini	சீமந்தினி
sej piya ki	சேர் பியா கி
selene	செலினி
seoras	சியோரஸ்
sepik flutes kanengara	செபிக் ஃப்ளூட்ஸ் கனேங்கரா
seventies	செவண்டீஸ்
shabah	ஷபா
shah e misar	ஷா இ மிஸார்
shail sutaa	ஷைல் சுதா
shake hands	ஷேக் ஹாண்ட்ஸ்
shalaka	ஷலகா
shaqeeqah	ஷகீகா
shariqah	ஷரிகா
shawm	ஷாம்
shiela	ஷீலா
shishiraant	ஷிஷிராந்த்
shiv sunder das	ஷிவ் சுந்தர் தாஸ்
shoho	ஷோஹோ
shraddha	ஷரத்தா
shradhdhaa	ஷரத்தா
shripad	ஸ்ரீபத்
shubhangi	ஷுபாங்கி
shwadhinota dibosh puroskar	ஷ்வாதினோடா திபோஷ் புரோஸ்கர்
sibson	ஸிம்சன்
sidbi	சிட்பி
siddhamalli reservoir	சித்தாமல்லி ரிசர்வாயர்
sikander bakht	சிக்கந்தர் பக்ட்
silver standard resources	சில்வர் ஸ்டான்டர்ட் ரிசோசர்ஸ்
simak	சிமக்
sinharaja forest reserve	சின்னராஜா ஃபாரஸ்ட் ரிசர்வ்
sirmaur	சிர்மவூர்
sledding	ஸ்லெட்டிங்
sodexho alliance	சோடெக்ஸ்ஹோ அலையண்ஸ்
sofon suphapong	சோஃபோன் சுஃபாபோங்
soma	சோமா
somalakshmi	சோமலக்ஷ்மி
somkant	சோம்கந்த்
somnath jyotirlinga	சோம்நாத் ஜோதிர்லிங்க
songadra	சோங்காத்ரா
sonya	சோன்யா
spiel des jahres	ஸ்பீல் டெச் ஜாரெஸ்
squash	ஸ்குவாஷ்
stephanie	ஸ்டெஃபனி
steve rixon	ஸ்டீவ் ரிக்ஸன்
steven jack	ஸ்டீவன் ஜாக்
stew	ஸ்டீவ்
stu gillespie	ஸ்டூ கில்லெஸ்பி
subhash	சுபாஷ்
subros	சுப்ரோஸ்
sudakshima	சுதக்ஷிமா
suhayr	சுஹயிர்
sullivan	சல்லிவன்
suramaee	சுரமயி
surkhiyaan	சுர்கியான்
sushila	சுஷிலா
suvarna	சுவர்ணா
syed akhtar imam quadri	சயத் அக்தர இமாம் காத்ரி
tai tam reservoirs	தய் தம் ரிசர்வாயர்ஸ்
tandem cycling	டேண்டம் சைக்கிளிங்
tanmay	தன்மய்
tapasi	தபாஸி
taranekar	தாரனேகர்
taranga	தாரங்கா
tarkeshwar	தாரகேஷ்வர்
taryn	டாரின்
tauseef ahmed	டௌசீஃப் அகமத்
teranika	டெரானிகா
texas	டெக்ஸாஸ்
thakare	தாக்கரே
thawab	தவாப்
the tribune	த டிரைபூன்
thomas hardy	தாம்ஸ் ஹார்டி
throgs neck	திராக்ஸ் நெக்
tierra	டியரா
tilak	திலக்
timothy	டிமோதி
tiruchengode	திருச்செங்கோடு
tom peters	டாம் பீட்டர்ஸ்
trident	டிரைடெண்ட்
trinity biotech	டிரினிட்டி பையோடெக்
trishagni	டிரிஷாங்னி
trishala	த்ரிஷாலா
tristessa	ட்ரிஸ்டெஸ்ஸா
tungabhadra dam	துங்கபத்ரா டேம்
tusharkana	துஷார்கானா
udiya	உதியா
ujung kulon	உஜுங் குலுன்
unity	யுனிடி
university of south australia	யூனிவர்சிட்டி ஆஃப் சவுத் ஆஸ்ட்ரேலியா
urshita	ஊர்ஷிதா
utah	உட்டாஹ்
uttar dinajpur	உத்தர் தினஜ்பூர்
vaaghmare	வாக்மாரே
vaakpati	வாக்பதி
valtina	வல்டினா
vanig	வனிக்
varna	வர்ணா
varuni	வருணி
varyag	வார்யாக்
vasbert drakes	வாஸ்பர்ட் ட்ரேக்ஸ்
veenapani	வீணாபானி
vevay	வேவய்
vidrumalataa	வித்ருமலதா
vijay yadav	விஜய் யாதவ்
vijaynagar	விஜய்நகர்
vilmaris	வில்மாரிஸ்
vindhya	விந்தியா
vrashaakapaayee	விராஷாகபாயீ
wahhaj	வாஜ்
wakalat	வகாலத்
washington mutual	வாஷிங்டன் ம்யூச்சுவல்
wasti	வஸ்தி
waylon	வெய்லான்
west falls christian community	வெஸ்ட் பால்ஸ் கிறிஸ்டியன் கம்யுனிட்டி
weymouth	வெய்மவுத்
woodlands fort	உட்லாண்ட்ஸ் ஃப்போர்ட்
word and spirit family	வேர்ட் அண்ட் ஸ்பிரிட் பேமிலி
wyomina park baptist	வயோமினா பார்க் பேப்டிஸ்ட்
xalvadora	ஜால்வதோரா
xanthus	ஜேந்தஸ்
xenos	ஜெனோஸ்
xing universal telephone	ஸிங் யூனிவர்சல் டெலிபோன்
yaachishnu	யாசிஷ்னு
yahan se shaher ko dekho	யாஹான் சே ஷஹர் கோ தேக்கோ
yaqub	யாகுப்
yasir ali	யாசிர் அலி
yellow sea	யெல்லோ சீ
zagiri	ஜகிரி
zaria	ஜாரியா
zayb	ஜெய்ப்
zaytoon	ஜேடூன்
zeilin	ஸெய்லின்
zena	ஜேனா
zocha	ஜோச்சா
zulfaqar	ஜுல்ஃபாகர்
