a'ishah	அ'யிஷா
chatura	சத்தூரா
chaturbhuj	சதுர்புஜ்
chaturmukha	சத்தூர்முகா
chaube	சௌபே
chaubees ghante	சௌபீஸ் கண்டே
chaucer	சாசர்
chaudhvin ka chand	சௌத்வின் கா சந்த்
chaure bazar	சௌரே பஜார்
chavalkhede	சவால்கேடே
chawapall	சவாபால்
chawla	சாவ்லா
chaz	சாஸ்
check point software technologies	செக் பாயிண்ட் சாப்ட்வேர் டெக்னாலஜீஸ்
cheema	சீமா
chekov	செகாவ்
chelsa	செல்ஸா
chelsea	செல்ஸியா
chelsia	செல்ஸியா
chemancheri	செம்மஞ்சேரி
chemgenex	செம்ஜீனெக்ஸ்
chenab	செனப்
cheng	செங்
chennai egmore	சென்னை எக்மோர்
cheriyanad	செரியனாட்
cherry	செர்ரி
cheryl	சேரில்
chester	செஸ்டர்
chet	சேத்
chetan	சேட்டன்
chetan chauhan	சேட்டன் சவ்ஹான்
chettinad	செட்டிநாட்
chhabi	சாப்பி
chhabili	சப்பிலி
chhabra gugor	சப்ரா குகோர்
chhaila babu	சஹைலா பாபு
chhatrapati shivaji	சத்திரபதி சிவாஜி
chhatre	சாத்ரே
chhatwal	சட்வால்
chhaya	சாயா
chhidgaon	சிட்காவுன்
chhina	சின்னா
chhindwara junction	சிண்ட்வாரா ஜங்ஷன்
chhipadohar	சிப்படோஹர்
chhitauni	சிட்டௌனி
chhora chhori	சோரா சோரி
chhota baap	சோட்டா பாப்
chhota bhai	சோட்டா பாய்
chhote nawab	சோட்டே நவாப்
chhote sarkar	சோட்டே சர்க்கார்
chhoti bahu	சோட்டி பாஹு
chhoti maa	சோட்டி மா
chhoti si baat	சோட்டி சி பாத்
chhoti si mulaqat	சோட்டி சி முலாகத்
chhugani	சுகானி
chhupa chhupee	சுபா சுபீ
chianki	சியாங்கி
chidaksh	சிடாக்ஷ்
chidghan	சித்கான்
chiheru	சிஹேரு
chikbalapur	சிக்பல்பூர்
chikjajur	சிக்ஜாஜூர்
chikni	சிக்னி
chikodi road	சிடோக்கி ரோட்
chilka	சில்கா
chilo	சிலோ
chimayi	சிமாயி
chimtaipui	சிம்தைபூய்
china grentech corporation limited	சீனா கிரென்டெக் கார்ப்பரேஷன் லிமிடெட்
china medical technologies	சீனா மெடிக்கல் டெக்னாலஜீஸ்
china mobile communications	சீனா மொபைல் கம்யூனிக்கேஷன்ஸ்
china national petroleum	சீனா நேஷனல் பெட்ரோலியம்
china natural resources	சீனா நேச்சுரல் ரிஸோசஸ்
chinchalkar	சின்சல்கர்
chinchore	சின்கோர்
chindwara	சிந்வாரா
chinese petroleum	சைனீஸ் பெட்ரோலியம்
chingari	சிங்காரி
chini jadugar	சினி ஜாதுகர்
chinmay	சின்மை
chinna ganjam	சின்ன கஞ்சாம்
chinnamalai	சின்னமலை
chintamani surdaas	சிந்தாமணி சுர்தாஸ்
chip	சிப்
chipanecas	சிபானெகாஸ்
chiplunkar	சிப்லுன்கர்
chiraag	சிராக்
chiraagh	சிராக்
chirag	சிராக்
chiragh	சிராக்
chirantan	சிராக்
chirawa	சிராவா
chirayu	சிராயு
chital	சீட்டல்
chitchor	சிட்சோர்
chitkala	சிட்கலா
chitrakoot	சித்ராகூட்
chitrakot	சித்ரகோட்
chitral	சித்ரால்
chitralekha	சித்ரலேகா
chitrarath	சித்ராராத்
chitt	சித்
chittaprasad	சித்தபிரசாத்
chittesh	சித்தேஷ்
chittoor	சித்தூர்
chittor vijay	சித்தூர் விஜய்
chizarira	சிஜாரிரா
chloe	கிளோ
chlorine	க்லோரின்
chloris	கிளோரிஸ்
chocolate	சாக்கலேட்
chodiala	சோடியாலா
choki sorath	சோக்கி சோரத்
chola	சோலா
cholamandalam	சோழமண்டலம்
cholang	சோலாங்
cholkar	சோல்கர்
chomun samod	சோமுன் சமோத்
chopan	சோப்பன்
chopin	சோபின்
chor pe mor	சோர் பே மோர்
choral	சோரால்
chori chori	சோரி சோரி
choron ki baraat	சோரோன் கி பாராத்
choron ki rani hasino ka raja	சோரோன் கி ராணி ஹசினோ கா ராஜா
chosla	சோஸ்லா
chouhan	செளஹான்
chowkidaar	சௌகிதார்
chris broad	கிரிஸ் பிராட்
chris cowdrey	கிரிஸ் கவ்டிரே
chris kuggeleijn	கிரிஸ் குஜ்ஜெலேஜ்ன்
chris martin	கிரிஸ் மார்ட்டின்
chris nevin	கிரிஸ் நெவின்
chris read	கிரிஸ் ரீட்
chris smith	கிரிஸ் ஸ்மித்
chris tavare	கிரிஸ் டாவாரெ
chris tremlett	கிரிஸ் டிரெம்லெட்
christ the king lutheran	கிறிஸ்ட் தி கிங் லுதெரன்
christian church of clarendon hills	கிறிஸ்டியன் சர்ச் ஆப் கிளாரென்டன் ஹில்ஸ்
christianity	கிரிஸ்டியானிட்டி
christie	கிறிஸ்டி
christine	கிரிஸ்டின்
christopher	கிரிஸ்டோபர்
christy	கிரிஸ்டி
chromium	க்ரோமியம்
chuchura	சுச்சுரா
chuck	சக்
chuck barry	சவுக் பேரி
chuda	சூடா
chugach	சுகாச்
chukchi	சுக்சி
chunar	சுனார்
chunauti	சுனௌதி
chunneelaal	சுனீலால்
church of the harvest	சர்ச் ஆஓ தி ஹார்வஸ்ட்
church of the open door	சர்ச் ஆப் தி ஓபன் டோர்
churu	சுரு
chuyo	சுயோ
chyna	சைனா
cian	சியான்
cianna	சியான்னா
ciara	சியார்ரா
cicada	சிகதா
cicely	சிசிலி
cicero	சிஹம்
cicily	சிஸ்ஸி
ciel	சியல்
cillian	சில்லியன்
cindy	சிண்டி
cinnamon	சின்னமோன்
cipla	சிப்லா
cira	சிரா
ciro	சிரொ
cisco	சிஸ்கோ\
cissy	சிசெரோ
citadelle fort	சிட்டாடெல் ஃப்போர்ட்
citadelle of quebec	சிட்டாடெல் ஆப் க்யூபெக்
city university	சிட்டி யூனிவர்சிட்டி
citygate	சிட்டிகேட்
cityspire	சிட்டிஸ்பைர்
claire	கிளைர்
clarence	கிளாரென்ஸ்
clarendon	கிளாரென்டன்
clarice	கிளாரிஸ்
clarimonde	கிளாரிமாண்ட்
clarissa	கிளாரிஸா
clark	கிளார்க்
claudette	கிளாடெட்
claudio	கிளாவ்டியோ
clayland	கிளேலாண்ட்
clayton	கிளேடன்
cleantha	கிளியன்தா
clearfield	கிளியர்ஃப்பீல்ட்
cleavant	கிளீவண்ட்
clegg	கிளெக்
clement	கிளமண்ட்
cleo	கிளியோ
clicksoftware technologies	கிளிக்சாப்ட்வேர் டெக்னாலஜீஸ்
cliff	கிளிஃப்
clifford	கிளிஃப்ஃபோர்ட்
clifton suspension	கிளிப்டன் சஸ்பென்ஷன்
clinch	கிளின்ச்
clive radley	கிளிவ் ராட்லே
clive rice	க்ளைவ் ரைஸ்
clogging	கிளாகிங்
cloris	கிளோரிஸ்
close	குளோஸ்
clovis	கிளோவிஸ்
coach	கோச்
coalhouse	கோல்ஹவுஸ்
cobalt	கோபால்ட்
coborne	கோபார்ன்
cobra girl	கோப்ரா கேர்ள்
coca-cola india	கோகா-கோலா இந்தியா
cochin harbour terminus	கொச்சின் ஹார்பர் டெர்மினஸ்
cockelbiddy	காக்பெல்பிட்டி
cody	கோடி
cognizant	கோக்னிசன்ட்
cognos incorporated	கோக்னாஸ் இன்கார்பரேடட்
colbert	கால்பெர்ட்
coles	கோல்ஸ்
coligny	கோலிக்னி
colima	கோலிமா
colin	கோலின்
colin cowdrey	கோலின் கவ்டிரே
colin croft	காலின் க்ராஃப்ட்
colista	கோலிஸ்டா
colleen	கோலீன்
college football awards	காலேஜ் ஃபுட்பால் அவார்ட்ஸ்
college girl	காலேஜ் கேர்ள்
collier	கோலியர்
collin	கோலின்
collinge	கோலின்ஜ்
collingsworth	காலிங்க்ஸ்வர்த்
collingwood	கோலிங்வுட்
collins obuya	கோலின்ஸ் ஓபுயா
colombo	கொழும்பு
colon	கோலன்
colonelganj	கொலனேல்கஞ்ச்
colonial heights baptist	கலோனியல் ஹைட்ஸ் பேப்டிஸ்ட்
colorado	கொலொரேடோ
colton	கோல்டன்
columbia	கோலம்பியா
columbus	கொலம்பஸ்
colusa	கொலுஸா
comfort	கம்ஃபோர்ட்
commando	கமாண்டோ
commerzbank zentrale	காமர்ஸ்பேங்க சென்ட்ரல்
community of christ international peace award	கம்யூனிட்டி ஆஃப் க்றைஸ்ட் இண்டர்நேஷனல் பீஸ் அவார்ட்
compass group	காம்பஸ் குரூப்
compugen	காம்பூஜென்
conakry	கோனக்ரி
conan	கோனான்
conde nast building	கோன்ட் நாஸ்ட் பில்டிங்
condecoracion miguel hidalgo	காண்டெஷோரேசியன் மிக்வெல் ஹிடால்கோ
condoleeza rice	காண்டோலீசா ரைஸ்
condorcet	கான்டார்செட்
congo	காங்கோ
congressional	காங்ரஷனல்
conlan	கோன்லன்
conley	கோன்லி
connecticut	கனக்டிகட்
connemara	கன்னிமாரா
conner	கோனர்
connley	கோன்லி
connor	கோனர்
connor williams	கான்னூர் வில்லியம்ஸ்
conocophillips	கோனகோபிலிப்ஸ்
conor	கோனர்
conqueror	கான்குவரர்
conroy	கோராய்
consolidated mercantile	கன்சாலிடேட்டட் மெர்கன்டைல்
consolidated water	கன்சாலிடேட்டட் வாட்டர்
constantinople	கான்ஸ்டன்டினோபிள்
constellation	கான்ஸ்டெல்லேஷன்
constellation energy	கான்ஸ்டெல்லேஷ்ன் எனர்ஜி
constitution	கான்ஸ்டிட்யூஷன்
container	கண்டெய்னர்
conte verde	கான்டி வெர்டி
conyers	கான்யெர்ஸ்
copenhagen	கோபன்ஹேகன்
copper	காப்பர்
coral sea	கோரல் ஸீ
coralia	கோராலியா
corbett	கார்பெட்
cordelia	கார்டெலியா
corel corporation	கோரல் கார்ப்பரேஷன்
corine	கோரின்
corinth	கொரின்த்
corinthia	கோரின்தியா
corliss	கோலிஸ்
cornelia	கோர்னிலியா
cornelius	கார்னெலியஸ்
cornerstone	கார்னர்ஸ்டோன்
cornish colony museum	கார்னிஷ் காலனி மியூஸியம்
cornwallis	கார்ன்வாலிஸ்
corridos	காரிடாஸ்
corrie van zyl	கோரி வான் ஜைல்
cort	கார்ட்
corus group	காரஸ் குரூப்
corydon	காரிடன்
cosima	கோசிமா
cosmo	கோஸ்மா
cottle	காட்டில்
cotton-eyed-joe	காட்டன்-ஐட்-ஜோ
countrywide financial	கன்ட்ரிவைட் ஃபினான்ஷியல்
court	கோர்ட்
courtney browne	கோர்ட்னி ப்ரவுன்
covenant	கோவெனன்ட்
cox plate	காக்ஸ் ப்ளேட்
craig cumming	கிரேய்க் கம்மிங்
craig evans	க்ரெய்க் இவான்ஸ்
craig serjeant	கிரெய்க் செர்ஜியண்ட்
craig wishart	க்ரெய்க் விஷார்ட்
cranfield university	க்ரான்ஃபீல்ட் யூனிவர்சிட்டி
crazy	க்ரேஸி
creda	க்ரேடா
credit susse	கிரெடிட் சூசே
crenshaw	கிரென்ஷா
crevan	க்ரேவன்
cricket	கிரிக்கெட்
cricket world cup	கிரிக்கெட் வோர்ல்ட் கப்
crispin	கிரிஸ்பின்
cronos group	குரோனோஸ் குரூப்
crookhorn redoubt	க்ரூக்ஹார்ன் ரீடவுட்
croquet	க்ரோக்கெட்
cross country	க்ராஸ் கண்ட்ரி
cross of valour	க்ராஸ் ஆஃப் வேலர்
crossroads christian center	கிராஸ்ரோட்ஸ் கிறிஸ்டியன் சென்டர்
crownhill fort	க்ரவுன்ஹில் ஃப்போர்ட்
crucell	குரூசெல்
cryptologic	கிரிப்டாலஜிக்
crystal globe	க்ரிஸ்டல் க்ளோப்
crédit agricole	கிரெடிட் அக்ரிகோல்
csilla	சிஸில்லா
cuddalore junction	கூடலூர் ஜங்ஷன்
cuddalore port	கூடலூர் போர்ட்
cullen	குளேன்
cumbres	கம்ப்ரஸ்
curium	க்யூரியம்
curling	கர்லிங்
curry	கரி
curt cobain	கர்ட் கோபெய்ன்
custer	கஸ்டெர்
cutler	கட்லர்
cuttack	கட்டாக்
cutter	கட்டர்
cwen	ஸ்வென்
cybil	சிபில்
cybill	சிபில்
cybille	சிபில்
cynara	சைனாரா
cyprus	சைப்ரஸ்
czechoslovakia	செக்கோஸ்லேவேக்கியா
da'wud	தாவுத்
daad	டாட்
daag	தாக்
daal mein kala	தால் மெயின் கலா
daamin	தாமின்
daamle	தாம்லே
daanish	தானிஷ்
daant	தாந்த்
daasi	தாஸி
daate	தாதே
daawat	தாவத்
dabeer	தபீர்
dabholkar	தபோல்கர்
dabilpur	தபில்பூர்
dabli rathan	தாப்லி ரத்தன்
dabolim	தாபோலிம்
dabur	டாபுர்
dacait	தகயித்
dachigam	டாச்சிகாம்
dacia	டாசியா
dadahur	டாடாஹுர்
dadasaheb phalke	தாதாசாஹெப் பால்கே
dadi maa	தாதி மா
dadri	தாத்ரி
dadwal	டாட்வால்
daegu national museum	டாயிகு நேஷனல் மியூஸியம்
dagabaaz	தாகாபாஸ்
dagan	டகன்
dahar ka balaji	தாஹர் கா பாலாஜி
dahej	தஹேஜ்
dahshat	தஹ்ஷத்
dai ichi mutual life insurance	டை இச்சி மியூச்சுவல் இன்ஷூரன்ஸ்
daily aikya	டெய்லி ஆய்கயா
dainik agradoot	டைனிக் அக்ராதூத்
dainik jugasankha	டைனிக் ஜுகாசன்கா
dainik purvoday	டைனிக் புர்வோதே
dainik samayik prasanga	டைனிக் சமயிக் பிரசங்கா
dainik sonar cachar	டைனிக் சோனார் காசார்
daire	டைரே
daityahan	தைத்யஹான்
dakaniya talav	தக்கானியா தலாவ்
dakar	தகார்
dakhineswar	தக்கினேஷ்வர்
dakhla	தாக்லா
dakor	தக்கோர்
daksha	தக்ஷா
dakshata	தக்ஷதா
daku aur jawan	தாக்கு ஔர் ஜவான்
daku hasina	தாக்கு ஹசினா
daku mansoor	தாக்கு மன்சூர்
daladi	தலாடி
dalai lama	டலாய் லாமா
dalasi	தலாசி
dale fort	டேல் ஃப்போர்ட்
daleville baptist	தலேவில்லே பேப்டிஸ்ட்
daliganj	தாலிகஞ்ச்
dalila	டலிலா
daliya	டாலியா
dallas museum of art	டல்லாஸ் மியூஸியம் ஆஃப் ஆர்ட்
dalmia cement	டால்மியா சிமெண்ட்
dalpatpur	தல்பத்பூர்
dalsingh sarai	தால்சிங் சராய்
dalton	டால்டன்
dalwi	தால்வி
damaad	தமாத்
daman	தமன்
daman and deev	தாமன் தியோ
daman aur aag	தமன் ஔர் ஆக்
damascus	டமஸ்கஸ்
damayanti	தமயந்தி
dambria	டாம்ப்ரியா
damien fleming	டாமியன் ஃபிளெம்மிங்
damien martyn	டாமியன் மார்டைன்
damini	தாமினி
dammika ranatunga	டம்மிக்கா ரனதுங்கா
damnagar	தாம்நகர்
damon	டேமன்
dampati	தம்பதி
dan david prize	டான் டேவிட் ப்ரைஸ்
dan quayle	டான் குவாலே
dan rather	டான் ராதர்
dana pani	தனா பாணி
danapur	தானாபூர்
dance dance	டேன்ஸ் டேன்ஸ்
dandeli	தண்டேலி
dandupur	தண்டுபூர்
dang	டாங்
danga fasad	டங்கா ஃபசாத்
daniel de lewis	டேனியல் டி லூயிஸ்
daniel erasmus	டேனியல் இராஸ்மஸ்
daniel vettori	டானியல் வெட்டோரி
danish kaneria	தானிஷ் கனேரியா
danka	டன்கா
danka business systems	டங்கா பிசினஸ் ஸிஸ்டம்ஸ்
dannie heineman prize	டேனி ஹீன்மேன் ப்ரைஸ்
danniell	டேனியல்
danny morrison	டானி மோரிஸன்
danone international prize for nutrition	டானோன் இண்டர்நேஷனல் ப்ரைஸ் ஃபார் ந்யூட்ரீஷன்
danske bank group	டான்ஸ்கே பேங்க் குரூப்
dantewada	தன்தேவாதா
danton	டேன்டன்
danwar	தன்வார்
danzon	டான்ஸன்
daphne	டாஃப்னே
dapodi	தபோடி
dappar	தப்பார்
daraang	தரங்
daraar	தரார்
darakhshaan	தரக்ஷன்
dararihan	தாராரிஹன்
darban	டர்பன்
darbar	டர்பார்
dard	தர்த்
daren ganga	டேரன் கங்கா
daren powell	டேரன் பாவெல்
darien war	டாரியன் வார்
darinda	தரிந்தா
darius	டேரியஸ்
darla	டார்லா
darlita	டார்லிதா
darnarik	டார்னாரிக்
darnell	டார்னேல்
darpana	தர்பணா
darren sammy	டேரன் சமி
darrin murray	டாரின் முர்ரே
darritola	தாரிடோலா
darrius	டாரியஸ்
darryl	டேரில்
darwaza	தர்வாஸா
daryapur	தார்யாபூர்
daryl tuffey	டாரில் டாஃப்பே
das	டாஸ்
dasha	டாஷா
dasharath	தசரத்
dasharh	தஷரஹ்
dashavtar	தஷாவ்தார்
dashehra	தஷேரா
dassanayake	தசனாயகே
dassault systems	டசவுல்ட் ஸிஸ்டம்ஸ்
dasuha	டாசுஹா
dasuya	தசூயா
datar	ததார்
datia	டாதியா
datia fort	டாஷியா ஃப்போர்ட்
dattatreya	தத்தாத்ரேயா
daulat	தௌலத்
daulatabad	தௌலதாபாத்
daurala	தௌராலா
dauram madhpura	தௌரம் மத்பூரா
dausni	தௌஸ்னி
davangere	தாவங்கேரே
dave richardson	டேவ் ரிச்சர்ட்சன்
dave rundle	டேவ் ரண்டில்
daveigh	தேவிக்
davendra	தேவேந்த்ரா
david bernard	டேவிட் பெர்னார்ட்
david capel	டேவிட் காபெல்
david carpenter	டேவிட் கார்பெண்டர்
david colley	டேவிட் கோல்லே
david gower	டேவிட் கோவெர்
david heyn	டேவிட் ஹெய்ன்
david joseph	டேவிட் ஜோசஃப்
david murray	டேவிட் முர்ரே
david mutendera	டேவிட் முடேண்ட்ரா
david smith	டேவிட் ஸ்மித்
david steele	டேவிட் ஸ்டீல்
david tikolo	டேவிட் டிக்கோலோ
david williams	டேவிட் வில்லியம்ஸ்
davina	டாவினா
davis museum and cultural art	டேவிஸ் மியூஸியம் அண்ட் கல்ச்சுரல் ஆர்ட்
dawi	டாவி
dawson	டாசன்
dayalpur	தயாள்பூர்
dayamayee	தயாமயி
dayanita	தயானிதா
dayar-e-habib	தயார்-ஏ-ஹபிப்
dayavan	தயாவன்
dayita	தயிதா
dayle hadlee	டேல் ஹாட்லீ
dayton art institute	டேட்டன் ஆர்ட் இன்ஸ்டிடியூட்
dayyan	தைய்யன்
dazai osamu prize	தசாய் ஒசாமு ப்ரைஸ்
de montfort university	டி மாண்ட்ஃபோர்ட் யூனிவர்சிட்டி
de nios stora pris	டி நியாஸ் ஸ்டோரா ப்ரிஸ்
de zeven provincien	டி ஸேவென் புரோவிஷியன்
deabia	டேபியா
deakin university	டீக்கின் யூனிவர்சிட்டி
dean	டீன்
dean headley	டீன் ஹெட்லே
dean jones	டீன் ஜோன்ஸ்
deandra	டீன்ந்த்ரா
deanne	டீயனே
debari	தேபரி
debashish	டெபாஷிஷ்
debasis mohanty	டெபாஸிஸ் மொஹான்டி
debipur	தேபிபூர்
decima	டெசிமா
declan	டெக்லன்
dee	டீ
deeg	தீக்
deekshaapati	தீக்‌ஷாபதி
deen	தீன்
deen aur iman	தீன் ஔர் இமான்
deep jalte rahe	தீப் ஜல்தே ரஹே
deepak chopra	தீபக் சோப்ரா
deepak fert	தீபக் ஃபெர்ட்
deepali	தீபாலி
deepanshu	தீபன்ஷு
deepaprabha	தீபபிரபா
deependra	தீபேந்திரா
deependu	தீபேந்து
deepika	தீபிகா
deepta	தீப்தா
deeptanshu	தீப்தான்ஷு
deeptendu	தீப்தேந்து
deepti	தீப்தி
deeptimoy	தீப்திமாய்
deere	டீரி
deevaan	தீவன்
deewan jee	தீவான் ஜீ
deewana	தீவானா
deewana tere naam ka	தீவானா தேரே நாம் கா
defiant	டிஃப்பியண்ட்
degana junction	தேகனா ஜங்ஷன்
dehlo	டெஜ்லோ
dehrabad	தேஹ்ராபாத்
dehri on sone	டெஹ்ரி ஆன் சோனே
dekhi teri bambai	தேக்கி தேரி பம்பாய்
delano	டெலேனோ
delfina	டெல்ஃபினா
delhaize	டெல்ஹைசே
delhi	டெல்லி
delhi cantonment	டெல்லி கண்டோன்மெண்ட்
delhi kishanganj	டெல்லி கிஷன்கஞ்ச்
delhi public school indirapuram	டெல்ஹி பப்ளிக் ஸ்கூல் இந்திரபுரம்
delhi safdarjung	டெல்லி சஃப்தார்கஞ்ச்
dell	டெல்
della	டெல்லா
delora	டெலோரா
delores	டெலோரெஸ்
delran first united methodist	தெல்ரன் ஃபர்ஸ்ட் யுனைடெட் மெதோடிஸ்ட்
delta air lines	டெல்டா ஏர்லைன்ஸ்
demeter	டிமீட்டர்
demetria	டெமேட்ரியா
demi	டெமி
demitrius	டெமிட்ரியஸ்
democratie	டெமோகிரேடி
dempster	டெம்ப்ட்ரஸ்
denesh ramdin	தினேஷ் ராம்தின்
denge	டெங்கே
denise	டெனிஸ்
dennis kucinich	டென்னிஸ் குச்சினிக்
dennis lillee	டென்னிஸ் லில்லீ
deogan road	டியோகன் ரோட்
deogarh	டியோகார்
deol	டியோல்
depalsar	தெபால்சர்
depauw university	டிபாவ் யூனிவர்சிட்டி
depinder	தீபிந்தர்
derbacki	டெர்பேக்கி
derek pringle	டெரெக் பிரிஞ்கிள்
derek randall	டெரெக் ரான்டால்
derex	டெரக்ஸ்
dermatology	டெர்மெட்டாலஜி
dermot	டெர்மோட்
derron	டெர்ரோன்
desai	தேசாய்
desari	தேசரி
descartes systems group	டெஸ்காட்ஸ் ஸிஸ்டெம்ஸ் குரூப்
desdemona	டெஸ்டேமோனா
desh ke dushmann	தேஷ் கே துஷ்மன்
desh premee	தேஷ் பிரேமீ
deshabimani	தேஷாபிமானி
deshalpar	தேஷல்பர்
deshmukh	தேஷ்முக்
deshnok	தேஷ்னோக்
deshpande	தேஷ்பாண்டே
desiree	டெசிரீ
desma	டேஸ்மா
desmond	டெஸ்மாண்ட்
desmond haynes	டெஸ்மண்ட் ஹெய்ன்ஸ்
despina	டெஸ்பினா
detroit institute of art	டெட்டிராய்ட் இன்ஸ்டிடியூட் ஆஃப் ஆர்ட்
detroj	தேட்ரோஜ்
deuel	டியூல்
deulkar	தியுல்கர்
deutsche telekom	டச் டெலிகாம்
dev kanya	தேவ் கன்யா
dev kumar	தேவ் குமார்
devadutt	தேவதத்
devajyoti	தேவஜோதி
deval	தேவல்
devanand	தேவானந்த்
devang	தேவங்
devaria	தேவாரியா
devasheesh	தேவஷீஷ்
devashish	தேவஷிஷ்
devastation	டிவெஸ்டேஷன்
devastator	டிவெஸ்டேடர்
devasthali	தேவஸ்தலி
devataa	தேவதா
devavarya	தேவவர்யா
devdhar	தேவ்தர்
devdharkar	தேவ்தர்கர்
devdutta	தேவதத்தா
deven_dr	தேவேந்தர்
devendra	தேவேந்திரா
devesh	தேவேஷ்
devgam	தேவ்கம்
devgan	தேவ்கன்
devgiri	தேவ்கிரி
devi	தேவி
devika	தேவிகா
devilal	தேவிலால்
devinder	தேவிந்தர்
devinderpal	தேவிந்தர்பால்
devjeet	தேவ்ஜீத்
devnath	தேவ்நாத்
devon malcolm	டெவான் மால்காம்
devprayag	தேவ்பிரயாக்
devpura	தேவ்பூரா
devyani	தேவயாணி
dewald pretorius	டெவால்ட் ப்ரெடோரியஸ்
dewalgaon	தேவல்காவுன்
dewanganj	தேவன்கஞ்ச்
dexter	டெக்ஸ்டர்
dhaban	தாபன்
dhadhria	தாத்ரியா
dhadial	தாதியால்
dhalai	தாலை
dhall	தால்
dhamaka	தமாகா
dhamkee	தம்கீ
dhamni	தாமினி
dhamora	தமோரா
dhampur sugar	தாம்பூர் சுகர்
dhamtari	தம்தாரி
dhamua	தாமுவா
dhamyal	தாமியால்
dhana kherli	தனா கேர்லி
dhanakwada	தனக்வாடா
dhanakya	தனக்யா
dhanari	தனாரி
dhanbad junction	தன்பாட் ஜங்ஷன்
dhandari kalan	தண்டாரி காலன்
dhanera	தனேரா
dhansukh	தன்சுக்
dharam	தரம்
dharam kanta	தரம் காந்தா
dharam veer	தரம் வீர்
dharam yudh	தரம் யுத்
dharamdeep	தரம்தீப்
dharampreet	தரம்ப்ரீத்
dharamsheel	தரம்ஷீல்
dharangaon	தரங்காவுன்
dharap	தாரப்
dharashivkar	தாராஷிவ்கர்
dhareshwar	தாரேஷ்வார்
dharm patni	தர்ம பத்னி
dharm putra	தர்ம புத்ரா
dharma	தர்மா
dharmabad	தர்மாபாத்
dharmadhikari	தர்மதிகாரி
dharmanagar	தர்மாநகர்
dharmanand	தர்மானந்த்
dharmapuri	தர்மபுரி
dharmatma	தர்மாத்மா
dharmendra	தர்மேந்த்ரா
dharmendu	தர்மேந்த்ரு
dharmpal	தரம்பால்
dharnaoda	தர்னோடா
dharshana gamage	தர்ஷனா கமகே
dharti kahe pukar ke	தர்தி கஹே புகார் கே
dharti ke lal	தர்தி கே லால்
dharti ki god mein	தர்தி கி கோத் மெயின்
dharti mata	தர்தி மாதா
dharuna	தருணா
dhasa junction	தாசா ஜங்ஷன்
dhat tere ki	தத் தேரே கி
dhatri	தத்ரி
dhavle	தாவ்லே
dhawal	தவால்
dhawan	தவான்
dheeman	தீமன்
dheemant	தீமந்த்
dheena	தீனா
dheer	தீர்
dheera	தீரா
dhekne	தேக்னே
dhemaji	தேமாஜி
dhenkanal	தென்கனல்
dhillon	தில்லோன்
dhilwan	தில்வான்
dhiman	திமன்
dhindsa	திண்ட்ஸா
dhiren	திரேன்
dhirendra	திரேந்திரா
dhirera	திரேரா
dhirganj	தீர்கஞ்ச்
dhirpur	தீர்பூர்
dhiya	தியா
dhoda khedi	தோடா கேதி
dhol-cholom	தோல்-சூலோம்
dhola mazra	தோலா மஸ்ரா
dholak	டோலக்
dholka	தோல்கா
dhondi	தோண்டி
dhool ka phool	தூள் கா பூல்
dhriti	த்ரித்தி
dhruva	த்ருவா
dhuan	துவன்
dhubri	துப்ரி
dhul fiqar	துல் ஃபிகார்
dhulajee	துலாஜீ
dhule	துலே
dhumr	தும்ரு
dhyanesh	த்யானேஷ்
diablo	டையாப்லோ
diantha	தயந்தா
dianthe	தயந்தே
dibai	திபாய்
dibang valley	டிபங் வாலி
dibrugarh	திப்ரூகார்
dick	டிக்
dick clark	டிக் க்ளார்க்
didier	டிடியேர்
didjeridu	டிட்ஜெர்டியூ
didrika	டித்ரிகா
didwana	தித்வானா
diella	டியலா
digambar	திகம்பர்
digboi	டிக்போய்
dighwara	திக்வாரா
dikshapal	தீக்ஷபால்
dil	தில்
dil aur mohabbat	தில் ஔர் மொஹாபத்
dil ek mandir	தில் ஏக் மந்திர்
dil ka sathi dil	தில் கா சதி தில்
dil se mile dil	பில் சே மிலே தில்
dil tera diwana	தில் தேரா திவானா
dilawar	திலவர்
dilawarnagar	திலவார்நகர்
dildar	தில்தர்
dildarnagar junction	தில்தர்நகர் ஜங்ஷன்
diler	திலேர்
diler daku	திலேர் தாக்கு
dilhara lokuhettige	தில்ஹாரா லோகுஹெட்டிகே
dillagi	தில்லகி
dillan	டில்லன்
dilon	திலோன்
dilshad	தில்ஷத்
dilshan	தில்ஷான்
dimitris	டிமிடிரிஸ்
dimple	டிம்பிள்
din dahade	தின் தஹாதே
dina nagar	தினா நகர்
dinagaon	தினகாவுன்
dinanath ramnarine	தினநாத் ராம்நாராய்ண்
dinar	டிணார்
dindayal	தீனதயாள்
dindigul junction	திண்டுக்கல் ஜங்ஷன்
dinesh karthik	தினேஷ் கார்த்திக்
dinkar	தினகர்
dino	டினோ
dion ebrahim	டியான் இப்ராஹிம்
dion nash	டியோன் நாஷ்
dionysius	டயோனிசியஸ்
dipa	திபா
dipak	தீபக்
diplana	திப்லானா
diqrah	திக்ரா
dirac prize	டிராக் ப்ரைஸ்
dirhams	டிர்ஹாம்ஸ்
dirt racing	டேர்ட் ரேசிங்
disabled sailing	டிசேபில்ட் செய்லிங்
discus	டிஸ்கஸ்
disha	திஷா
divaakar	திவாகர்
divyanga	திவ்யாங்கா
