AA GALE LAG JA	ஆ கலே லாக் ஜா
BINDIYA AUR BANDOOK	பிந்தியா ஔர் பேண்டூக்
BINDIYA CHAMKEGI	பிந்தியா சம்கேகி
BINDKI ROAD	பிண்ட்கி ரோட்
BINDRA	பிந்த்ரா
BINDUSAR	பிந்துசர்
BING CROSBY	பிங் க்ராஸ்பி
BINGHAM	பிங்காம்
BINNAGURI	பின்னகுரி
BIOCHEMISTRY	பயோகெமிஸ்டிரி
BIOCON	பயோகான்
BIOPROGRESS	பையோபிராகிரெஸ்
BIPIN	பிபின்
BIR	பிர்
BIR BIKROM	பிர் பிக்ரம்
BIR UTTOM	பிர் உத்தம்
BIRADHWAL	பிராத்வால்
BIRAJ BAHU	பிரஜ் பாஹு
BIRJU USTAD	பிர்ஜு உஸ்தாத்
BIRLA	பிர்லா
BIRLA TYRES	பிர்லா டயர்ஸ்
BIRLASOFT	பிர்லாசாஃப்ட்
BIRMINGHAM	பிர்மிங்கம்
BIRMITRAPUR	பிர்மித்ராபூர்
BIROLIYA	பிரோலியா
BIRR	பிர்
BIRUR JUNCTION	பிரூர் ஜங்ஷன்
BISCAYNE	பிஸ்கேன்
BISHAN SINGH BEDI	பிஷான் சிங் பேடி
BISHANI	பிஷானி
BISHANPAL	பிஷன்பால்
BISHARAH	பிஷாரா
BISHMILLAH KI BARKAT	பிஸ்மில்லா கி பர்கத்
BISHNUPUR	பிஷ்ணுபூர்
BISHOP	பிஷப்
BISHR AL-HAFI	பிஷ்ர் அல்-ஹாஃப்பி
BISHRAMPUR	பிஷ்ராம்பூர்
BISLA	பிஸ்லா
BISMUTH	பிஸ்முத்
BISWAN	பிஸ்வான்
BITTERROOT	பிட்டேரூட்
BITTI	பிட்டி
BIWI AUR MAKAN	பிவி ஔர் மக்கன்
BIWI KIRAYE KI	பிவி கிரயே கி
BLACK	பிளாக்
BLAIR HARTLAND	பிளெய்ர் ஹார்ட்லாண்ட்
BLAND	பிளாண்ட்
BLEACH	பிளீச்
BLOCK ISLAND	பிளாக் ஐலாண்ட்
BOB HOPE	பாப் ஹோப்
BOB MASSIE	பாப் மாஸ்ஸி
BOB PACKWOOD	பாப் பேக்வுட்
BOB SIMPSON	பாப் ஸிம்ப்சன்
BOB WOOLMER	பாப் வுல்மெர்
BOCA RATON COMMUNITY	போகா ரடோன் கம்யுனிட்டி
BODAS	போதாஸ்
BODELI	போடேலி
BODHGAYA	போத்கயா
BODHRAN	போத்ரான்
BODWAD	போட்வாட்
BODY BULIDING	பாடி பில்டிங்
BOGOTA	பொகோதோ
BOKADE	போகதே
BOLANGIR	பொலான்கிர்
BOLARUM	பொலாரம்
BOLERO	போலெரோ
BOLIVIANO	போலிவியானோ
BOLLINGER	பொலிங்கர்
BOMBAY DYEING	பாம்பே டையிங்
BOMBAY KA MAHARAJA	பாம்பே கா மஹராஜா
BOMBAY KI BILLI	பாம்பே கி பில்லி
BOMBAY MASJID	பாம்பே மஸ்ஜித்
BOMBAY RAAT KI BAHON MEIN	பாம்பே ராத் கி பஹோன் மெயின்
BOMBAY SAMACHAR	பாம்பே சமாச்சர்
BOMBAY TOWN	பாம்பே டவுன்
BOMBAY WAR	பாம்பே வார்
BOMMIDI	பொம்மிடி
BONCELLES FORT	பான்செல்லெஸ் ஃப்போர்ட்
BONCHUNE	பான்சுனெ
BONESTELL	போன்ஸ்டெல்
BONGAIGAON REF	பொங்கைகான் ரிஃபைனரிஸ்
BONNET PLUME	போனட் பிளம்
BONSO ELECTRONICS INTERNATIONAL	பான்ஸ்கோ எலக்டிரானிக்ஸ் இன்டர்நேஷனல்
BONY BLAIR	போனி ப்ளேர்
BOOGIE WOOGIE	பூகி வூகி
BOOMPS-A-DAISY	பூம்ப்ஸ்-ஆ-டெய்ஸி
BOOND JO BAN GAYEE MOTI	பூண்ட் ஜோ பன் கயீ மோடி
BOORDHI-ZAFFER	பூர்தி-ஸாஃப்பர்
BOOT POLISH	பூட் பாலிஷ்
BOPARAI	போபாரை
BORGAONKAR	போர்காவூன்கர்
BORIS YELTSIN	போரிஸ் எல்சின்
BORIVALI	போரிவாலி
BORKAR	போர்கர்
BORNEO	பார்னியோ
BORNHEM FORT	பார்ன்ஹெம் ஃப்போர்ட்
BORON	போரான்
BOSCH CHASSIS	போஷ் சேசிஸ்
BOSCHBEEK FORT	போஷ்பீக் ஃப்போர்ட்
BOSPORUS	போஸ்போரஸ்
BOSTON	பாஸ்டன்
BOURDIEU OKZ	பெளடியூ ஓக்ஸ்
BOUYGUES	போய்காஸ்
BOUZOUKI	பொசௌக்கி
BOWDEN	பெளடென்
BOY FRIEND	பாய் ஃபிரண்ட்
BRAD HADDIN	பிராட் ஹாட்டின்
BRAHAMDEV	ப்ரஹம்தேவ்
BRAHM	ப்ரஹம்
BRAHMA	ப்ரம்மா
BRAHMABRATA	ப்ரம்மப்ரதா
BRAHMACHARI	பிரஹ்மச்சாரி
BRAHMADUTT	ப்ரம்மதத்
BRAHMANYA DEV	பிரம்மன்ய தேவ்
BRANDEIS AWARD	ப்ராண்டீஸ் அவார்ட்
BRANDENBURG	பிரான்டென்பர்க்
BRANT	பிரன்ட்
BRASILIA	பிரசிலியா
BRATINDRA	ப்ரதீந்த்ரா
BRATSK	பிரத்ஸ்க்
BRAYLA CHAURASI	ப்ராய்லா சௌராஸி
BRAZOSPORT CHRISTIAN CENTER	பிராஸோஸ்போர்ட் கிறிஸ்டியன் சென்டர்
BRECON BEACONS	ப்ரேக்கன் பீக்கன்ஸ்
BRENDON BRACEWELL	பிரெண்டன் பிரேஸ்வெல்
BRENDON JULIAN	பிரென்டன் ஜூலியன்
BRENDON KURUPPU	ப்ரெண்டன் குருப்பு
BREST FORTRESS	பிரெஸ்ட் ஃப்போர்ட்ரெஸ்
BRETAGNE	பிரேடக்னெ
BRETT DOREY	பிரெட் டோரே
BRETT LEE	பிரெட் லீ
BRIAN LARA	ப்ரயன் லாரா
BRIAN LUCKHURST	பிரயன் லக்ஹஸ்ட்
BRICK SCHOOLHOUSE MUSEUM	பிரிக் ஸ்கூல்ஹவுஸ் மியூஸியம்
BRIDGE	பிரிட்ஜ்
BRIDGEPORT CHRISTIAN	பிரிட்ஜ்போர்ட் கிறிஸ்டியன்
BRIJAL PATEL	பிரிஜால் பட்டேல்
BRIJESH	ப்ரிஜேஷ்
BRIJESH PATEL	பிரிஜேஷ் பட்டேல்
BRIJMOHAN	ப்ரிஜ்மோகன்
BRISBON	பிரிஸ்பன்
BRISCOE	பிரிஸ்கோ
BRITISH	ப்ரிட்டிஷ்
BRITISH ACADEMY TELEVISION AWARDS	ப்ரிட்டிஷ் அகாடமி டெலிவிஷன் அவார்ட்ஸ்
BRITISH BOOK AWARDS	ப்ரிட்டிஷ் புக் அவார்ட்ஸ்
BRITISH PETROLEUM	ப்ரிட்டிஷ் பெட்ரோலியம்
BRITTANY	பிரிட்டனி
BROECHEM FORT	பிரோசெம் ஃப்போர்ட்
BROMO TENGGER	ப்ரோமோ டெங்கர்
BROOKE WALKER	புரூக் வாக்கர்
BROOKINGS WESLEYAN	புரூகிங்ஸ் வெச்லேயன்
BROOKLYN MUSEUM	புரூக்லின் மியூஸியம்
BROOKS	புரூக்ஸ்
BROWN	புரவுன்
BRUCE FRENCH	புரூஸ் ஃபிரெஞ்சு
BRUCE MEDAL	ப்ரூஸ் மெடல்
BRUCE SPRINGSTEEN	ப்ரூஸ் ஸ்ப்ரிங்ஸ்டீன்
BRUCE WILLIS	ப்ரூஸ் வில்லிஸ்
BRUCE YARDLEY	புரூஸ் யார்ட்லீ
BRUCKLAY	பிரக்லே
BRULE	புரூல்
BRUNEL UNIVERSITY	ப்ரூனல் யூனிவர்சிட்டி
BRYAN STRANG	ப்ரையன் ஸ்ட்ராங்
BU ALI SHAH QALANDAR	பு அலி ஷா காலாந்தர்
BUCHAREST	புகரெஸ்ட்
BUCKLEY	பக்ளி
BUDALUR	புடால்பூர்
BUDAPEST FERIHEGY	புடாபெஸ்ட் பெரிஹெகி
BUDDHISM	புத்திஸம்
BUDDY HOLLY	பட்டி ஹோலி
BUDGAM	பாத்காம்
BUHAYYAH	புஹாய்யா
BUKIT TIGA PULUH	புகித் டீகா புலு
BULDHANA	புல்தானா
BULERIAS	புலேரியாஸ்
BULL RIDING	புல் ரைடிங்
BULLET	புல்லட்
BUNAKEN	புனாகென்
BUNANAH	புனானா
BUNDESVERDIENSTKREUZ	புண்டஸ்வெர்டீன்ஸ்ட்க்ரூஸ்
BUNDI	புண்டி
BUNDI FORT	புன்டி ஃப்போர்ட்
BUQAYRAH	புகாய்ரா
BURAJ	புராஜ்
BURDAH	புர்தா
BURHANPUR	புர்ஹன்பூர்
BURHAR	புர்ஹார்
BURLINGTON	பர்லிங்டன்
BURMAH ROAD	பர்மா ரோட்
BURROWS	பர்ரோஸ்
BUSHRA	புஷ்ரா
BUXAR	புக்ஸார்
CABO ORANGE	காபோ ஆரஞ்ச்
CACTOCTIN	காக்டோக்டின்
CADBURY'S	கேட்பரிஸ்
CAEL	காயேல்
CAHORA BASSA DAM	கஹோரா பஸ்ஸா டேம்
CAILEAN	கைலீன்
CAIRBRE	கைர்ப்ர்
CAIRO	கைரோ
CAITLIN	கைட்லின்
CAJA	காஜா
CAJON	காஜன்
CALCIUM	கால்ஷியம்
CALIANA	காலியானா
CALICUT	கேலிகட்
CALIX	காலிக்ஸ்
CALLIE	காலீ
CALLIOPE	காலியோப்
CALLISTA	காலிஸ்டா
CALLUM	காலும்
CALUPSO	காலுப்சோ
CALVIN	கால்வின்
CALVINE	கால்வின்
CAMBREE	கேம்ப்ரீ
CAMBRIA	காம்ப்ரியா
CAMBRIDGE SCHOOL, INDIRAPURAM	கேம்பிரிட்ஜ் ஸ்கூல், இந்திராபுரம்
CAMDEN	கான்டென்
CAMEROON	கேமரூன்
CAMILLA	காமில்லா
CAMPANA	கம்பானா
CAMPERDOWN	காம்பர்டவுன்
CAMPINAS	காம்பினாஸ்
CAMPION SCHOOL, MUMBAI	கேம்பியான் ஸ்கூல், மும்பை
CAMTEK	காம்டெக்
CANADIAN IMPERIAL BANK OF COMMERCE	கேனடியன் இம்பீரியல் பேங்க் ஆப் காமர்ஸ்
CANADIAN POETS AWARD	கனடியன் பொயட்ஸ் அவார்ட்
CANARA BANK	கனரா பேங்க்
CANCER AUR GUPT ROG	கேன்சர் ஔர் குப்த் ரோக்
CANDACE	கேன்டாஸ்
CANDICE	கேன்டிஸ்
CANDRA	கேன்த்ரா
CANNANORE	கன்னனூர்
CANTARA	சான்தாரா
CANTERBURY CHRIST CHURCH UNIVERSITY COLLEGE	கேண்டர்பரி க்றைஸ்ட்சர்ச் யூனிவர்சிட்டி காலேஜ்
CAPARAO	காபாராவ்
CAPE BRETON	கேப் ப்ரேடன்
CAPE COD	கேப் காட்
CAPE FLATTERY	கேப் பிலாட்டரி
CAPE FRONTIER WAR	கேப் ஃப்பிரான்டியர் வார்
CAPE TOWN	கேப் டவுன்
CAPE TOWN INTERNATIONAL	கேப் டவுன் இன்டர்நேஷனல்
CAPE YORK	கேப் யோர்க்
CAPELLEN FORT	காபெல்லன் ஃப்போர்ட்
CAPITAL TOWER	கேபிடல் டவர்
CAPUCINE	காபூசின்
CARADOC	காரடாக்
CARAF	காராஃப்
CARAVAN	கேரவன்
CARDIFF UNIVERSITY	கார்டிஃப் யூனிவர்சிட்டி
CARGILL	கார்கில்
CARIOCA	காரியோகா
CARISSA	காரிஸா
CARL BULFIN	கார்ல் பலஃப்பின்
CARL CACHOPA	கார்ல் காச்சோபா
CARL TUCKETT	கார்ல் டக்கெட்
CARLA	கார்லா
CARLI SIMON	கார்லி சைமன்
CARLISLE	கார்லிஸ்லெ
CARLOS CASTANEDA	கார்லோஸ் காஸ்டனேடா
CARLOW	கார்லோ
CARMEL CONVENT SCHOOL, CHANDIGARH	கார்மெல் கான்வெண்ட் ஸ்கூல், சண்டிகர்
CARMEN	கார்மென்
CARMINE	கேர்மைன்
CARNEGIE MEDAL	கார்னீஜீ மெடல்
CAROLENA	காரோலீனா
CAROLINE	காரோலின்
CARPATHIAN	கார்பாதியன்
CARRIE	காரீ
CARRIEANN	கேரியன்
CARRIER AIRCON	கேரியர் ஏர்கான்
CARRY GRANT	கேரி கிராண்ட்
CARSYN	கார்ஸின்
CARTOON MUSEUM	கார்டூன் மியூஸியம்
CARVER	கார்வெர்
CARY	கேரி
CASPER	காஸ்பர்
CASSARA	கஸ்ஸாரா
CASSIE	காஸி
CASTELFIDARDO	காஸ்டல்பஃப்பிடார்டோ
CASTLE ROCK	கேஸ்டில் ராக்
CATERPILLAR	கேட்டர்பில்லர்
CATHEDRAL AND JOHN CONNON SCHOOL, MUMBAI	கத்தீட்ரல் அண்ட் ஜான் கனான் ஸ்கூல், மும்பை
CATHERINE TURNER	கேத்தரின் டர்னர்
CATHERINE ZETA - JONES	கேத்தரின் ஜேட்டா ஜோன்ஸ்
CATHY BETTS	கேத்தி பெட்ஸ்
CATRIN	கேட்ரின்
CATRIONA	கேட்டியோனா
CAULFIELD CUP	கால்ஃபீல்ட் கப்
CAVINKARE	கெவின் கேர்
CAWSAND FORT	காசாண்ட் ஃப்போர்ட்
CEALLACH	சியலச்
CECE	செசி
CECELIA	செசிலியா
CECILE	செசிலி
CECILY	செசிலி
CEDI	சிடி
CEDRIC	செட்ரிக்
CELEBRATION COMMUNITY	செலிபிரேஷன் கம்யுனிட்டி
CELLEBES	செல்லபெஸ்
CENDANT	சென்டன்ட்
CENTEX	சென்டெக்ஸ்
CENTIMOS	சென்டிமோஸ்
CENTRAL AMERICA MAYA	சென்ட்ரல் அமெரிக்கா மாயா
CENTRAL BANK	சென்ட்ரல் பேங்க்
CENTRAL CHRONICLE	சென்டிரல் கிரானிக்கல்
CENTRAL EUROPEAN MEDIA ENTERPRISES	சென்ட்ரல் யூரோப்பியன் மீடியா என்டர்பிரைசஸ்
CENTRAL MICHIGAN UNIVERSITY	சென்ட்ரல் மிச்சிகன் யூனிவர்சிட்டி
CENTURION BANK	சென்சுரியன் பேங்க்
CERAM	செரம்
CERELIA	செரிலியா
CERI	செரி
CERISE	செரைஸ்
CERRO DE GARNICA	கெர்ரோ டீ கார்னிகா
CESAR AWARD	சீசர் அவார்ட்
CHA CHA	சா சா
CHAANI	ச்சானி
CHACHA ZINDABAD	ச்சாச்சா ஜிந்தாபாத்
CHAD	சாட்
CHADOTAR	சடோத்தார்
CHAGGAN	சாக்கன்
CHAHAT	சாஹத்
CHAITALI	சைத்தாலி
CHAJLI	சஜ்லி
CHAKAR	சாகார்
CHAKDAYALA	சக்தயாளா
CHAKIA	சக்கியா
CHAKK	சாக்
CHAKKAR PE CHAKKAR	சக்கார் பே சக்கார்
CHAKORI	சக்கோரி
CHAKRA	சக்ரா
CHAKRADHARI	சக்ரதாரி
CHAKRAJ MAL	சக்ராஜ் மால்
CHAKRAVYUH	சக்ரவுயுக்
CHAKRI NAREUBET	சக்ரி நாரேய்பெட்
CHAKSHU	சக்ஷூ
CHAL CHAL RE NAUJAWAN	சல் சல் ரே நௌஜவான்
CHALAAK	சாலாக்
CHALAKUDI	சாலக்குடி
CHALBAAZ	சால்பாஸ்
CHALIS BABA EK CHOR	சாலிஸ் பாபா ஏக் சோர்
CHALIS CHOR	சாலிஸ் சோர்
CHALTE CHALTE	சல்தே சல்தே
CHALTHAN	சல்தான்
CHALTI KA NAAM GAADI	சல்தி கா நாம் காடி
CHALTI KA NAAM ZINDAGI	சல்தி கா நாம் ஜிந்தகி
CHALU MERA NAAM	சலு மேரா நாம்
CHAMAN	சாமான்
CHAMANLAL	சாமான்லால்
CHAMARA SILVA	சமரா சில்வா
CHAMBAL KI RANI	சம்பல் கி ராணி
CHAMELI KI SHADI	சமேலி கி ஷாதி
CHAMELI MEMSAAB	சமேலி மேம்சாப்
CHAMILA GAMAGE	சமிலா கமகே
CHAMINDA MENDIS	சமிந்தா மெண்டிஸ்
CHAMKEE	சம்கீ
CHAMOLI	சாமோளி
CHAMPA	சம்பா
CHAMPA KALI	சம்பா காளி
CHAMPABATI	சம்பாபாதி
CHAMPANER ROAD JUNCTION	சம்பனேர் ரோட் ஜங்ஷன்
CHAMPARAN	சம்பாரம்
CHAMRAURA	சம்ரௌரா
CHANA	சானா
CHANCELLOR	சான்செல்லர்
CHAND AUR SURAJ	சந்த் ஔர் சுரஜ்
CHAND CHAKORI	சந்த் சகோரி
CHAND SIAU	சந்த் சியாவு
CHANDA FORT	சந்தா ஃபோர்ட்
CHANDAN KA PALNA	சந்தன் கா பால்னா
CHANDAN NAGAR	சந்தன் நகர்
CHANDANA	சந்தனா
CHANDANI	சாந்தானி
CHANDEL	சான்டெல்
CHANDER	சந்தர்
CHANDHA	சந்தா
CHANDI DAS	சண்டி தாஸ்
CHANDI POOJA	சண்டி பூஜா
CHANDIA ROAD	சண்டியா ரோட்
CHANDIGADIA	சண்டிகாடியா
CHANDIGARH	சண்டிகர்
CHANDIL JUNCTION	சண்டில் ஜங்ஷன்
CHANDISAR	சண்டிசார்
CHANDNI RANI	சாந்தினி ராணி
CHANDOK	சந்தோக்
CHANDPUR	சந்த்பூர்
CHANDR	சந்தர்
CHANDRABHAAN	சந்திரபான்
CHANDRACHUR	சந்திரசுர்
CHANDRAGUPTA	சந்திரகுப்தா
CHANDRAKANT	சந்திரகாந்த்
CHANDRAKANT PANDIT	சந்திரகாந்த் பன்டிட்
CHANDRALEKHA	சந்திரலேகா
CHANDRAMUKHI	சந்திரமுகி
CHANDRAPURA	சந்திராபூரா
CHANDRARAJ	சந்திரராஜ்
CHANDRASEKHARA	சந்திரசேகரா
CHANDRASHEKHAR AZAD	சந்திரசேகர் ஆஸாத்
CHANDRESAL	சந்த்ரேசல்
CHANDRIKA	சந்திரகா
CHANDU	சாந்து
CHANGANACHERI	சங்கனசேரி
CHANGEZ KHAN	செங்கிஸ் கான்
CHANGQING WORLD TRADE CENRE	சாங்கிங் வேர்ல்ட் டிரேட் சென்டர்
CHANGUNA	சங்குனா
CHANKANAB BAY	சங்கநாப் பே
CHANNERY	சான்னெரி
CHANPATIA	சன்பாடியா
CHANTEL	சன்டெல்
CHAPADA DOS GUIMARAES	சாபாடா டாஸ் குய்மாரேஸ்
CHAR ANKHEIN	சார் ஆங்கேன்
CHAR DARVESH	சார் தர்வேஷ்
CHAR DIL CHAR RAAHEN	சார் தில் சர் ராஹேன்
CHAR DIN	சார் தின்
CHAR DIWARI	சார் திவாரி
CHAR MINAR	சார் மினார்
CHARANDAS	சரண்தாஸ்
CHARANGO	சராங்கோ
CHARANJIT	சரண்ஞித்
CHARAUD	சரௌட்
CHARBAGH RAILWAY STATION	சர்பாக் ரெயில்வே ஸ்டேஷன்
CHARITA	சரிதா
CHARITRA	சரித்ரா
CHARL WILLOUGHBY	சார்ல் வில்லோக்பி
CHARLA	சார்லா
CHARLEE	சார்லீ
CHARLEMAGNE	சார்லேமாக்னெ
CHARLES COVENTRY	சார்லஸ் கொவெண்ட்ரி
CHARLES MARTEL	சார்லஸ் மார்டெல்
CHARLIE CHAPLIN	சார்லி சாப்ளின்
CHARLIE LOCK	சார்லி லாக்
CHARLOT	சார்லட்
CHARLOTTE	சார்லட்
CHARS	சார்ஸ்
CHARTERED SEMICONDUCTOR MANUFACTURING	சார்ட்டர்ட் செமிகன்டக்டர் மானியூபாக்சரிங்
CHARUDUTTA	சாருதுத்தா
CHARUMATI	சாருமதி
CHARUSHEELA	சாருஷீலா
CHASTITY	சேஸ்ட்டிட்டி
CHATARA	சத்தாரா
CHATTAN SINGH	சத்தன் சிங்
CHATURBHUJ	சதுர்புஜ்
CHATURMUKHA	சத்தூர்முகா
CHAUBE	சௌபே
CHAUBEES GHANTE	சௌபீஸ் கண்டே
CHAUCER	சாசர்
CHAUDHVIN KA CHAND	சௌத்வின் கா சந்த்
CHAURE BAZAR	சௌரே பஜார்
CHAWAPALL	சவாபால்
CHAWLA	சாவ்லா
CHAZ	சாஸ்
CHECK POINT SOFTWARE TECHNOLOGIES	செக் பாயிண்ட் சாப்ட்வேர் டெக்னாலஜீஸ்
CHEEMA	சீமா
CHEKOV	செகாவ்
CHELSA	செல்ஸா
CHELSEA	செல்ஸியா
CHELSIA	செல்ஸியா
CHEMANCHERI	செம்மஞ்சேரி
CHENG	செங்
CHENNAI EGMORE	சென்னை எக்மோர்
CHERIYANAD	செரியனாட்
CHERRY	செர்ரி
CHERYL	சேரில்
CHESTER	செஸ்டர்
CHET	சேத்
CHETAN	சேட்டன்
CHETAN CHAUHAN	சேட்டன் சவ்ஹான்
CHETNA	சேத்னா
CHHABI	சாப்பி
CHHABILI	சப்பிலி
CHHABRA GUGOR	சப்ரா குகோர்
CHHAILA BABU	சஹைலா பாபு
CHHAPI	சாப்பி
CHHARODI	சரோடி
CHHATRAPATI SHIVAJI	சத்திரபதி சிவாஜி
CHHIDGAON	சிட்காவுன்
CHHINA	சின்னா
CHHINDWARA JUNCTION	சிண்ட்வாரா ஜங்ஷன்
CHHIPADOHAR	சிப்படோஹர்
CHHORA CHHORI	சோரா சோரி
CHHOTA BAAP	சோட்டா பாப்
CHHOTA BHAI	சோட்டா பாய்
CHHOTE NAWAB	சோட்டே நவாப்
CHHOTE SARKAR	சோட்டே சர்க்கார்
CHHOTI BAHU	சோட்டி பாஹு
CHHOTI MAA	சோட்டி மா
CHHOTI SI BAAT	சோட்டி சி பாத்
CHHOTI SI MULAQAT	சோட்டி சி முலாகத்
CHHUPA CHHUPEE	சுபா சுபீ
CHIANKI	சியாங்கி
CHIDAKSH	சிடாக்ஷ்
CHIHERU	சிஹேரு
CHIKBALAPUR	சிக்பல்பூர்
CHIKODI ROAD	சிடோக்கி ரோட்
CHILEAN	சிலியன்
CHILKA	சில்கா
CHILO	சிலோ
CHIMAYI	சிமாயி
CHIMTAIPUI	சிம்தைபூய்
CHINA GRENTECH CORPORATION LIMITED	சீனா கிரென்டெக் கார்ப்பரேஷன் லிமிடெட்
CHINA MEDICAL TECHNOLOGIES	சீனா மெடிக்கல் டெக்னாலஜீஸ்
CHINA MOBILE COMMUNICATIONS	சீனா மொபைல் கம்யூனிக்கேஷன்ஸ்
CHINA NATIONAL PETROLEUM	சீனா நேஷனல் பெட்ரோலியம்
CHINA NATURAL RESOURCES	சீனா நேச்சுரல் ரிஸோசஸ்
CHINCHALKAR	சின்சல்கர்
CHINCHLI	சின்ஜ்லி
CHINCHORE	சின்கோர்
CHINDWARA	சிந்வாரா
CHINESE PETROLEUM	சைனீஸ் பெட்ரோலியம்
CHINGARI	சிங்காரி
CHINI JADUGAR	சினி ஜாதுகர்
CHINMAY	சின்மை
CHINMAYANANDA	சின்மையானந்தா
CHINNA GANJAM	சின்ன கஞ்சாம்
CHINTAMANI SURDAAS	சிந்தாமணி சுர்தாஸ்
CHIP	சிப்
CHIRAAGH	சிராக்
CHIRAG	சிராக்
CHIRAGH	சிராக்
CHIRAYU	சிராயு
CHITCHOR	சிட்சோர்
CHITOSE	சிட்டோசெ
CHITRAKOOT	சித்ராகூட்
CHITRAKOT	சித்ரகோட்
CHITRALEKHA	சித்ரலேகா
CHITRANGADA	சித்ராங்கதா
CHITRARATH	சித்ராராத்
CHITRAREKHA	சித்ராரேகா
CHITT	சித்
CHITTAPRASAD	சித்தபிரசாத்
CHITTAPUR	சித்தாபூர்
CHITTESH	சித்தேஷ்
CHITTOOR	சித்தூர்
CHITTOR VIJAY	சித்தூர் விஜய்
CHIZARIRA	சிஜாரிரா
CHLORINE	க்லோரின்
CHLORIS	கிளோரிஸ்
CHOCOLATE	சாக்கலேட்
CHOKI SORATH	சோக்கி சோரத்
CHOLA	சோலா
CHOLAMANDALAM	சோழமண்டலம்
CHOLANG	சோலாங்
CHOLKAR	சோல்கர்
CHOMUN SAMOD	சோமுன் சமோத்
CHOPAN	சோப்பன்
CHOR PE MOR	சோர் பே மோர்
CHORAL	சோரால்
CHORI CHORI	சோரி சோரி
CHORON KI BARAAT	சோரோன் கி பாராத்
CHORON KI RANI HASINO KA RAJA	சோரோன் கி ராணி ஹசினோ கா ராஜா
CHORVAD ROAD	சோர்வாட் ரோட்
CHOSLA	சோஸ்லா
CHOUDHARY	செளதரி
CHOUHAN	செளஹான்
CHOWKIDAAR	சௌகிதார்
CHRIS BROAD	கிரிஸ் பிராட்
CHRIS COWDREY	கிரிஸ் கவ்டிரே
CHRIS KUGGELEIJN	கிரிஸ் குஜ்ஜெலேஜ்ன்
CHRIS MARTIN	கிரிஸ் மார்ட்டின்
CHRIS NEVIN	கிரிஸ் நெவின்
CHRIS READ	கிரிஸ் ரீட்
CHRIS SMITH	கிரிஸ் ஸ்மித்
CHRIS TAVARE	கிரிஸ் டாவாரெ
CHRIS TREMLETT	கிரிஸ் டிரெம்லெட்
CHRIST THE KING LUTHERAN	கிறிஸ்ட் தி கிங் லுதெரன்
CHRIST UNITED METHODIST	கிறிஸ்ட் யுனைட்டெட் மெதோடிஸ்ட்
CHRISTIAN CHURCH OF CLARENDON HILLS	கிறிஸ்டியன் சர்ச் ஆப் கிளாரென்டன் ஹில்ஸ்
CHRISTIANA	கிரிஸ்டியானா
CHRISTIANITY	கிரிஸ்டியானிட்டி
CHRISTINE	கிரிஸ்டின்
CHROMIUM	க்ரோமியம்
CHUCHURA	சுச்சுரா
CHUCK	சக்
CHUCK BARRY	சவுக் பேரி
CHUGACH	சுகாச்
CHUNAR	சுனார்
CHUNAUTI	சுனௌதி
CHUNNEELAAL	சுனீலால்
CHURCH OF THE HARVEST	சர்ச் ஆஓ தி ஹார்வஸ்ட்
CHURCH OF THE OPEN DOOR	சர்ச் ஆப் தி ஓபன் டோர்
CHURU	சுரு
CHUYO	சுயோ
CHYNA	சைனா
CIAN	சியான்
CIANNA	சியான்னா
CIARA	சியார்ரா
CICADA	சிகதா
CICERO	சிஹம்
CICILY	சிஸ்ஸி
CIEL	சியல்
CIGNA	சிக்னா
CILLIAN	சில்லியன்
CINDY	சிண்டி
CIPLA	சிப்லா
CIRA	சிரா
CIRO	சிரொ
CISCO	சிஸ்கோ\
CITADELLE FORT	சிட்டாடெல் ஃப்போர்ட்
CITADELLE OF QUEBEC	சிட்டாடெல் ஆப் க்யூபெக்
CITY UNION BANK	சிட்டி யூனியன் பேங்க்
CITY UNIVERSITY	சிட்டி யூனிவர்சிட்டி
CITYSPIRE	சிட்டிஸ்பைர்
CLAIRE	கிளைர்
CLARA	கிளாரா
CLARENCE	கிளாரென்ஸ்
CLARENDON	கிளாரென்டன்
CLARICE	கிளாரிஸ்
CLARIMONDE	கிளாரிமாண்ட்
CLARISSA	கிளாரிஸா
CLARK	கிளார்க்
CLAUDETTE	கிளாடெட்
CLAUDIO	கிளாவ்டியோ
CLAYLAND	கிளேலாண்ட்
CLAYTON	கிளேடன்
CLEA	கிளியா
CLEANTHA	கிளியன்தா
CLEARFIELD	கிளியர்ஃப்பீல்ட்
CLEAVANT	கிளீவண்ட்
CLEGG	கிளெக்
CLEMENCEAU	கிளிமென்சியா
CLEMENT	கிளமண்ட்
CLEMENTINE	கிளெமண்டைன்
CLICKSOFTWARE TECHNOLOGIES	கிளிக்சாப்ட்வேர் டெக்னாலஜீஸ்
CLIFF	கிளிஃப்
CLIFFORD	கிளிஃப்ஃபோர்ட்
CLIFTON SUSPENSION	கிளிப்டன் சஸ்பென்ஷன்
CLIVE RADLEY	கிளிவ் ராட்லே
CLIVE RICE	க்ளைவ் ரைஸ்
CLOVIS	கிளோவிஸ்
CLYDE	க்லைட்
COBRA GIRL	கோப்ரா கேர்ள்
COCA-COLA INDIA	கோகா-கோலா இந்தியா
COCHIN HARBOUR TERMINUS	கொச்சின் ஹார்பர் டெர்மினஸ்
CODY	கோடி
COGNIZANT	கோக்னிசன்ட்
