aalto	אלטו
fanous	פאנוס
fanta	פאנטא
fanteni	פאנטיני
fantini	פאנטיני
farag	פאראג
farah	פארח
farahani	פראהאני
faraj	פרג'
fargeon	פארגיון
farid	פריד
faris	פאריס
farkas	פארקאס
farkash	פארקאש
farman	פארמאן
farouk	פארוק
farran	פאראן
farrell	פאריל
farrokhzad	פרוכזאד
farshad	פרשאד
faruk	פארוק
faso	פאסו
fatfat	פאטפאט
fathi	פתחי
fathy	פתחי
fatih	פאטיח
fatima	פאטימה
fatmir	פאטמיר
fatton	פאטון
fauci	פוסי
faudel	פאדל
faulk	פולק
faulkner	פולקנר
faure	פורי
faurisson	פוריסון
faustino	פוסטינו
fausto	פאוסטו
faye	פיי
fayed	פאיד
fayez	פאיז
fayol	פאיול
fayyad	פאיאד
fazah	פזה
fazekas	פאזיקאס
fazio	פאזיו
fazlagic	פאזלאגיטש
fazrul	פאזרול
federer	פדרר
federici	פדריקי
federico	פידיריקו
federline	פידרלאין
fedor	פידור
fehr	פיהר
fei	פיי
feiglin	פייגלין
feiler	פיילר
feingold	פאינגולד
feinstein	פיינשטיין
feist	פיסט
fekri	פקרי
feld	פילד
felicia	פילישא
feliciano	פיליסיאנו
felipe	פיליפי
feliu	פילאיו
felix	פיליקס
fellini	פיליני
felsner	פילסנר
fendi	פינדי
fenelon	פנלון
feng	פנג
fenin	פינין
feodor	פיודור
feraoun	פרעון
feras	פראס
ferdi	פירדי
ferdinand	פרדינאנד
ferdinando	פרדינאנדו
ferdoos	פרדוס
ferenc	פירינק
ferguson	פרגוסון
ferhat	פרחאט
feridun	פרידון
ferlito	פרליטו
fermi	פירמי
fernand	פרנאנד
fernandes	פירנאנדיז
fernandez	פרנאנדיז
fernando	פרנאנדו
ferrara	פירארא
ferrari	פירארי
ferrary	פירארי
ferreira	פיריירא
ferrell	פירל
ferrer	פרר
ferri	פירי
ferrier	פירייה
ferrini	פיריני
ferruccio	פירוצ'יו
ferydoon	פריידון
fethi	פטחי
fey	פיי
fiala	פיאלא
fiasco	פיאסקו
fichman	פישמאן
fichtner	פישטנר
fidel	פידל
fiedler	פידלר
field	פילד
fielding	פילדינג
fiennes	פיאנס
fifa	פיפא
fifi	פיפי
fighting	פאיטינג
figo	פיגו
figueroa	פיגירוא
filip	פיליפ
filippo	פיליפו
fillon	פיון
filo	פאילו
fincher	פינשר
finger	פינגר
finidi	פינידי
finland	פינלאנד
finn	פין
finnan	פינאן
finney	פיני
fiore	פיורי
fiori	פיורי
fiqh	פיק
firas	פיראס
fire	פאיר
firman	פרמאן
firmani	פירמאני
fischer	פישר
fischler	פישלר
fish	פיש
fisher	פישר
fisichella	פיסיקילא
fisk	פיסק
fiston	פיסטון
fitzgerald	פיצג'ראלד
fizeau	פיזו
flaherty	פלאהירטי
flamion	פלאמיון
flanders	פלאנדרז
fleihan	פליחאן
fleischer	פלאישר
fleming	פלימינג
flemming	פלימינג
flitter	פליטר
flohe	פלוה
florence	פלורנס
florent	פלורינט
florentin	פלורנטין
florentino	פלורנטינו
flores	פלוריס
florian	פלוריאן
florianopolis	פלוריאנופוליס
florida	פלורידא
florin	פלורין
floyd	פלויד
flynn	פלין
fode	פוד
foeke	פוקי
foggia	פוג'יא
fogh	פוג
fognini	פוניני
foiros	פוירוס
foley	פולי
folke	פולק
foly	פולי
fonda	פונדא
fonseca	פונסיקא
fontaine	פונטיין
fontana	פונטאנא
foote	פוט
ford	פורד
forest	פוריסט
forlan	פורלאן
forman	פורמאן
formosa	פורמוזא
forough	פורוג
forrester	פורסטר
forssmann	פורסמאן
forster	פורסטר
forsyth	פורסאית
fort	פורט
fortaleza	פורטאליזא
fortune	פורטשן
fortuny	פורטוני
fortuyn	פורטוין
foster	פוסטר
foucault	פוקו
fouhami	פוהאמי
fouine	פוין
fourest	פוריסט
fournier	פורנייר
foxx	פוקס
fradique	פראדיק
fran	פראן
france	פראנס
frances	פראנסס
francesca	פראנססקא
francesco	פראנשיסקו
francescoli	פראנסיסקולי
francileudo	פראנסילודו
francini	פראנשיני
francis	פראנסס
franciscan	פרנסיסקן
francisco	פראנסיסקו
franck	פראנק
francois	פרנסוא
franjo	פראניו
frank	פראנק
frankfurt	פראנקפורט
frankie	פראנקי
franklin	פראנקלין
franklyn	פראנקלין
frans	פראנס
fransman	פראנסמאן
frantisek	פראנטיסק
franz	פראנז
frasco	פראסקו
frau	פראו
fred	פריד
freddy	פרידי
frederic	פרידריק
frederick	פרידיריק
fredericks	פרידריקס
frederik	פרידיריק
fredric	פרידריק
fredriksson	פרידריקסון
free	פרי
frege	פריגה
frei	פריי
freier	פרייר
freire	פרייר
freleng	פרילינג
french	פרינטש
frey	פריי
frick	פריק
frida	פרידה
frideric	פרידריק
fridman	פרידמאן
fridtjof	פרידג'וף
friedel	פרידל
friedensreich	פרידנסראיש
friedmann	פרידמאן
friedrich	פרידריק
frisk	פריסק
friz	פריז
frodo	פרודו
fromm	פרום
frontera	פרונטירא
fuchs	פוקס
fukuda	פוקודא
fukui	פוקוי
fukunishi	פוקונישי
fukuyama	פוקויאמא
fulton	פולטון
fumihiko	פומיהיקו
fumimaro	פומימארו
fumio	פומיו
funke	פונקה
furlong	פורלונג
furuya	פורויא
fusako	פוסאקו
fuseli	פוסלי
fusi	פוזי
fuste	פוסטי
futon	פוטון
fyodor	פיודור
gaafar	ג'עפר
gaarder	גארדר
gabbidon	גאבידון
gaber	גאבר
gabi	גבי
gabilondo	גאבילונדו
gable	גייבל
gabor	גאבור
gaborone	גאבורון
gabriel	גבריאל
gabriela	גאבריאלה
gaby	גאבי
gad	גד
gadish	גאדיש
gaetan	גאיטאן
gaga	גאגא
gago	גאגו
gail	גייל
gajdůsek	גאידוסיק
galahad	גאלאהאד
galakos	גאלאקוס
galal	גלאל
galasek	גאלאסיק
galbraith	גאלבריית
galeazzo	גאליאצו
galen	גיילן
galic	גאליק
galilei	גאליליי
galileo	גאלילאו
galili	גלילי
galimzyan	גאלימזיאן
galinovic	גאלינוביטש
galis	גאליס
galla	גאלא
galler	גאלר
galletti	גאליטי
galli	גאלי
gallice	גאליסי
gallo	גאלו
gallois	גאלוא
galois	גאלוא
galsworthy	גאלזוורתי
galton	גאלטון
galvani	גאלוואני
galvin	גאלבין
gamal	גמאל
gamar	גמר
gamarra	גאמארא
gamberini	גאמביריני
gamil	גמיל
gamliel	גמליאל
gammoudi	גמודי
gamsakhurdia	גאמסאכורדיא
gamzatov	גמזטוב
gandhi	גאנדי
gandolfini	גאנדולפיני
ganges	גאנג'ז
gangnihessou	גאנגניהיסו
ganim	גנים
ganis	גאניס
gann	גאן
gaon	גאון
garadanow	גאראדאנוב
garaudy	גארודי
garay	גאראי
garba	גארבא
garbarek	גארבארק
garbutt	גארבוט
garcia	גארסיא
gard	גארד
garde	גארד
gardner	גארדנר
garfield	גארפילד
gargano	גארגאנו
gargo	גארגו
gargula	גארגולא
garibaldi	גאריבאלדי
garmendia	גארמנדיא
garner	גארנר
garrincha	גארינשא
garry	גארי
gary	גארי
gascoigne	גאסקוין
gascony	גאסקוני
gaspar	גאספאר
gaspard	גאספאר
gaspoz	גאספוז
gasquet	גאסקה
gassama	גאסאמא
gassid	גאסיד
gates	גייטס
gateshead	גייטסהיד
gattuso	גאטוסו
gaudi	גאודי
gauguin	גוגן
gautama	גוטאמא
gavin	גאבן
gavras	גאבראס
gavriel	גבריאל
gavriil	גאבריל
gavrilov	גאברילוב
gazankulu	גאזאנקולו
gaziantep	גאזיאנטפ
gazprom	גאזפרום
gazzaniga	גאזאניגא
gbagbo	גבאגבו
gdansk	גדאנסק
geagea	געגע
geczi	גקזי
geddes	גידיס
gediminas	גידימינאס
geels	גילז
geert	גירט
gehan	גיהאן
gehry	גירי
gein	גין
geir	גיר
geldof	גילדוף
gelson	גילסון
gemmei	גימיי
gemmrich	גימריטש
genda	גנדא
gene	ג'ין
genghini	גינגיני
gennadi	גינאדי
gennady	גינאדי
gennaro	גנארו
gensho	גינשו
gentiana	ג'נטיאנא
gentile	ג'נטילי
geology	גי'ולוג'י
georg	גאורג
georges	ג'ורג'
georgescu	ג'ורג'סקו
georgi	ג'ורג'י
georgia	ג'ורג'א
georgios	גיורגיוס
ger	גר
gerald	ג'ראלד
geraldine	ג'ראלדין
gerard	ג'רארד
gercaliu	גירקאליו
geresh	גרש
gerets	גיריץ
gerhard	גרהארד
gerhart	גרהארט
geri	גירי
gerizim	גריזים
gernot	גירנו
geronimo	ג'ראנימו
gerrard	ג'רארד
gerry	גירי
gershon	גרשון
gershwin	גירשוין
gerson	גרסון
gerty	גרטי
gesher	גשר
gestapo	גסטאפו
getulio	גיטוליו
geynrikh	גיاנריך
geza	גזא
ghali	גאלי
ghaly	גאלי
ghana	גאנא
ghanem	גאנם
ghannam	גנאם
ghannouchi	גנוצ'י
gharib	גאריב
ghassan	גסאן
ghazi	גאזי
gheorghe	גיורגי
ghezal	גזאל
ghiggia	גיגיא
ghionea	גיוניא
ghorban	גורבאן
ghosh	גוש
ghosn	גוסן
ghraib	גרייב
ghulam	גולאם
giagnoni	ג'אניוני
giamatti	ג'אמאטי
giampiero	ג'אמפיירו
giancarlo	ג'אנקארלו
gianluca	ג'אנלוקא
gianluigi	ג'אנלויג'י
giannakopoulos	ג'יאנאקאפולוס
gianni	גwאני
giannini	ג'אניני
giannis	ג'יאניס
gibbon	גיבון
gibli	גיבלי
gibson	גיבסון
gicquel	גיקיל
gide	גיד
gideon	גידיון
giggs	גיגז
gigi	ג'יג'י
giichi	גיצ'י
gila	גילא
gilad	גלעאד
gilardino	גילארדינו
gilbert	גילברט
gilberto	גילברטו
gilboa	גלבוע
gilead	גיליאד
gili	גילי
gillars	גילרז
gillerman	גילרמאן
gilles	גיל
gillespie	גיליספי
gillo	גילו
gillon	גילון
gimelstob	גימלסטוב
gimme	גימי
gino	ג'ינו
ginola	גינולא
ginsburg	גינסבורג
ginzburg	גינסבורג
gioachino	ג'ואקינו
giolitti	ג'וליטי
giora	גיורא
giordano	ג'ורדאנו
giorgio	ג'ורג'ו
giorgos	ג'יורגוס
giosue	ג'וסו
giourkas	ג'ורקאס
giovane	ג'יובאני
giovanna	ג'ובאנא
giovanni	ג'ובאני
giraldo	גיראלדו
gish	גיש
gita	גיטא
giuseppe	ג'וזיפי
givat	גבעת
given	גיבן
givet	גיביט
givi	גיבי
gizenga	גיזינגא
gjirokaster	גירוקאסטר
glam	גלאם
glau	גלאו
glazer	גליזר
gleeson	גליסון
gleick	גליק
glenda	גלינדא
glover	גלובר
glycine	גליסין
glynn	גלין
gnako	גנאקו
gnome	נום
goa	גוא
gobbi	גובי
goda	גודא
godel	גודל
godfrey	גודפרי
godwin	גודוין
godwinson	גודוינסון
goebbels	גובלז
goethals	גותאלס
goethe	גתה
gofman	גופמאן
gogh	גוג
gogol	גוגול
gohar	גוהר
gohouri	גוהורי
gokhan	גוכאן
golan	גולן
golbourne	גולבורן
gold	גולד
golda	גולדא
goldberg	גולדברג
goldblum	גולדבלום
golding	גולדינג
goldman	גולדמאן
goldstein	גולדסטין
goldwater	גולדווטר
golestan	גולסטאן
golgi	גולגי
goll	גול
goma	גומע
gomes	גומיז
gomez	גומיז
gonen	גונן
gonnohyoe	גונוהיו
gonzalo	גונזאלו
goodison	גודיסון
goodyear	גודייר
google	גוגל
googoosh	גוגוש
goor	גור
goran	גוראן
gorani	גוראני
gordian	גורדיאן
gordimer	גורדימר
gordon	גורדון
goring	גורינג
gorky	גורקי
gorniak	גורניאק
gorshkov	גורשקוב
gosh	גוש
gosho	גושו
gosling	גוסלינג
goth	גות
gotsmanov	גוטסמאנוב
gottfried	גוטפריד
gotthelf	גוטהילף
gottlob	גוטלוב
gould	גולד
goumas	גומאס
gounaris	גונאריס
gourcuff	גורקוף
govedarica	גובידאריקא
govou	גובו
grabar	גראבאר
grace	גרייס
graeme	גראם
graf	גראף
graham	גראהאם
grainger	גריינג'ר
gramsci	גראמשי
granado	גראנאדו
grand	גראנד
grande	גראנד
grandes	גראנדס
graner	גראנר
granite	גראניט
granqvist	גראנקביסט
grant	גראנט
grass	גראס
grassi	גראסי
grava	גראבא
gray	גריי
grazer	גרייזר
graziani	גראציאני
greaves	גריבז
greco	גריקו
greeley	גרילי
green	גרין
greenberg	גרינבירג
greene	גרין
greengrass	גרינגראס
greenland	גרינלאנד
greenwood	גרינווד
greg	גריג
gregoire	גריגויר
gregor	גריגור
gregorio	גריגוריו
gregory	גריגורי
gregotti	גריגוטי
greiss	גריס
grella	גרילא
grenada	גרינאדא
grenet	גריניט
grenoble	גרינובל
grenville	גרנביל
greta	גריטא
grichting	גריקטינג
griffith	גריפית
grigore	גריגורי
grigori	גריגורי
grillon	גרילון
grillparzer	גרילפארצר
grimaldi	גרימאלדי
grimi	גרימי
grimonpon	גרימונפון
grimsson	גרימסון
gris	גריס
grisham	גרישאם
grnemeyer	גרנמייר
gromyko	גרומיקו
grondona	גרנדונא
gross	גרוס
grossman	גרוסמאן
grosso	גרוסו
grove	גרוב
grover	גרובר
grun	גרון
grunbein	גרונביין
grygera	גריגירא
gryzlov	גריזלוב
grzegorz	גרזיגורז
guadeloupe	גואדלופ
guadiana	גואדיאנא
guanghu	גואנגהו
guarino	גוארינו
guarneri	גוארניירי
guatemala	גואטימאלא
guayana	גויאנא
guccini	גוצ'יני
guccione	גוצ'יון
gudelj	גודילי
guderian	גודיריאן
guenon	גוינון
guerin	גוארין
guernsey	גירנזי
guerreiro	גוירירו
guerrero	גורירו
guevara	גווארא
gueye	גויי
guggenheim	גוגנהאים
gugino	גוגינו
guglielmo	גוגלילמו
guido	גוידו
guillaume	גויאם
guillermo	גוילירמו
guillot	גוילוט
guinness	גיניס
guirane	גויראני
guiscard	גיסקארד
guity	גיטי
guiza	גויזא
gul	גול
gulbenkian	גולבנקיאן
gundam	גאנדאם
gunnar	גונאר
gunnarsson	גונארסון
gunter	גונטר
guojohnsen	גוג'ונסון
gurpegui	גורפיגי
gus	גאס
gusarov	גוסארוב
gustaf	גוסטאף
gustav	גוסטאב
gustave	גוסטאב
gustavo	גוסטאבו
gutenberg	גוטנברג
guthrie	גאתרי
gutierrez	גוטייריז
guttmann	גוטמאן
gutzkow	גוטסקוב
guus	גוס
guzan	גוזאן
guzzanti	גוצאנטי
gwen	גוין
gyan	גיאן
gygax	גיגאקס
gyorgy	גיורגי
haaretz	הארץ
haas	האס
haase	האסי
habash	חבש
haber	האבר
haberkorn	האברקורן
habermas	האברמאס
habib	חביב
habibi	חביבי
habre	חברי
hackett	האקיט
hadad	חדאד
hadar	הדר
hadchiti	חדשיטי
haddad	חדאד
haddock	האדוק
haden	היידן
hadi	האדי
hadid	חדיד
hadith	חדית
hadj	חאג'
hadjaoui	חג'אוי
hadziabdic	האדזיאבדיטש
hadzibegic	האדזיביגיטש
haeckel	היקל
haehnel	האהניל
hafez	חאפז
hafid	חפיד
hafiz	חאפז
hagen	האגן
hai	האי
haibin	האיבין
haider	חידר
haidong	האידונג
haifa	חיפה
haig	הייג
haile	האילי
haim	חיים
hainan	האינאן
hairuddin	האירודין
haitham	האיתם
hajeri	חג'רי
hajim	חאג'ים
hakan	האקאן
hakikar	האקיקאר
hakki	חקי
hakkinen	האקינן
hakuho	האקוהו
hal	האל
halberstam	האלברסטאם
halevy	הלוי
halhul	חלחול
halil	הליל
halilhodzic	חלילהודזיטש
hall	הול
halldor	האלדור
halley	האלי
halliwell	האליוול
halloumi	חלומי
halls	האלז
halo	האלו
halonen	האלונין
halutz	חלוץ
hamad	חאמאד
hamaguchi	האמאגוצ'י
hamasaki	האמאסאקי
hamburg	האמבורג
hamdani	חמדאני
hamdi	חמדי
hamdy	חמדי
hameed	חמיד
hamid	חמיד
hamidou	חמידו
hamilton	האמילטון
haminu	האמינו
hamit	חמיט
hammadi	חמאדי
hammerfest	האמרפיסט
hammett	האמיט
hammill	האמל
hammond	האמונד
hammoud	חמוד
hamouche	חמוש
hamoud	חמוד
hampstead	האמפסטיד
hampton	האמפטון
hamrouche	חמרוש
han	האן
hana	הנא
hanan	חנאן
hanania	חנאניא
hananu	הנאנו
hanaoui	חנאוי
hanbal	חנבל
hancock	האנקוק
handal	חנדל
handel	האנדל
handke	האנדקה
handler	האנדלר
hanegbi	הנגבי
haney	הייני
hani	האני
hanif	חניף
haniyeh	הניה
hank	האנק
hanks	האנקס
hanna	חנא
hannes	האניס
hanni	האני
hannibal	האניבאל
hannigan	האניגאן
hanny	הני
hanoi	האנוי
hanoun	חאנון
hanoune	חנון
hanover	האנובר
hans	האנס
hansard	האנסארד
hansen	האנסן
hansi	האנסי
hanssen	האנסן
hansson	האנסון
hantuchova	האנטשובא
hanyu	האניו
hanzo	האנזו
hao	האו
happel	האפל
haqqi	חקי
hara	הארא
haraam	חראם
harada	האראדא
harakat	חרקת
harald	האראלד
haran	חאראן
harari	הרארי
harb	חארב
harbin	הארבין
hard	הארד
hardaway	הארדאויי
harden	הארדן
hardin	הארדין
hardy	הארדי
harel	הראל
harewood	האריווד
hargreaves	הארגריבז
hari	הארי
haris	חאריס
harissa	חריסא
harith	חארית
harkus	הארקוס
harlan	הארלאן
harlem	הארלם
harlow	הארלו
harnik	הארניק
harpo	הארפו
harrell	הארל
harrelson	הארלסון
harris	האריס
harrison	האריסון
harry	הארי
harsanyi	הארסאני
hartfield	הארטפילד
hartman	הארטמאן
hartmann	הארטמאן
hartree	הארטרי
haruki	הארוקי
harvey	הארבי
haryana	האריאנא
hasan	חסן
hasek	האסיק
hasekura	האסיקורא
hasenclever	האסנקליבר
hasharon	השרון
hashi	האשי
hashim	האשים
hashimoto	האשימוטו
hasler	האסלר
hasni	חסני
hass	האס
hassanal	חסנל
hastings	הייסטינגס
hat	האט
hata	האטא
hatem	חאטם
hathairattanakool	האתאיראטאנאקול
hathor	חטחור
hatshepsut	חטשפסוט
hatsumi	האטסומי
hatta	חטא
hatthaporn	האטאפורן
hattori	האטורי
hatzor	חצור
hauer	האויר
hauptmann	האופטמאן
hausdorff	האוסדורף
hausmann	האוסמאן
havana	האבאנא
havard	האוארד
havilland	האבילאנד
hawaii	האואי
hawass	חאואס
hawatmeh	חוואטמה
hawi	חאוי
hawsawi	האוסאוי
hawthorne	האותורן
haya	היה
hayam	היאם
hayami	האיאמי
hayao	האיאו
hayato	האיאטו
hayatou	חיאטו
hayden	האידן
haydn	האידן
hayek	חאיק
hayes	הייז
hayez	האיז
hayflick	הייפליק
haykel	האיקל
hayley	היילי
haymanot	האימאנוט
haysbert	הייזבירט
haytham	היתם
hazazi	הזאזי
hazboun	חזבון
haßler	האסלר
headey	הידי
healey	הילי
heaney	היני
heath	הית
heather	התר
heathrow	היתרו
heaton	היטון
heaviside	היביסאיד
hebert	היבירט
hebuterne	אבוטארן
hector	היקטור
hecuba	היקובא
hedi	הדי
hediger	הדיגר
hedman	הדמאן
hedy	הידי
hegel	היגל
heggy	הגי
heidegger	האידגר
heidelberg	האידלברג
heidi	האידי
heigl	היגל
heihachiro	הייהאצ'ירו
heiko	הייקו
heiner	הינר
heini	היני
heintje	האין
heintze	הינצה
heinz	היינז
heinze	האינז
heioar	הייור
heisenberg	הייזנבירג
heisserer	הייסרר
heitinga	היטינגא
hejlsberg	הילסברג
helder	הילדר
helen	הלן
helga	הילגא
helge	הילג
helguera	הילגירא
helguson	הילגוסון
hellebuyck	היליבויק
hellenic	היליניק
hellinger	הילנגר
hellman	הילמאן
hellmut	הילמוט
helman	הלמאן
helmholtz	הלמהולץ
helmut	הלמוט
helou	חלו
helpman	הילפמאן
helsinki	הלסינקי
helt	הילט
hematocrit	הימאטוקריט
hemed	חמד
hemidi	חמידי
hemingway	המינגווי
henan	הינאן
henchoz	הינצ'וז
hendel	הנדל
henderson	הנדרסון
hendrie	הינדרי
hendrik	הנדריק
hendry	הנדרי
henedi	הנידי
heng	הינג
henkin	הנקין
henman	הינמאן
henning	הינינג
henri	הנרי
henrik	הנריק
henriksen	הנריקסן
henrique	הנריקה
henze	הינז
hephaestus	היפיסטוס
heracles	היראקליס
heraclius	הראקליוס
heraklion	היראקליון
hercules	הירקיוליז
herda	הירדא
herman	הרמאן
hermann	הירמאן
hernan	הירנאן
hernandez	הרנאנדיז
herodias	הירודיאס
herodotus	הירודוטוס
herold	הרולד
herschel	הירשיל
hershko	הירשקו
hertford	הירטפורד
hertzberger	הירצברגר
herut	חירות
herve	הירבה
herzl	הרצל
herzliya	הרצליה
herzog	הרצוג
heshmat	חשמט
hesperides	היספירידיס
hess	הס
hesse	היסה
hester	הסטר
hestia	הסטיא
het	היט
heurelho	הורילהו
heydar	חאידר
heyerdahl	האירדאל
heylens	היילנס
heyligen	היליגין
heynckes	הינקס
heynemann	היינימאן
heyse	הייס
hiam	היאם
hibbert	היברט
hick	היק
hickersberger	היקרסבירגר
hidaka	הידאקא
hidalgo	הידאלגו
hidd	חיד
hiddink	הידינק
hideaki	הידיאקי
hidegkuti	הידיקוטי
hidekatsu	הידיקאטסו
hideki	הידיקי
hiden	הידן
hideo	הידיו
hidetoshi	הידיטושי
hiele	הילי
hierro	היירו
higgs	היגז
highmore	האימור
hikaru	היקארו
hikmat	חקמט
hikmet	חיקמט
hila	הילה
hilarion	הילאריון
hilary	הילארי
hilbert	הילברט
hilde	הילדי
hildebrand	הילדבראנד
hilditch	הילדיטש
hill	היל
hillary	הילארי
hillel	הילל
hillingdon	הילינגדון
hilton	הילטון
hilu	חילו
hima	הימא
himmler	הימלר
hind	הינד
hindley	הינדלי
hines	האינז
hinkel	הינקל
hino	הינו
hintermaier	הינטרמאיר
hipolito	היפוליטו
hippolyte	היפוליט
hirano	היראנו
hiranuma	היראנומא
hirata	היראטא
hiro	הירו
hiroaki	הירואקי
hirobumi	הירובומי
hirofumi	הירופומי
hirohashi	הירוהאשי
hirohito	הירוהיטו
hiroki	הירוקי
hiroshi	הירושי
hiroshige	הירושיגה
hirosue	הירוסו
hiroyuki	הירויוקי
hirsch	הירש
hirsi	הירסי
hirz	חירז
hisato	היסאטו
hisham	הישאם
hispaniola	היספאניולא
hissene	חיסן
histadrut	הסתדרות
hitchcock	היצ'קוק
hitler	היטלר
hitman	היטמאן
hitomi	היטומי
hitoshi	היטושי
hittin	חיטין
hitzfeld	היצפילד
hjalmar	היאלמאר
hleb	הליב
hmam	חמאם
hmede	חמידה
hobart	הובארט
hobbes	הובז
hobeika	חובייקה
hochu	הוצ'ו
hocine	הוסין
hod	הוד
hoddle	הודל
hoeneß	הוניס
hoffman	הופמאן
hoffmann	הופמאן
hofstadter	הופשטאדטר
hojeij	חוג'ייג'
hojo	הוג'ו
hoko	הוקו
hokusai	הוקוסאי
holcer	הולקר
holden	הולדין
holderlin	הולדרלין
holguin	הולגוין
holiday	הולידאי
holl	הול
holland	הולאנד
hollerith	הולירית
hollis	הוליס
holloway	הולויי
holly	הולי
holman	הולמאן
holmboe	הולמבוי
holmes	הולמז
holon	חולון
holst	הולסט
holstein	הולסטין
holt	הולט
holyfield	הוליפילד
holzenbein	הולזנבאין
homaidan	חומידאן
homayoun	הומאיון
homnabad	הומנבאד
homocysteine	הומוסיסטין
hon	הון
honda	הונדא
honduras	הונדוראס
honecker	הוניקר
hong	הונג
hoodia	הודיא
hopkins	הופקינס
horacio	הוראסיו
horatio	הוריישיו
horie	הורי
horikawa	הוריקאוא
horison	הוריסון
horiuchi	הוריוצ'י
horna	הורנא
horne	הורן
horowitz	הורוביץ
horst	הורסט
horwitz	הורויץ
hoshi	הושי
hoshino	הושינו
hosic	הוסיטש
hoskins	הוסקינס
hosni	חוסני
hossam	חוסאם
hossein	חוסין
hosseini	חוסייני
houari	הוארי
houbara	חובארא
houghton	הוטון
houllier	הולייה
houssay	הוסאי
houssine	חוסין
houston	היוסטן
howard	האוארד
howe	האו
howells	האוולז
hoyte	הויט
hrawi	הראוי
hrbaty	הרבאטי
hristo	הריסטו
hristov	הריסטוב
hrithik	הריתיק
hrodna	הרודנא
hrubesch	הרובש
hrvoje	הירבוי
huayna	הואינא
hubail	חובייל
hubais	הובייס
hubbard	הובארד
hubbert	הוברט
hubble	האבל
hubei	הוביי
huber	הובר
hubert	היוברט
huchel	הוכל
huckabee	האקאבי
huddlestone	האדלסטון
hudna	הודנה
hudson	הודסון
huerta	הוארטא
huesca	הואסקא
huffman	הופמאן
huggel	האגל
hughes	היוז
hugo	היוגו
hulagu	הולאגו
hulk	הלק
hull	הל
hulusi	חולוסי
humberto	הומבירטו
humboldt	האמבולט
hume	היום
hummelt	הומילט
humphrey	המפרי
humpty	האמפטי
hunke	הונקה
huntington	האנטנגטון
huppert	הופירט
hurndall	הרנדל
hurst	הורסט
hurt	הורט
hurwitz	הורויץ
hus	הוס
husain	חוסיין
husbands	האזבינדז
husni	חוסני
hussain	חוסיין
hussam	חוסאם
hussein	חוסיין
husseini	חוסייני
husserl	הוסרל
huston	היוסטן
hutchinson	הוטשינסון
hutchison	האצ'יסון
huth	הות
hutu	הוטו
huub	הוב
huxley	האקסלי
huygens	הוגינס
hyam	הים
hyang	היאנג
hyde	האיד
hydrographic	האידרוגראפיק
hyori	היורי
hyypia	היפיא
ian	איאן
iaquinta	איאקוינטא
iba	איבא
ibiza	איביזא
ibn	איבן
ibrahim	איבראהים
ibtisam	איבטיסאם
idaho	אידאהו
ido	אידו
idris	אידריס
ifeanyi	איפאניי
iftar	איפטאר
igarashi	איגאראשי
iglesias	איגליסיאס
ignac	איגנץ
ihara	איהארא
iii	אייי
ikea	איקיא
ikebana	איקיבאנא
ilan	אילן
ilana	אילנה
ileana	איליאנא
ilham	אילהאם
ilia	איליא
ilkhanate	אלכאנאט
illiasu	אליאסו
illinois	אילינוי
ilya	איליא
imamura	אימאמורא
imbarek	אמבארק
imereti	אימיריטי
imlay	אימליי
imola	אימולא
imperia	אמפיריא
imre	אימרי
imsaad	אמסאעד
inca	אינקא
india	אינדיא
indian	אינדיאן
indiana	אינדיאנא
indonesia	אינדוניז'א
indyk	אינדיק
ingeborg	אינגיבורג
ingmar	אינגמאר
ingushetia	אנגושיטיא
inmarsat	אינמארסאט
inonu	אינונו
insulin	אינסולין
into	אינטו
intron	אינטרון
iofan	איופאן
ionescu	איוניסקו
iordanescu	יורדאניסקו
irakli	איראקלי
iran	איראן
iraola	איראולא
iraqi	עיראקי
irbid	אירביד
ireland	אירלנדא
irina	אירינא
irit	אירית
irkutsk	אירקוטסק
irne	אירן
iroquois	אירוקויס
irvine	אירבאין
irving	אירבינג
irwin	אירוין
ishihara	אישיהארא
ishtar	אשטאר
isidore	איזידור
isilkul	איסילקול
isis	אייסיס
iskandar	איסקנדר
iskra	איסקרא
ismail	אסמאעיל
ismet	עיסמט
israels	איזרילז
issam	עסאם
isser	איסר
issta	איסטא
issyk	איסיק
istanbul	איסטנבול
istra	איסטרא
istvan	איסטבאן
italy	איטאלי
ivanhoe	איבאנהו
ivanovic	איבאנוביטש
ivanovo	איבאנובו
iverson	איברסון
ivo	איבו
ivri	איברי
izhar	איזהאר
izmir	איזמיר
jaafari	ג'עפרי
jaap	ג'אפ
jabal	ג'בל
jaber	ג'אבר
jableh	גבלה
jabotinsky	ג'בוטנסקי
jacek	ג'אסיק
jacinto	ג'אסינטו
jack	ג'ק
jackie	ג'קי
jackson	ג'אקסון
jacky	ג'קי
jacmot	ג'אקמוט
jacobi	ג'אקובי
jacobs	ג'ייקובס
jacquard	ג'אקאר
jacquet	ג'אקה
jad	ג'אד
jafargholi	ג'עפרגולי
jahan	ג'האן
jahangir	ג'האנגיר
jahin	ג'אהין
jahn	יאן
jahsh	ג'חש
jaidi	ג'אידי
jaime	ג'יימי
jairzinho	ג'ארזיניו
jakob	ג'אקוב
jakub	ג'אקוב
jalal	ג'לאל
jaloo	ג'אלו
jamal	ג'מאל
jame	ג'יים
