กงต์, โอกูสต์	comte, auguste
มอสพิงก์	moss pink
มอสฟล้อกซ์	moss phlox
มอสส์	moss
มอสัน	mawson
มอสเซอร์	mosser
มอสเซอเลอร์	mossler
มอสเตริส	mostras
มอสเติ้น	moston
มอสเทา	mostow
มอสเบิร์ก	mossberg
มอสเมิน	mossman
มอสเลอร์	mosler
มอสโก	moscow
มอสโกวิตส์	moskowitz
มอหร์	mohr
มอฮอ	moho
มอเดอเรเตอร์	moderator
มอเดิร์น	modern
มอเตอร์	motor
มอเตอร์เวย์	motorway
มอเตอร์ไซเคิล	motorcycle
มอเตอส์	mortors
มอเทริม	mottram
มอเนอแฮน	monahan
มอเรลี่	morelli
มอเริล	morell
มอเริส	maurus
มอเริ่นด์	morand
มอเร็ตตี้	moretti
มอเลินเดอร์	molander
มอเลิ่น	mahlon
มอเล็ก	malek
มอเออเริ่น	moeran
มอแนช	monash
มอโนคลินิก	monoclinic
มอโนทรอปิก	monotropic
มอโนพลอยด์	monoploid
มอโนแซ็กคาโรส	monosaccharose
มอโร	moro
มอโรไต	morotai
มอไลโน้	molyneux
มะกะโรนี	macaroni
มะนิลา	manila
มะละกา	malaka
มะฮอกกานี	mahogany
มะฮัล	mahal
มัก	muck
มักกลีโอนี่	maglione
มักกะสัน	makassan
มักกัลลัสเตอร์	macalister
มักซ์	mux
มักซ์ เวเบอร์	max weber
มักนิทิซดัต	magnitizdat
มักเกอริจ	muggeridge
มักแกลลิสเตอร์	mcallister
มัค	mach
มัคซิม	maksim
มังกส์	monks
มังก์	munk
มังก์เติ้น	monckton
มังค์	monk
มังค์เติ้น	moncton
มังเงอร์	munger
มัจ	mudge
มัช	much
มัชมอร์	muchmore
มัชรูม	mushroom
มัดเดิ่น	modan
มัตซาเรลล่า	mazzarella
มัตสัน	matson
มัตเตอร์	mater
มัตเทร่า	mattera
มัตโซลา	mazzola
มัทเทอุส, โลทาร์	mattheus, lothar
มัน	munn
มันกาสเซีย	mangascia
มันช่า	mancha
มันช์	munch
มันซาโน่	manzano
มันซี่	muncie
มันดีไลน์	mundelein
มันดี้	mundy
มันต์	mundt
มันต์ส	muntz
มันต์เฟิร์ต	montfort
มันทรีเซอร์	montresor
มันทีเกิล	monteagle
มันนิต	monnet
มันนี่	money
มันนี่เมกเคอร์	moneymaker
มันน์, ทอมัส	mann, thomas
มันมัท	monmouth
มันยอน	manion
มันสเตอร์	munster
มันส์	munz
มันเคริฟ	moncrieff
มันเซลล์	musell
มันเซลล์, อัลเบิร์ต เฮนรี	munsell, albert henry
มันเซิล	munsell
มันเซิ่น	monsen
มันเดย์	munday
มันเดล	mondale
มันเดลา	mandela
มันเดิล	mundell
มันเดิ่น	munden
มันเตอร์	munter
มันเทสควิว	montesquieu
มันเทโร่	montero
มันเฟรดี้	manfredi
มันเฟรโด้	manfredo
มันโต้	monteux
มันโร	munroe
มันโรเวีย	monrovia
มัฟ	muff
มัฟฟิน	muffin
มัฟเฟิต	moffatt
มัมฟอร์ด, ลูอิส	mumford, lewis
มัมมี่	mummy
มัมม่า	mumma
มัมเซิ่น	momsen
มัล	mull
มัลกา	mulga
มัลก์	mulk
มัลดาเรลี่	maldarelli
มัลดิฟ	maldive
มัลดีนี, เปาโล	maldini, paulo
มัลดีฟส์	maldives
มัลตอยด์	multhoid
มัลติ	multi
มัลติซิสเทม	multi system
มัลติมิเดีย	multi media
มัลติมีเดีย	multimedia
มัลติมีเดียเมสเสจเซอร์วิส	multimedia message service
มัลติโปรแกรมมิง	multiprogramming
มัลติโพรเซสเซอร์	multiprocessor
มัลติไซโคลน	multicyclone
มัลทัส	malthus
มัลทา	maltha
มัลปาอิส	malpais
มัลมึสแบรี่	malmesbury
มัลรอย	mulroy
มัลลอย	mulloy
มัลลารี, รอเบิร์ต	mallary, robert
มัลลาลี่	mullally
มัลลิน, วิลลาร์ด	muliin, willard
มัลลิส	mullis
มัลลิเกน	mulliken
มัลลิ่งส์	mullings
มัลลิ่น	mullin
มัลลีย์	mulley
มัลลีเกิ่น	mulligan
มัลลีเคิ้น	mullican
มัลลีเนอร์	mulliner
มัลฮอลเลิน	mulholland
มัลเกรฟ	mulgrave
มัลเดอร์	mulder
มัลเติ้น	multon
มัลเบอร์รี	mulberry
มัลเฟิร์ด	mulford
มัลเลอนีย์	mullaney
มัลเลอร์	muller
มัลเลิน	mullen
มัลเลินส์	mullens
มัลเลิ่น	mullan
มัลเวนีย์	mulvaney
มัลเฮิร์น	mulhern
มัลเฮิล	mulhall
มัลโชว์	malchow
มัลไทต์	malthite
มัวร์	moor
มัวร์, จอร์จ เอดเวิร์ด	moore, george edward
มัวร์, ดัดลีย์	moore, dudley
มัวร์, เดมี	moore, demi
มัวร์, เฮนรี	moore, henry
มัวร์เฮด	moorehead
มัส	mas
มัสกัต	muscat
มัสกี้	muskie
มัสก์เมลอน	muskmelon
มัสคารา	mascara
มัสคีกัน	muskegon
มัสค่า	muska
มัสค์ควอช	musquash
มัสซาวา	massawa
มัสซี่	muzzy
มัสตาร์ด	mustard
มัสตาร์ดแก๊ส	mustard gas
มัสติน	mustin
มัสต์	muste
มัสลิน	muslin
มัสสัน	musson
มัสส์	muss
มัสเคก	muskeg
มัสเครี	muskerry
มัสเคอร์	musker
มัสเชีย	mascia
มัสเซิลเมิ่น	musselman
มัสเซิลไวต์	musselwhite
มัสเซิ่น	mussen
มัสเติร์ส	musters
มัสเลิ่น	maslan
มัสแกต	musqat
มัสโคไวต์	muscovite
มัสโต้	musto
มากซ์	marx
มากซ์, คาร์ล	mark, karl
มากส์	marks
มากาปากัล	macapagal
มากีส์	maquis
มากี้	maki
มาคราเม	macrame
มาครี่	mokry
มาควิส	marquis
มาคิน	makin
มาจาร์รีน	margarine
มาจิเชียน	magician
มาชิน	machin
มาซัน	mazan
มาซิโดเนีย	macedonia
มาซีฟ	massif
มาดมัวแซล	mademoiselle
มาดริด	madrid
มาดอน	madonne
มาดอนนา	madonna
มาดอนน่าลิลี่	madonna lily
มาดากัสการ์	madagascar
มาดาม	madame
มาดาร่า	madara
มาดี้	mady
มาตา ฮารี	mata hari
มาตีส, อองรี	matisse, henri
มาทาดอร์	matador
มาทิลด้า	mathilda
มาทูริน	maturin
มาทูล่า	matula
มานากัว	managua
มานามา	manama
มานิส	maness
มานิโตบา	manitoba
มานูเอล	manuel
มานูโมมิเตอร์	manumometer
มาน่า	mana
มาปูโต	maputo
มาพูโต	maputo
มายองเนส	mayonnaise
มายา	maya
มาราธอน	marathon
มาริน	marin
มาริเตเนีย	mauritania
มารีอัต	marryat
มารีแตง, ชาก	maritain, jacques
มารีโว	marivau
มาร์	maher
มาร์ก	mark
มาร์กซิซึม	marxism
มาร์กซิสต์	marxist
มาร์กยูส	marcuse
มาร์การิตา	margarita
มาร์กาเรต	margaret
มาร์กาไรต์	margarite
มาร์กูลิส	margulies
มาร์กเกอร์	marker
มาร์กเซอร์	marxer
มาร์กเวล	markwell
มาร์กแฮนด์	marchand
มาร์ค, ฟรันซ์	marc, franz
มาร์ควาร์ต	marquardt
มาร์ควิต้า	marquita
มาร์ควิท	markwith
มาร์ควิส	marquess
มาร์คอฟ	markoff
มาร์คัส	marcus
มาร์คัสเซิ่น	marcussen
มาร์คาไซต์	marcasite
มาร์คีซ์	marquise
มาร์คี่	markey
มาร์ค็อต	marcotte
มาร์จ	marge
มาร์จอรี	maijorie
มาร์จอแรม	maijoram
มาร์จิน	margin
มาร์จี	margie
มาร์จีต้า	margita
มาร์ช	march
มาร์ชา	marsha
มาร์ชเบิร์น	marshburn
มาร์ชเมิ่น	marshman
มาร์ชแมลโลว์	marshmallow
มาร์ซี่ย์	marcy
มาร์ดิกราส์	mardi gras
มาร์ดี้	mardy
มาร์ตส	martz
มาร์ติน	martyn
มาร์ติน ลูเทอร์	martin luther
มาร์ติน, ดีน	martin, dean
มาร์ตินสัน	martinson
มาร์ตินิก	martinek
มาร์ตินเดล	martindale
มาร์ติโน่	martineau
มาร์ตี	marty
มาร์ตีนี	martini
มาร์ตีนี่	martiny
มาร์ตีเน็ต	martinet
มาร์ทา	martha
มาร์ทินส์	martins
มาร์ทินา	martina
มาร์ทิเนส	martinez
มาร์ท่า	marta
มาร์น	marne
มาร์นีย์	marney
มาร์บะลาช	marble arch
มาร์บัก	marbach
มาร์มะรา	marmara
มาร์มาเลด	marmalade
มาร์ราโซ่	marrazzo
มาร์ล	marl
มาร์ลสโตน	marlstone
มาร์ลิตต์	marlett
มาร์ลิน	marlyn
มาร์ลิส	marlise
มาร์ลิ่ง	marling
มาร์ลีน	marlene
มาร์ลีย์, บ็อบ	marley, bob
มาร์ลโบโร่	marlborough
มาร์วิก	marwick
มาร์วู๊ด	marwood
มาร์ส	marce
มาร์สตัน	marston
มาร์สัน	marson
มาร์สเดิ้น	marsden
มาร์สเตลเลอร์	marsteller
มาร์สเตอร์ส	marsters
มาร์เกต	market
มาร์เกตติง	marketing
มาร์เกรฟ	margrave
มาร์เกส	marquez
มาร์เกอริต	marguerites
มาร์เกอลิน	margolin
มาร์เกอลิส	margulis
มาร์เกอเร็ตต้า	margaretta
มาร์เกิล	markel
มาร์เกิ่น	margan
มาร์เก็ตต์	marquette
มาร์เคตี้	marchetti
มาร์เควินด์	marquand
มาร์เคิน	markon
มาร์เคิร์ต	markert
มาร์เคิล	markell
มาร์เคิ่ม	marcum
มาร์เจรี	margery
มาร์เจอรี่	marjory
มาร์เจิตส์	margetts
มาร์เชิก	marshak
มาร์เชินต์	marchant
มาร์เชิลล์	marschall
มาร์เซล	marcel
มาร์เซลลัส	marcellus
มาร์เซลลิน	marcellin
มาร์เซอลิส	marsalis
มาร์เซีย	marcia
มาร์เดอร์	marder
มาร์เดิ้น	marden
มาร์เติ่นส์	martens
มาร์เติ้น	marton
มาร์เทล	martel
มาร์เทลี่	martelli
มาร์เทอร์	martyr
มาร์เท็น	marten
มาร์เบิร์ก	marburg
มาร์เบิลสโตน	marblestone
มาร์เบิลเค้ก	marble cake
มาร์เปิลส์	marples
มาร์เมอดู๊ก	marmaduke
มาร์เมิน	marmon
มาร์เร็ก	marek
มาร์เลส	marlais
มาร์เลอร์	marler
มาร์เลิต	marlatt
มาร์เลิน	marlon
มาร์เลินด์	marland
มาร์เวลล์	marvell
มาร์เวิล	marvel
มาร์เวิ่น	marven
มาร์แชม	marsham
มาร์แชลล์	marshall
มาร์แบรี่	marbury
มาร์โกต์	margot
มาร์โกนี, กูกลีเอลโม	marconi, guglielmo
มาร์โกลิส	margolies
มาร์โก้	margo
มาร์โซคิซึม	masochism
มาร์โซคิสต์	masochist
มาร์โซ่	marceau
มาร์โมเลโย่	marmolejo
มาร์โล	marlow
มาร์โลว์	marlowe
มาร์โลว์, วิลเลียม	marlow, william
มาร์ไทต์	martite
มาลอรี	malory
มาลอรี, เซอร์ทอมัส	malory, sir thomas
มาลัน	malan
มาลากาซี	malagasy
มาลาวี	malawi
มาลาเซ	malassez
มาลาเรีย	malaria
มาลาโบ	malabo
มาลาโยโพลินีชียน	mylayopolynesian
มาลาโยโพลินีเชียน	malayopolynesian
มาลาไคต์	malachite
มาลิม	malim
มาลี	mali
มาลีน่า	malina
มาล์มเบิร์ก	malmberg
มาวเออร์	mauer
มาส	maas
มาสการา	mascara
มาสก์	mask
มาสคารา	mascara
มาสต์	marts
มาสส์	maass
มาสเซิล	maassel
มาสเตอรส์	masters
มาสเตอร์	master
มาสเตอร์คีย์	master key
มาสเตอร์พีซ	masterpiece
มาสเตอร์ออฟบิสเนสแอดมินิสเตรชั่น	master of business administration
มาสเตอร์เวิร์ต	masterwort
มาห์ฟุซ, นากิบ	mahfuz, nagib
มาอิโอลิกา	maiolica
มาฮี	mahy
มาฮ์	mah
มาเคียเวล	machiavel
มาเซรู	maseru
มาเซอรัล	macerrl
มาเดียรา	madeira
มาเทอร์เวลล์, รอเบิร์ต	motherwell, robert
มาเทิส	matas
มาเธอร์เวลล์	motherwell
มาเน, เอดูอาร์	manet, edouard
มาเนอร์	monor
มาเบิลเฮด	mablehead
มาเฟีย	mafia
มาเรส	mares
มาเรสค่า	maresca
มาเริล	maril
มาเรีย	maria
มาเรียน	marian
มาเรียนา	mariana
มาเรียนาส์	marianas
มาเล	male
มาเลตา	malaita
มาเลย์	malay
มาเลอร์, กูสตาฟ	mahler, gustav
มาเลีย	malia
มาเลเซีย	malaysia
มาเอสตราเล	maestrale
มาแคนดรูว์	macandrew
มาโครไฟต์	macrophyte
มาโซ่	mazo
มาโลน, คาร์ล	malone, karl
มาโลนีย์	maloney
มาไทเออเซิ่น	mathiasen
มิก	mig
มิกกี	micky
มิกกีย์	mickey
มิกกี้เมาส์	mickey mouse
มิกคาห์	micah
มิกซด์กริลล์	mixed grill
มิกซ์	mix
มิกมาไทต์	migmatite
มิกลิตเวิต	micklethwait
มิกสเตอร์	mixter
มิกส์	micks
มิกเคิล	mickel
มิกเซอร์	mixer
มิกเซิ่น	mixon
มิกเริฟต์	mycroft
มิคอล	micol
มิคอเบอร์	micawber
มิคัลสกี้	mikulski
มิคี่	micki
มิง	ming
มิงกัส, ชาลส์	mingus, charles
มิงก์	mink
มิจลีย์	midgley
มิช	mich
มิชชั่นอิมพอสซิเบิล	mission impossible
มิชาลสกี้	michalski
มิชิแกน	michigan
มิชี	michie
มิชเซิด	mifsud
มิชเนอร์	michener
มิชเฟิร์ด	mitford
มิชเลอร์	michler
มิซ่า	misa
มิด	meid
มิดคิฟ	midkiff
มิดดัลเซกส์	middlesex
มิดิ	midi
มิดิสเกิร์ต	midi skirt
มิดเดิลตัน	middleton
มิดเดิลบรู๊ก	middlebrook
มิดเดิลลีบุ๊ช	middlebush
มิดเดิลสโบร	middlesbrough
มิดเดิลเติ้น	midleton
มิดเดิลเวต	middleweight
มิดเดิ้นดอร์ฟ	middendorf
มิดเทอม	mid term
มิดเยียร์	midyear
มิดเวย์	midway
มิดเฮิสต์	midhurst
มิดแลนด์	midlands
มิดไนต์	midnight
มิตชัม, รอเบิร์ต	mitchum, robert
มิตชินสัน	mitchinson
มิตช์	mitch
มิตตี่	mitty
มิตนิก	mitnick
มิตส์	mitz
มิตเชลล์, มาร์กาเรต	mitchell, margaret
มิตเตอร์	mitter
มิตเทิน	mitten
มิน	min
มินจ์	minge
มินชิน	minchin
มินซ์	mince
มินด์ลิน	mindlin
มินตี้	minty
มินต์	mint
มินต์ส	mintz
มินต์สเบิร์ก	mintzberg
มินนาแฮน	minahan
มินนิช	minnich
มินนิส	minnis
มินนี่	minnie
มินน์	minn
มินสกี้	minsky
มินสก์	minsk
มินส์	minns
มินิ	mini
มินิกซ์	minix
มินิช	minish
มินิซีรีส์	miniseries
มินิบัส	minibus
มินิมัลลิซึม	minimalism
มินิมัลโพรเจ็กชัน	minimalprojection
มินิมาร์ต	minimart
มินิสเกิร์ต	miniskirt
มินีโอ้	mineo
มินุเอต	minuet
มินูอิต	minuit
มินเชิง	minshall
มินเดล	mindel
มินเดิล	mindel
มินเติ้น	minton
มินเทอร์	minter
มินเทิร์น	minturn
มินโดโร	mindoro
มินโต้	minto
มิปส์	mips
มิฟฟลิน	mifflin
มิมส์	mims
มิราจ	mirage
มิราเบล	mirabel
มิล	mil
มิลก์	milk
มิลก์เชก	milk shake
มิลค์ส	milks
มิลตัน	milton
มิลตัน, จอห์น	milton, john
มิลต์	milt
มิลน์	milne
มิลมอร์	milmore
มิลรอย	milroy
มิลลอย	milloy
มิลลาร์	millar
มิลลาร์ด	millard
มิลลิ	milli
มิลลิกัน, รอเบิร์ต เอ.	millikan, robert a.
มิลลิบาร์	millibar
มิลลิลิตร	milliliter
มิลลิส	millis
มิลลิเซนต์	millicent
มิลลิแกน	millikan
มิลลี	millie
มิลลีคิ้น	millikin
มิลลีพอร์	millipore
มิลลีเกิ้น	milligan
มิลลีเออร์	millier
มิลล์	mill
มิลล์, จอห์น สจวร์ต	mill, john stuart
มิลล์สโตน	millstone
มิลสัน	milson
มิลสไตน์	milstein
มิลส์	milles
มิลส์, รอเบิร์ต	mills, robert
มิลอส	milos
มิลัน	milan
มิลิงเติ้น	millington
มิลิจ	milledge
มิลิเนอร์	milliner
มิลีอิส	melius
มิลีเคิ้น	millican
มิลี่	mili
มิลเดรด	mildred
มิลเนอร์	millner
มิลเบิร์น	milburn
มิลเฟิร์ด	milford
มิลเมิ่น	milman
มิลเลต	millette
มิลเลนเนียม	millennium
มิลเลส์, เซอร์จอห์น เอเวอเรตต์	millais, sir john everette
มิลเลอร์	miller
มิลเลอร์, รอเจอร์	miller, roger
มิลเลอร์, อาร์เทอร์	miller, arthur
มิลเลอร์, เกลนน์	miller, glenn
มิลเลอร์, เจ.ดี.	miller, j.d.
มิลเลอร์ส	millers
มิลเลิน	millan
มิลเลินด์	milland
มิลเวอร์เติ้น	milverton
มิลเวิร์ด	milward
มิลแซ็ป	millsap
มิลแบงก์	milbank
มิว	mu
มิวซิก	musick
มิวดี่	mudie
มิวทาเจน	mutagen
มิวนิก	munich
มิวนิส	muniz
มิวนี	muni
มิวริส	muris
มิวร์	muir
มิวร์, แมลคอล์ม	muir, malcolm
มิวส์	muse
มิวออน	muon
มิวเติ่ม	mutum
มิวเทชัน	mutation
มิวเรียล	muriel
มิวเลอร์	mueller
มิวเออไร	murai
มิวแรด	murad
มิส	mease
มิสกอฟสกี้	miskovsky
มิสชัน	mission
มิสชันนารี	missionary
มิสซา	missa
มิสซิส	missis
มิสซิสซิปปี	mississippi
มิสซี่	missy
มิสซูรี	missouri
มิสทราล	mistral
มิสพิกเกล	mispickel
มิสรา	misra
มิสราฮี	mizrahi
มิสเซิน	missen
มิสเซินเดิ้น	missenden
มิสเซิลโท	mistletoe
มิสเตอร์	mister
มิสไซล์	missile
มิเคล	mikail
มิเคิลสัน	mickelson
มิเชลล์	michelle
มิเชลส์	michels
มิเชลี่	miceli
มิเชอลิน	michelin
มิเชอเลิ่น	micheline
มิเชิน	michon
มิเชิล	mitchel
มิเดอร์	meder
มิเตอร์	meter
มิเนตต์	minette
มิเนอรัล	mineral
มิเนอรัลวอเตอร์	mineral water
มิเนอริก	minarik
มิเนอเวอร์	miniver
มิเน็ตตี้	minetti
มิเรียม	miriam
มิเลิต	milot
มิเลิ่น	millin
มิเลี่ยน	milian
มิโคลส	miklos
มิโช	michaud
มิโซล	misol
มิโลวาน	milovan
มีก	meek
มีกส์	meeks
มีคินส์	meekins
มีคิ้น	meakin
มีชิม	mitchem
มีซอน	meson
มีด	mead
มีด, มาร์กาเรต	mead, margaret
มีต	meat
มีตติง	meeting
มีตบอล	meatball
มีตา	meta
มีท	meath
มีน	mean
มีนส์	means
มีนาร์ด	minard
มีนิก	minick
มีนี	meany
มีนีย์	meaney
มีนเวลล์	meanwell
มีรอน	miron
มีราเบลลี่	mirabelli
มีราโบ	mirabeau
มีร์ซา	mirza
มีล	meal
มีลีย์	mealey
มีลีเออ	milieu
มีวิล	mieville
มีส	meese
มีส วาน เดอร์ โรห์, ลุดวิก	mies van der rohe, ludwig
มีอาล่า	meola
มีเกอร์	meagher
มีเกิ่น	meegan
มีเคอร์	meeker
มีเคิล	meikle
มีเคิลจอน	meiklejohn
มีเชอร์	miescher
มีเชิม	meacham
มีเซิล	mizell
มีเดอร์	meador
มีเดีย	media
มีเดียม	medium
มีเดียมแรร์	medium rare
มีเตรอง, ฟรองซัว	mitterrand, francois
มีเติ้น	mitton
มีเทน	methane
มีเนต้า	mineta
มีเนิต	minot
มีเนียร์	minear
มีเบิร์ก	myburgh
มีเรี่ยม	meriam
มีเล, ชอง-ฟรองซัว	millet, jean-francois
มีเลย์	millay
มีเฮิน	mihan
มีโซซิเดอไรต์	mesosiderite
มีโซโซอิก	mesozoic
มีโนน	minoan
มีโนะ	minogue
มีโร, โคอัน	miro, joan
มีไซด์	meside
มุกเดน	mukden
มุดา	muda
มุนช์	muench
มุมตาซ	mumtaz
มุราคามี่	murakami
มุร่า	moora
มุร์ฟิลด์	moorfield
มุร์ส	moors
มุร์เมิน	moorman
มุร์เฮด	moorhead
มุล	mule
มุลไลต์	mullite
มุสลิม	muslim
มุสโสลินี	mussolini
มุฮัมมัด	muhammad
มุเรอร์	moorer
มุ๊ก	mook
มูซอน	mouzon
มูซ่า	moosa
มูด	mood
มูดดี	moody
มูดี้	moodie
มูต	moot
มูท	muth
มูน	moon
มูนชาวเวอร์	munshower
มูนต์ฟอร์ด	mountford
มูนสโตน	moonstone
มูฟวีฟอร์ทีวี	movie for tv
มูฟเมนต์	movement
มูร	moor
มูรัต	murat
มูร์ครอฟต์	moorcroft
มูล	moule
มูลัตโต	mulatto
มูส	moos
มูสส์	mousse
มูสเคติน	muscatine
มูสเบรอเกอร์	moosbrugger
มูอิส	muis
มูเลนดอร์	mullendore
มูเลินเบิร์ก	muhlenberg
มูเอิร์ส	mooers
มูโนส	munoz
ม็อก	mogg
ม็อกเซิ่น	moxon
ม็อกเซิ่ม	moxham
ม็อดลิ่น	modlin
ม็อตตีเออร์	mottier
ม็อตลี่	motley
ม็อตส์	motz
ม็อตเติ้น	motten
ม็อบ	mob
ม็อป	mop
ม็อฟฟิต	moffet
ม็อฟฟ่า	moffa
ม๊อก	maag
ม๊อบส์	mobbs
ยลีตาโล	ylitalo
ยอกโต	yocto
ยอคอบสัน	jakobson
ยอช์ต	yacht
ยอตตะ	yotta
ยอน	yohn
ยอนจ์	yonge
ยอริก	yorick
ยอร์	yore
ยอร์ก	jork
ยอร์ก, ดไวต์	yorke, dwight
ยอร์ก-แอนต์เวิร์ป	york-antwerp
ยอร์ช	georges
ยอร์ชเทาน์	george town
ยอร์เดิ่น	yordan
ยอเริ่น	yoran
ยะมะซะกิ, มิโนะรุ	yamasaki, minoru
ยะมะโมะโตะ, อิโซะโระกุ	yamamoto, isoroku
ยะโฮร์	jahore
ยะโฮร์บารู	jahore bahru
ยัง	young
ยัง, ชิก	young, chic
ยัง, นีล	young, neil
ยัง, เลสเตอร์ เพรส	young, lester pres
ยังบลัด	youngblood
ยังลัฟ	younglove
ยังส์	youngs
ยังเกอร์	younger
ยังเกอร์แมน, แจ๊ก	youngerman, jack
ยังเติร์ก	young turk
ยังเมิ่น	youngman
ยัดคิ้น	yudkin
ยัตเซน, ซุน	yat-sen, sun
ยัปปี้	yuppie
ยัล	yul
ยัลตา	yalta
ยัสต์	yust
ยัสเพอรส์, คาร์ล	jaspers, karl
ยาซู	yazoo
ยามุสซุโกร	yamoussoukro
ยาร์ด	yarde
ยาร์ดเลย์	yardley
ยาร์เบอโร	yarborough
ยาร์เบอโร่	yarbrough
ยาอุนเด	yaounde
ยาเนิก	yanak
ยาโก	jago
ยาโน	llano
ยาโร	yaro
ยิบรอลตาร์	gibraltar
ยิปซัม	gypsum
ยิปซัมบอร์ด	gypsum board
ยิปซี	gipsy
ยิม	gym
ยิมคานา	gymkhana
ยิมนาสติก	gymnastic
ยิมเนเซียม	gymnasium
ยิลดิ่ง	yielding
ยี	yee
ยีน	jean
ยีนส์	jeans
ยีราฟ	giraffe
ยีริก	yearick
ยีสต์	yeast
ยีออ	geo
ยีออดิมิเตอร์	geodimeter
ยีออฟิสิกส์	geophysics
ยีออยด์	geoid
ยีออเดซี	geodesy
ยีออเรฟ	georef
ยีเจอร์	yaeger
ยีเมิ่น	yeaman
ยีเอตส์	yeates
ยีโอ	yeo
ยีโอสโทรฟิก	geostrophic
ยุคคา	yucca
ยุคลิด	euclid
ยุง	yung
ยุโรป	europe
ยู	yew
ยูกันดา	uganda
ยูคาลิปตัส	eucalyptus
ยูค้อน	yukon
ยูจีนีอิส	eugenius
ยูจีนี่	eugenie
ยูจีเนีย	eugenia
ยูซิส	usis
ยูซีไอ	uci
ยูดอรา	eudora
ยูดอลล์	udall
ยูดิโอมิเตอร์	eudiometer
ยูดี่	udy
ยูตา	uta
ยูทิลิตี	utility
ยูทีเอ็ม	u.t.m.
ยูนิกซ์	unix
ยูนิคอร์น	unicorn
ยูนิซ	eunice
ยูนิต	unit
ยูนิตี	unity
ยูนิต้า	unita
ยูนิฟอร์ม	uniform
ยูนิเคอร์ซัล	unicursal
ยูนิเซฟ	unicef
ยูนิเซ็กซ์	unisex
ยูนิเทรี	unitary
ยูนิเวอร์ซอล	universal
ยูนิเวอร์ซิตี	university
ยูนิแทเรียน	unitarian
ยูนีก	unique
ยูพีซี	upc
ยูพีเอส	ups
ยูฟา	uefa
ยูฟีเมีย	euphemia
ยูรัน	juran
ยูราโน	urano
ยูริก	uric
ยูริเทน	urethane
ยูรี่	ury
ยูรี่บูรู	uriburu
ยูร์	ure
ยูลิสซิส	ulysses
ยูลีอัน	julian
ยูวิล	youville
ยูส	use
ยูสตัส	eustis
ยูสเซอร์	user
ยูสเซอร์เนม	username
ยูอัน	euan
ยูอิง	ewing
ยูอิงส์	ewings
ยูอินตา	uinta
ยูอีแอล	uel
ยูเครน	ukraine
ยูเคลส	euclase
ยูเดิล	udal
ยูเทกติก	eutectic
ยูเทิร์น	u-turn
ยูเนสโก	unesco
ยูเนอเซิ่น	unison
ยูเนียน	union
ยูเบิงก์	ewbank
ยูเฟรทีส	euphrates
ยูเมิ่นส์	youmans
ยูเรนิไนต์	uraninite
ยูเรีย	urea
ยูเรเนียม	uranium
ยูเลเรียน	eulerian
ยูเอชที	uht
ยูเอชเอฟ	uhf
ยูเอฟโอ	u.f.o.
ยูเออร์	ewer
ยูเอิร์ต	ewert
ยูเอิร์ส	ewers
ยูเอิล	ewell
ยูเอิลด์	ewald
ยูเอเอสบี	uasb
ยูเอ็น	un
ยูแคริโอต	eukaryote
ยูแบงก์	eubank
ยูแบงก์ส	eubanks
ยูแรสสิก	jurassic
ยูแลม	ulam
ยูแอลเอสไอ	ulsi
ยูโกสลาฟ	yugoslav
ยูโกสลาเวีย	yugoslavia
ยูโด	judo
ยูโทรฟิก	eutrophic
ยูโทรฟิเคชัน	eutrophication
ยูโทเปีย	utopia
ยูโฟ	ufo
ยูโร	euro
ยูโรดอลลาร์	eurodollars
ยูโรปา	europa
ยูโรสเตอร์ลิง	eurosterling
ยูโรเพียม	europium
ยูไนเตด	united
ยูไนเต็ด	united
รวันดา	rwanda
รอ	rauh
รอกกี	rocky
รอกกีส์	rockies
รอกกีเฟลเลอร์, เนลสัน	rockefeller, nelson
รอกซ์เบอรี	roxbury
รอคลีฟ	rawcliffe
รอง	wrong
รอช	rosch
รอชเดล	rochdale
รอซอฟ	rosoff
รอซาลิน	rosalyn
รอซาลินด์	rosalind
รอซาลี	rosalie
รอด	rod
รอดจ์	rodge
รอดด้า	rodda
รอดนีย์	rodney
รอดริก	roderic
รอดริกส์	rodericks
รอดเจอรส์, จิมมี	rodgers, jimmie
รอดเจอรส์, ริชาร์ด	rodgers, richard
รอตกัต	rotgut
รอท	roth
รอทส์	rothes
รอทส์ไชลด์	rothschild
รอทเซย์	rothesay
รอทเบลิม	rothblum
รอทเมิ่น	rothman
รอทเริ่ก	rothrock
รอทโก, มาร์ก	rothko, mark
รอธสไตน์	rothstein
รอน	rawn
รอนด์	ronde
รอนนิ่ง	ronning
รอนนี	ronnie
รอนนีย์	ronney
รอนสตัดต์, ลินดา	ronstadt, linda
รอนสลีย์	rawnsley
รอนสเกียน	wronskian
รอนัลด์ ไอล์เมอร์ ฟิชเชอร์	ronald aylmer fisher
รอนัลด์สัน	ronaldson
รอนเซิ่น	ronson
รอนเดิ้น	rondon
รอบบินส์, เจโรม	robbins, jerome
รอบลิน	roblin
รอบาร์ตส	robarts
รอบิน	robin
รอบินสัน	robinsin
รอบินสัน, บิลล์ (โบแจงเกิลส์)	robinson, bill (bojangles)
รอบินสัน, เดวิด	robinson, david
รอบิสัน	robison
รอบิโช	robichaud
รอบีเน็ต	robinette
รอบีโน่	robineau
รอบี้	rabi
รอป	raup
รอฟเติ้น	roughton
