aadikavi	आदिकवि
twyla	ट्वायला
united western	यूनाइटेड वेस्टर्न
university of edinburgh	यूनिवर्सिटी ऑफ एडिंबर्ग
university of glamorgan	यूनिवर्सिटी ऑफ ग्लेमॉर्गन
university of hertfordshire	यूनिवर्सिटी ऑफ हर्टफोर्डशायर
university of the sunshine coast	यूनिवर्सिटी ऑफ द सनशाइन कोस्ट
ura	उरा
uranus	यूरेनस
urmi	उर्मि
uttara	उत्तरा
uwayam	उवायाम
vaable	वाबले
vaageeshvar	वागीश्वर
vaakpati	वाक्पति
vaartha	वार्ता
vachan	वचन
valiant	वेलियंट
vanessa	वेनसा
vellore fort	वेल्लोर फोर्ट
venezuela	वेनज़ुएला
venkateshwar	वेंकटेश्वर
vetravati	वेत्रवती
victor hugo	विक्टर ह्यूगो
vidrumalataa	विद्रुमलता
vidwans	विद्वांस
vijay bharadwaj	विजय भारद्वाज
vijaya karnataka	व‍िजय कर्नाटका
vikram vetal	विक्रम बेताल
vinati	विनती
vinod mishra	विनोद मिश्र
vishaya	विषया
vivian	विवियन
voltas	वोल्टास
wajeeh	वजीह
war of the reunions	वार ऑफ द रीयूनियंस
warren wisneski	वॉरेन विसनेस्की
warwah	वरवाह
wayne	वेन
wayne james	वेन जेम्स
welham boys' school, dehradun	वेल्हैम बॉयज़ स्कूल, देहरादून
weymouth	वेमाउथ
world association of newspapers's golden pen of freedom award	वर्ल्ड एसोसिएशन ऑफ न्युज़पेपर्स गोल्डन पेन ऑफ फ्रीडम अवार्ड
wyeth	विथ
yaasameen	यासमीन
yaman	यमन
yamini	यमिनी
yashodaanandan	यशोदानंदन
yashvant	यशवंत
zahringen	ज़हरिंगन
zaida	ज़ैदा
zander	ज़ैंडर
zaynab	ज़ैनब
zindagani	ज़िंदगानी
zoraster	ज़ोरास्टर
zulfa	ज़ुल्फा
