AACHEN	アーヘン
CAMBERT	カンベール
CAMBIASO	カンビアーソ
CAMBODIA	カンボジア
CAMBON	カンボン
CAMBRELING	カンブルラン
CAMBRIDGE	ケンブリッジ
CAMDEN	カムデン
CAMDESSUS	カムドシュ
CAMELIA	カメリア
CAMERARIUS	カメラリウス
CAMERINI	カメリーニ
CAMERON	カメロン
CAMEROON	カメルーン
CAMHI	カムハイ
CAMI	カミ
CAMICIA	カミチア
CAMILLA	カミラ
CAMILLE	カミーユ
CAMILLERI	カミレリ
CAMILLO	カミロ
CAMILO	カミーロ
CAMMAERTS	カマルツ
CAMMER	カメロ
CAMOIN	カモアン
CAMOLETTI	カモレッティ
CAMP	キャムプ
CAMPAGNANO	カンパニャーノ
CAMPAGNE	カンパーニュ
CAMPAGNOLA	カンパニョーラ
CAMPAN	カンパン
CAMPANA	カンパーナ
CAMPANARI	カンパナーリ
CAMPANELLA	カンパネラ
CAMPANILE	カンパニーレ
CAMPANINI	カンパニーニ
CAMPBELL	キャンベル
CAMPE	カンペ
CAMPEGGIO	カンペッジョ
CAMPER	カンペル
CAMPERT	カンペルト
CAMPHAUSEN	カンプハウゼン
CAMPHUYSEN	カンプホイセン
CAMPI	カンピ
CAMPIGLI	カンピーリ
CAMPIN	カンピン
CAMPION	キャンピオン
CAMPISI	カンピージ
CAMPISTRON	カンピストロン
CAMPO	カンポ
CAMPOLI	カンポーリ
CAMPOMANES	カンポマネス
CAMPORA	カンポーラ
CAMPOS	カンポス
CAMPRA	カンプラ
CAMPS	カンプス
CAMUS	カミュ
CAMY	キャミー
CANADA	カナダ
CANADIAN	カナディアン
CANALETTO	カナレット
CANALI	カナリ
CANAN	キャノン
CANARIS	カナーリス
CANARO	カナロ
CANAVAN	カナバン
CANBERRA	キャンベラ
CANBY	キャンビ
CANDAU	カンドー
CANDELA	カンデラ
CANDELARIA	キャンデラリア
CANDICE	キャンディス
CANDIDO	カンディド
CANDILIS	キャンディリス
CANDLER	カンドラー
CANDOLLE	カンドル
CANE	ケイン
CANETTI	カネッティ
CANEVA	カネバ
CANEVET	カヌベ
CANFIELD	カンフィールド
CANGAS	カンガス
CANGUILHEM	カンギレム
CANINA	カニーナ
CANINO	カニーノ
CANISIUS	カニシウス
CANKAR	ツァンカル
CANNAN	キャナン
CANNAVO	カナボ
CANNELL	カネル
CANNING	カニング
CANNON	キャノン
CANO	カノ
CANON	キャノン
CANONICA	カノーニカ
CANOT	カノー
CANOVA	カノーバ
CANROBERT	カンロベール
CANSECO	カンセコ
CANTACUZINO	カンタクジーノ
CANTELOUP	カントループ
CANTELUPE	カンテループ
CANTER	カンター
CANTERBURY	カンタベリー
CANTH	カント
CANTILLON	カンティヨン
CANTLIE	カントリー
CANTO	ケント
CANTON	カントン
CANTOR	カンター
CANTRIL	キャントリル
CANTWELL	キャントウェル
CANUDO	カヌード
CAPA	キャパ
CAPART	カパール
CAPDEVILA	カプデビラ
CAPE	ケープ
CAPECCHI	カペッキ
CAPEL	ケープル
CAPELL	カペル
CAPELLE	カペレ
CAPELLO	カペロ
CAPERS	ケーパース
CAPET	カペー
CAPGRAS	カプグラ
CAPITAN	キャピタン
CAPITANI	カピターニ
CAPITANT	カピタン
CAPITO	カピト
CAPLAN	カプラン
CAPLET	カプレ
CAPLIN	キャプリン
CAPOGROSSI	カポグロッシ
CAPOLONGO	カポロンゴ
CAPON	カポン
CAPONE	カポネ
CAPOTE	カポーティ
CAPOUL	カプル
CAPP	キャップ
CAPPELL	カペレ
CAPPELLETTI	カッペレッティ
CAPPER	キャパー
CAPPIELLO	カピエロ
CAPPON	カッポン
CAPPONI	カッポーニ
CAPPS	キャップス
CAPPUCCILLI	カップッチルリ
CAPRA	カプラ
CAPRANICA	カプラニカ
CAPRARA	カプララ
CAPRI	カプリ
CAPRIOGLIO	カプリオッリョ
CAPRIVI	カプリビ
CAPRON	キャプロン
CAPRONI	カプローニ
CAPSTICK	キャプスティック
CAPUANA	カプアーナ
CAPUS	カピュ
CAPUTO	カプト
CARA	カーラ
CARABELLESE	カラベレーゼ
CARACAS	カラカス
CARACCIOLO	カラッチョロ
CARADOSSO	カラドッソ
CARAGIALE	カラジャーレ
CARAM	カラン
CARASSUS	カラシュス
CARAVAGGIO	カラバッジオ
CARAWAY	キャラウェー
CARBO	カルボ
CARBONE	カルボーネ
CARBONNAUX	カルボノー
CARCANI	チャルチャニ
CARCANO	カルカーノ
CARCOPINO	カルコピノ
CARD	カード
CARDANO	カルダーノ
CARDARELLI	カルダレッリ
CARDEN	カードン
CARDENAL	カルデナル
CARDENAS	カルデナス
CARDIFF	カーディフ
CARDIM	カルディム
CARDIN	カルダン
CARDINAL	カーディナル
CARDINALE	カルディナーレ
CARDINE	カルディーヌ
CARDOZO	カードーゾ
CARDUCCI	カルドゥッチ
CARDWELL	カードウェル
CAREK	カレック
CARELL	カレル
CARENA	カレーナ
CAREW	カルー
CAREWE	カリュー
CAREY	キャリー
CARGILL	カーギル
CARHART	カーハート
CARIBOU	カリブー
CARILLO	カリロ
CARIN	カリン
CARL	カルル
CARLA	カルラ
CARLE	カルレ
CARLEMAN	カーレマン
CARLES	カルル
CARLETON	カールトン
CARLEY	カーリー
CARLGREN	カルルグレン
CARLI	カルリ
CARLILE	カーライル
CARLIN	カルリン
CARLISLE	カーライル
CARLO	カルロ
CARLOS	カルロス
CARLSEN	カールスン
CARLSON	カールスン
CARLSSON	カールソン
CARLSTON	カールストン
CARLTON	カールトン
CARLUCCI	カールッチ
CARLYLE	カーライル
CARLZON	カールソン
CARMAN	カーマン
CARMEL	カルメル
CARMELO	カルメロ
CARMEN	カルメン
CARMER	カルメル
CARMICHAEL	カーマイケル
CARMODY	カーモディ
CARMONA	カルモナ
CARN	カーン
CARNAP	カルナップ
CARNARVON	カーナーボン
CARNEC	カルネック
CARNEGIE	カーネギー
CARNEIRO	カルネイロ
CARNELL	カーネル
CARNERA	カルネラ
CARNES	カーンズ
CARNEVALE	カーネベル
CARNEVALI	カーニバリ
CARNEY	カーニー
CARNOCK	カーノック
CARNOT	カルノー
CARNOY	カルノワ
CARO	カロ
CAROE	キャロー
CAROL	キャロル
CAROLA	カローラ
CAROLE	キャロル
CAROLINA	カロライナ
CAROLINE	カロライン
CAROLL	キャロル
CAROLYN	カロリン
CARON	カロン
CAROSO	カローゾ
CAROTHERS	カロザーズ
CAROVILLANO	カロビリャーノ
CARP	カルプ
CARPACCIO	カルパッチョ
CARPENTER	カーペンター
CARPENTIER	カルパンチェ
CARPI	カルピ
CARPINI	カルピニ
CARPIO	カーピオ
CARR	カー
CARRADINE	キャラダイン
CARRASCO	カラスコ
CARRELL	カレル
CARRERA	カレラ
CARRICK	カリック
CARRIE	キャリー
CARRIER	カリエ
CARRIERI	カッリエーリ
CARRILLO	カリリョ
CARRINGTON	カリントン
CARRITT	キャリット
CARROL	キャロル
CARROLL	キャロル
CARRON	キャロン
CARROTHERS	カロゾルス
CARRUTHERS	カラザズ
CARRY	キャリー
CARS	カーシュ
CARSE	カース
CARSON	カースン
CARSTAIRS	カーステアズ
CARSTENS	カルステンス
CARSWELL	カースウェル
CARTAGENA	カルタジェナ
CARTAN	カルタン
CARTER	カーター
CARTHY	カーシ
CARTIER	カルティエ
CARTLAND	カートランド
CARTLEDGE	カートリッジ
CARTOU	カルトウ
CARTWRIGHT	カートライト
CARUS	カルス
CARUSO	カルーソー
CARVAJAL	カルバハル
CARVALHO	カルバリョ
CARVER	カーバー
CARVILL	カービル
CARVIN	カービン
CARY	キャリー
CARYL	カリル
CASABIANCA	カザビアンカ
CASABLANCA	カサブランカ
CASADESUS	カサドシュ
CASAL	カサール
CASALS	カザルス
CASANOVA	カザノバ
CASARES	カサーレス
CASAS	カサス
CASATI	カサーティ
CASAUBON	カゾボン
CASAZZA	カサッツァ
CASCA	カスカ
CASCIO	キャシオ
CASCUDO	カスクード
CASE	ケイス
CASELLA	カセラ
CASELLATO	カゼルラート
CASELLI	カセリ
CASEMENT	ケースメント
CASERINI	カゼリーニ
CASERIO	カゼイロ
CASEY	キャシー
CASH	キャッシュ
CASHMERE	カシミヤ
CASHMORE	キャッシュモア
CASLAVSKA	チャスラフスカ
CASLON	カズロン
CASONI	カゾーニ
CASORATI	カゾラーティ
CASPAR	カスパル
CASPARI	カスパリ
CASPER	キャスパー
CASPERSSON	カスペルソーン
CASS	カス
CASSANDER	カッサンダー
CASSANDRA	カッサンドラ
CASSANDRE	カッサンドル
CASSATT	カサット
CASSEL	カッセル
CASSELL	キャッセル
CASSELLA	カッセラ
CASSELS	カースルズ
CASSIDY	キャシディ
CASSIE	キャシー
CASSIGNEUL	カシニュール
CASSILLY	キャシリー
CASSIN	カサン
CASSINARI	カッシナリ
CASSINELLI	カッシネルリ
CASSINI	カッシニ
CASSINO	カシーノ
CASSIUS	カシウス
CASSOLA	カッソーラ
CASSON	キャッソン
CASSOU	カスー
CASSUTO	カッスート
CASTAGNONE	カスタニョーネ
CASTANEDA	カスタネダ
CASTANHEDA	カスタニェーダ
CASTANIER	カスタニエ
CASTELLAN	カステラン
CASTELLANA	カステラーナ
CASTELLANO	カステラーノ
CASTELLO	カステロ
CASTELNAU	カステルノー
CASTELNUOVO	カステルヌオボ
CASTELVETRO	カステルウェトロ
CASTEX	カステックス
CASTIGLIANO	カスティリャーノ
CASTIGLIONE	カスティリオーネ
CASTIGLIONI	カスティリオーニ
CASTILE	カステル
CASTILHO	カスティーリョ
CASTILLO	カスティヨ
CASTLE	カストレ
CASTLEMAN	カッスルマン
CASTLEREAGH	カースルレー
CASTNER	カストナー
CASTON	カースタン
CASTRIES	カストリーズ
CASTRO	カストロ
CASUCCI	カスチ
CASWELL	キャズウェル
CATALANO	カタラーノ
CATALONIA	カタロニア
CATANIA	カタニア
CATARGIU	カタルジュウ
CATE	ケイト
CATENA	カテーナ
CATES	ケイツ
CATHCART	カスカート
CATHELINEAU	カトリノー
CATHER	キャザー
CATHERINE	カテリーン
CATHY	キャシイ
CATILINA	カティリナ
CATINAT	カティナ
CATLETT	カトレット
CATLIN	カトリン
CATO	ケイトウ
CATON	ケイトン
CATRON	カトロン
CATS	カッツ
CATTANEO	カッタネオ
CATTELL	カッテル
CATTERALL	カテラル
CATTIN	カッタン
CATTINI	カッティーニ
CATTO	カトー
CAU	コー
CAUCASUS	コーカサス
CAUCHON	コーション
CAUCHY	コーシー
CAUDILL	コーディル
CAULAINCOURT	コランクール
CAULEY	コーリー
CAULLERY	コールリ
CAULTON	カウルトン
CAUSEY	コーズィー
CAUVIN	コーバン
CAVA	カバ
CAVAIGNAC	カベニャック
CAVALCANTI	カバルカンティ
CAVALCASELLE	カバルカセレ
CAVALLERO	カバレロ
CAVANAUGH	キャバノー
CAVANI	カバーニ
CAVARA	カバラ
CAVAZOS	カバゾス
CAVAZZONI	カバッツォーニ
CAVE	ケイブ
CAVELTI	カベルティ
CAVENDISH	キャベンディシュ
CAVENTOU	カバントゥー
CAVOLI	カボーリ
CAVOUR	カブール
CAVUOTO	キャビュオト
CAXIAS	カシアス
CAY	ケイ
CAYATTE	カイヤット
CAYENNE	ケイエン
CAZACU	カザク
CAZALIS	カザリス
CAZAMIAN	カザミヤン
CAZAUD	カゾード
CAZAURAN	カゾーラン
CAZEAU	カズー
CAZIN	カザン
CAZOTTE	カゾット
CEAUSESCU	チャウシェスク
CEBOTARI	チェボターリ
CECCAROSSI	チェッカロッシ
CECCATO	チェッカート
CECCHELE	チェッケーレ
CECCHETTI	チェケッティ
CECCHI	チェッキ
CECCHIN	チキン
CECCHINI	チェッキーニ
CECH	チェック
CECIL	セシル
CECILIA	セシリア
CEDAR	シーダ
CEDRIC	セドリック
CELAN	ツェラン
CELASUN	ジェラスン
CELAYA	セラーヤ
CELENTANO	チェレンターノ
CELENZA	セレンザ
CELESIA	セレシア
CELESTE	セレスト
CELESTIN	セレスティン
CELESTINO	セレスティーノ
CELI	チェリ
CELIA	セリア
CELIBIDACHE	チェリビダッケ
CELLERIER	セルリェ
CELLIER	セリアー
CELLINI	チェッリーニ
CELSO	セルソ
CENDRARS	サンドラール
CENNINI	チェンニーニ
CENTENO	センテーノ
CENTURIONE	チェントゥリオーネ
CENTURY	センチュリー
CERAM	ツェーラム
CERAR	ツェラール
CEREAL	シリアル
CEREZO	セレソ
CERF	サーフ
CERHA	チェルハ
CERI	セリ
CERMAK	サーマク
CERMINARA	サーミナラ
CERNAN	サーナン
CERNAY	セルネ
CERNEI	チェルネイ
CERNIA	セルニア
CERNUDA	セルヌーダ
CERNUSCHI	チェルヌースキ
CERNY	サーニー
CEROLI	セローリ
CERQUEIRA	セルケイラ
CERQUETTI	チェルケッティ
CERQUOZZI	チェルクウォッツィ
CERRETTI	チェレッティ
CERRITO	チェリート
CERRUTI	セルッティ
CERTEAU	セルトー
CERULLI	チェルーリ
CERUTTI	セルティ
CERVANTES	セルバンデス
CERVELLATI	チェルベッラーティ
CERVI	チェルビ
CERVO	チェルボ
CESALPINO	チェザルピーノ
CESAR	シーザー
CESARE	チェザーレ
CESARI	チェザーリ
CESARO	チェザーロ
CESAROTTI	チェザロッティ
CESBRON	セブロン
CESERANI	チェゼラーニ
CESI	チェージ
CESKA	チェスカ
CESSELIN	セスラン
CESTI	チェスティ
CETRON	シートロン
CETTOUR	セトゥール
CEVA	チェバ
CEYLON	セイロン
CEZAR	セサール
CHABANEAU	シャバノー
CHABAS	シャバ
CHABON	シェイボン
CHABOT	シャボー
CHABRIER	シャブリエ
CHABUKIANI	チブキアーニ
CHACE	チェイス
CHAD	チャド
CHADBOURN	チャドバーン
CHADOURNE	シャドゥルヌ
CHADWICK	チャドウィク
CHAFFEE	チャフィー
CHAGALL	シャガール
CHAGAS	シャガス
CHAGNON	シャグノン
CHAIGNE	シェーニュ
CHAIKIN	シェイキン
CHAIKOVSKI	チャイコフスキー
CHAIM	カイム
CHAIN	チェーン
CHAISSON	チェイソン
CHAJES	チェイジュス
CHAKRAVARTI	チャクラバルティ
CHAKRAVARTY	チャクラバルティー
CHALABALA	ハラバラ
CHALANDON	シャランドン
CHALFONT	チャルフォント
CHALK	チョーク
CHALKER	チョーカー
CHALLONER	チャロナー
CHALMERS	シャルマース
CHALUMEAU	シャリュモー
CHAMBADAL	シャンバダル
CHAMBERLAIN	チェンバリン
CHAMBERLAND	シャンベラン
CHAMBERLIN	チェンバリン
CHAMBERS	チェインバース
CHAMBON	シャンボン
CHAMBORD	シャンボール
CHAMFORT	シャンフォール
CHAMINADE	シャミナード
CHAMISSO	シャミッソー
CHAMONIN	シャモナン
CHAMORRO	チャモロ
CHAMOUN	シャムーン
CHAMPAIGNE	シャンパーニュ
CHAMPEAU	シャンポー
CHAMPETIER	シャンプチエ
CHAMPIGNEULLE	シャンピニュル
CHAMPION	シャンピオン
CHAMPIONNET	シャンピオネ
CHAMPLAIN	シャンプラン
CHAMPOLLION	シャンポリオン
CHAMPSAUR	シャンソール
CHAMSON	シャンソン
CHAN	チャン
CHANARIN	キャナリン
CHANCE	チャンス
CHANCEL	シャンセル
CHANCELLOR	チャンセラー
CHANDA	チャンダー
CHANDERNAGOR	シャンデルナゴール
CHANDLER	チャンドラー
CHANDOR	チャンダー
CHANDRA	チャンドラ
CHANDRASEKHAR	チャンドラセカール
CHANEL	シャネル
CHANEY	チェニー
CHANG	チャン
CHANGARNIER	シャンガルニエ
CHANGEUX	シャンジュー
CHANNING	チャニング
CHANNON	シャノン
CHANOINE	シャノアーヌ
CHANT	チャント
CHANTAL	シャンタル
CHANTAVOINE	シャンタボアーヌ
CHANTREY	チャントレー
CHAO	チャオ
CHAPAEV	チャパエフ
CHAPAIS	シャペー
CHAPARD	チャパード
CHAPDELAINE	シャプドレーヌ
CHAPEL	シャペル
CHAPELAIN	シャプラン
CHAPELET	シャプレ
CHAPELOT	シャプロ
CHAPIN	チェーピン
CHAPLIN	シャプラン
CHAPLYGIN	チャプルイギン
CHAPMAN	チャップマン
CHAPON	シャポン
CHAPONE	シャポーン
CHAPOUTON	シャープトン
CHAPPAZ	シャパ
CHAPPE	シャップ
CHAPPELL	チャッペル
CHAPPLE	チャップル
CHAPSAL	シャプサル
CHAPTAL	シャプタル
CHAPU	シャピュ
CHAPUIS	シャピュイ
CHAPYGIN	チャプイギン
CHARAN	チャラン
CHARBONNEAU	シャルボノー
CHARDONNE	シャンドンヌ
CHARDONNET	シャルドンネ
CHARIGNON	シャリニョン
CHARIS	ハーリス
CHARISIUS	カリシウス
CHARLES	シャルル
CHARLESTON	チャールストン
CHARLESTOWN	チャールズタウン
CHARLESWORTH	チャールスワース
CHARLET	シャルレ
CHARLIE	チャーリー
CHARLOT	シャルロー
CHARLOTTE	シャルロッテ
CHARLOTTETOWN	シャーロットタウン
CHARLTON	チャールトン
CHARMES	シャルム
CHARN	チャーリン
CHARNAY	シャルネー
CHARNEY	チャーニ
CHARNISAY	シャルニゼー
CHARNOCK	チャーノック
CHARONTON	シャロントン
CHARPENTIER	シャルパンティエ
CHARPIN	シャーピン
CHARRETON	シャールトン
CHARRY	チャーリー
CHARUSHIN	チャルーシン
CHARVIN	シャルバン
CHASE	チェイス
CHASINS	チェーズンズ
CHASTAIN	チャステイン
CHASTEL	シャステル
CHASTELLAIN	シャトラン
CHASTENET	シャストネ
CHAT	チャート
CHATEAUBRIAND	シャトーブリアン
CHATEAUBRIANT	シャトーブリアン
CHATELAIN	シャトラン
CHATER	チャター
CHATFIELD	チャットフィールド
CHATTANOOGA	チャタヌーガ
CHATTERJEE	チャタジー
CHATTERJI	チャタルジー
CHATTERTON	チャタートン
CHATTON	チャットン
CHATWIN	チャトウィン
CHAUCER	チョーサー
CHAUCHARD	ショシャール
CHAULET	ショレー
CHAULIAC	ショーリアク
CHAUMETTE	ショーメット
CHAUMONT	ショーモン
CHAUNCEY	チョウンシー
CHAUNCY	チャーンシ
CHAUSSIER	ショシェ
CHAUSSON	ショーソン
CHAUTARD	ショータール
CHAUTEMPS	ショータン
CHAUVEAU	ショボー
CHAUVENET	ショーブネ
CHAUVET	ショーベ
CHAUVIN	ショバン
CHAVAN	チャバン
CHAVCHAVADZE	チャフチャバーゼ
CHAVEZ	チャベス
CHAYANOV	チャヤーノフ
CHAZAUD	シャゾー
CHAZE	チェイズ
CHAZOV	チャゾフ
CHEATHAM	チーサム
CHEBAT	シュバ
CHEBOTARYOV	チェボタリョーフ
CHEBRIKOV	チェブリコフ
CHECHULIN	チュチューリン
CHECK	チェック
CHEDDAR	チェダー
CHEETHAM	チータム
CHEKE	チーク
CHEKHARIN	チェハリン
CHEKHOV	チェーホフ
CHEKHOVA	チェーホフ
CHELL	チェル
CHELMINSKI	チェルミンスキー
CHELMSFORD	チェムスフォード
CHEMET	シュメー
CHEMNITZ	ケムニッツ
CHENAL	シュナル
CHENEY	ケニー
CHENNAULT	シェンノート
CHERBONNEAU	シェルボノー
CHERENKOV	チェレンコフ
CHEREPNIN	チェレプニン
CHERKASOV	チェルカーソフ
CHERKASSKY	チェルカスキー
CHERN	チャーン
CHERNENKO	チェルネンコ
CHERNEVICH	チェルネビッチ
CHERNIAEV	チェルニャエフ
CHERNICOFF	チェルニコフ
CHERNIN	チャーニン
CHERNOV	チェルノフ
CHERNYSHYOV	チェルヌイショーフ
CHERRY	チェリー
CHERTOK	シェルトーク
CHERVENKOV	チェルベンコフ
CHERVONENKO	チェルボネンコ
CHESELDEN	チェズルデン
CHESHIRE	チェシャー
CHESKY	チェスキー
CHESLOCK	チェスロック
CHESNEY	チェスニー
CHESNUTT	チェスナット
CHESS	チェス
CHESTER	チェスター
CHESTERFIELD	チェスターフィールド
CHESTERMAN	チェスターマン
CHESTERTON	チェスタトン
CHET	チェット
CHETTLE	チェトル
CHETWYND	チェトウィンド
CHEVALIER	シェバリエ
CHEVALLEY	シュバレー
CHEVENEMENT	シュベーヌマン
CHEVERUS	シェブリュス
CHEVES	チブス
CHEVILLARD	シュビヤール
CHEVROLET	シェブロレー
CHEVRON	シェブロン
CHEWNING	チューニング
CHEYENNE	シャイアン
CHEYNE	チェーン
CHEYSSON	シェイソン
CHI	チ
CHIANTI	キャンティ
CHIAPELLI	キャペリ
CHIARA	キアラ
CHIARELLI	キアレッリ
CHIARI	キアーリ
CHIAURELI	チアウレーリ
CHIAVERI	キャベーリ
CHIC	チック
CHICAGO	シカゴ
CHICHELE	チチェリー
CHICHERIN	チチェリン
CHICHESTER	チチェスター
CHICKEN	チキン
CHIESA	キエザ
CHILD	チャイルド
CHILDE	チャイルド
CHILDS	チャイルズ
CHILE	チリ
CHILLINGWORTH	チリングワース
CHILTON	チルトン
CHIMENTI	キメンティ
CHIN	チン
CHINERY	チナリー
CHING	チン
CHINGIZ	チンギス
CHINN	チン
CHIOSSONE	キオソーネ
CHIOVENDA	キヨベンダ
CHIPMAN	チップマン
CHIPPENDALE	チッペンデール
CHIRA	チラ
CHIRINO	チリノ
CHISHOLM	チザム
CHISINAU	キシナウ
CHISSANO	シサノ
CHITTENDEN	チッテンデン
CHIZHOV	チジョフ
CHKHEIDZE	チヘイーゼ
CHLENOV	チレーノフ
CHLOPICKI	クロピツキ
CHMARA	クマラ
CHMURA	シュムラ
CHOATE	チョート
CHOAY	ショエ
CHOCANO	チョカーノ
CHODKIEWICZ	ホトケーウィチ
CHODOS	チョドス
CHODOWIECKI	コドウィエツキー
CHOISEUL	ショアズール
CHOISY	ショアジ
CHOLLEY	ショレー
CHOLMONDELEY	チャムレー
CHOMEL	ショメイル
CHOMSKY	チョムスキー
CHOPIN	ショパン
CHOPRA	チョプラ
CHOQUET	ショケー
CHORAO	シャーロー
CHOTZINOFF	ショツィノフ
CHOUDHURY	チョウドリ
CHOUINARD	シュイナード
CHOURAQUI	シュラキ
CHOUREAU	シューロー
CHOVIN	ショバン
CHRIMES	クライムズ
CHRIS	クリス
CHRIST	キリスト
CHRISTA	クリスタ
CHRISTCHURCH	クライストチャーチ
CHRISTEN	クリステン
CHRISTENSEN	クリステンセン
CHRISTENSON	クリステンソン
CHRISTIAN	クリスチャン
CHRISTIANSEN	クリスティアンセン
CHRISTIE	クリスティ
CHRISTIEN	クリスチャン
CHRISTIN	クリスタン
CHRISTINA	クリスチナ
CHRISTOFFEL	クリストッフェル
CHRISTOFFERSEN	クリストファーソン
CHRISTOFORO	クリストファロ
CHRISTOPH	クリストフ
CHRISTOPHE	クリストフ
CHRISTOPHER	クリストファ
CHRISTOPHERSEN	クリストファセン
CHRISTOPHIDES	クリストフィデス
CHRISTOS	クリストス
CHRISTOU	クリストウ
CHRISTOV	フリストフ
CHRYSANDER	クリュザンダー
CHRYSOSTOMOS	クリュソストモス
CHRZANOWSKI	シュルザノスキー
CHUBIN	チュービン
CHUCHRO	フフロ
CHUIKOV	チュイコフ
CHUMAN	チューマン
CHUN	クーン
CHUNG	チャン
CHUQUET	シュケ
CHURCHILL	チャーチル
CHUTE	チュート
CHUVASH	チュバシ
CIALDINI	チャルディーニ
CIAMPI	シアンピ
CIANCIO	チアンチオ
CIANI	チアーニ
CIANO	チアノ
CIARDI	キアルディ
CIBBER	シッバー
CICELY	シシリー
CICERO	キケロ
CIECHANOWSKI	チェハノフスキ
CIENFUEGOS	シエンフエゴス
CIESLIK	チースリク
CIFRA	チフラ
CIGADA	チガーダ
CIGNA	チーニャ
CIGOLI	チゴーリ
CIHAL	チガル
CILO	キロ
CIM	シム
CIMA	チマ
CIMATTI	チマチ
CIMINO	シミノ
CINCINNATUS	キンキナトゥス
CINDY	シンディ
CINO	チーノ
CINQUETTI	チンクエッティ
CIONE	チョーネ
CIONI	チオーニ
CIORAN	シオラン
CIORTEA	チョルテア
CIPELLETTI	チペレッティ
CIPOLLA	チポラ
CIPRIANI	チプリアーニ
CIPRIANO	シプリアノ
CIRIACO	チリアコ
CIRINO	シリノ
CIVIL	シビル
CIVIRANI	チビラーニ
CIXOUS	シクスス
CLAES	クラース
CLAP	クラップ
CLAPESATTLE	クラッペサトル
CLAPEYRON	クラペイロン
CLAPHAM	クラッパム
CLAPP	クラップ
CLAPPERTON	クラッパートン
CLAPTON	クラプトン
CLARA	クララ
CLARE	クレア
CLARENCE	クラレンス
CLARENDON	クラレンドン
CLARICE	クラリッセ
CLARISSA	クラリサ
CLARK	クラーク
CLASSEN	クラッセン
CLAUDE	クロード
CLAUDIA	クラウディア
CLAUDIO	クラウディオ
CLAUDIUS	クラウディウス
CLAUS	クラウス
CLAUSEN	クラウセン
CLAUSEWITZ	クラウゼビッツ
CLAUSING	クロージング
CLAUSIUS	クラウジウス
CLAUSON	クローゾン
CLAUSSEN	クラウセン
CLAVEL	クラベル
CLAVER	クラベル
CLAVIJERO	クラビヘロ
CLAVIUS	クラビウス
CLAXTON	クラクストン
CLAY	クレイ
CLAYTON	クレイトン
CLEARWATER	クリアウォーター
CLEBSCH	クレープシュ
CLEMENS	クレメンス
CLEMENT	クレメント
CLEMENTE	クレメンテ
CLEMENTI	クレマンティ
CLEMENTIS	クレメンティス
CLEMENTS	クレメンツ
CLEOBURY	クレバリー
CLERIDES	クリリデス
CLERMONT-FERRAND	クレルモンフェラン
CLEVE	クリーブ
CLEVELAND	クリーブランド
CLEVENGER	クレベンジャー
CLEWING	クレビング
CLIFF	クリフ
CLIFFORD	クリフォード
CLIFTON	クリフトン
CLINE	クライン
CLINT	クリント
CLINTON	クリントン
CLISSOLD	クリソルド
CLISSON	クリッソン
CLIVE	クライブ
CLOETE	クローテ
CLOSETS	クロゼ
CLOUGH	クラウ
CLOUZOT	クルーゾ
CLOVIO	クロビオ
CLUSERET	クリュズレ
CLYDE	クライド
CLYMER	クライマー
CLYNE	クライン
CLYNES	クラインズ
COATSWORTH	コーツワース
COBALT	コバルト
COBET	コベット
COBHAM	コブハム
COBO	コボ
COBOS	コボ
COBURG	コーブルク
COBURN	コバーン
COCHEREAU	コシュロー
COCHET	コシェ
COCHIN	コシャン
COCHRANE	コクラン
COCK	コック
COCKAYNE	コケーン
COCKBURN	コックバーン
CODDINGTON	コディントン
CODREANU	コドレアーヌ
CODRINGTON	コドリングトン
COEHOORN	クーホルン
COELHO	コエリョ
COELLO	コエリョ
COEN	クーン
COETZEE	クッツェー
COFFEE	コーヒー
COFFEY	コッフィ
COGAN	コーガン
COGER	コーガー
COGHLAN	コグラン
COGSWELL	コグズウェル
COHAN	コーハン
COHEN	コヘン
COHN	コーン
COHNHEIM	コーンハイム
COIGNET	コワニエ
COIMBRA	コインブラ
COINEAU	コワノー
COITER	コイター
COKER	コカー
COLBERT	コルバート
COLBORNE	カルバン
COLBURN	コルバーン
COLBY	コルビー
COLDEN	コールデン
COLDWELL	コールドウェル
COLE	コウル
COLEMAN	コールマン
COLEN	コーレン
COLENSO	コレンゾー
COLERIDGE	コールリッジ
COLETTE	コレット
COLGATE	コルゲート
COLIJN	コリーン
COLIN	コラン
COLLA	コーラ
COLLEEN	コリーン
COLLETT	コレット
COLLIER	コリア
COLLIGNON	コリニョン
COLLIN	コリン
COLLINDER	コリンダー
COLLINGWOOD	コリングウッド
COLLINS	コリンズ
COLLINSON	コリンソン
COLLIP	コリップ
COLLUM	コルム
COLM	コルム
COLMAN	コールマン
COLMAR	コルマール
COLMER	コーマー
COLOGNE	コロン
COLOMB	コロンブ
COLOMBIA	コロンビア
COLOMBO	コロンボ
COLON	コロン
COLONNA	コロンナ
COLONNE	コロンヌ
COLORADO	コロラド
COLOTKA	ツォロトカ
COLQUHOUN	コフーン
COLSON	コルソン
COLSTON	コールストン
COLT	コルト
COLUCCIO	コルッチョ
COLUM	コラム
COLUMBIA	コロンビア
COLUMBUS	コロンバス
COLVIN	コルビン
COLWELL	コルウェル
COMANECI	コマネチ
COMBARIEU	コンバリュー
COMBAZ	コンバズ
COMBE	クーム
COMBES	コンブ
COMBS	コームズ
