A BOMB	เอบอมบ์
CONSUL	กงสุล
CONSULTATION	คอมซัลเทชัน
CONSULTING	คอนซัลติง
CONSUMER	คอนซูเมอร์
CONTACT LENS	คอนแทกต์เลนส์
CONTACT LENSES	คอนแทกต์เลนส์
CONTEMPORARY	คอนเทมพอรารี
CONTENT	คอนเทนต์
CONTESSA	คอนเทสซา
CONTEST	คอนเทสต์
CONTINENTAL BREAKFAST	คอนทิเนนทัลเบรกฟาสต์
CONTRA OCTAVE	คอนตราออคเตฟ
CONTRARIES	คอนทรารี
CONTRAST	คอนทราสต์
CONTRAVARIANT	คอนทราแวเรียนต์
CONTROL	คอนโทรล
CONTROL PANEL	คอนโทรลพาเนล
CONULARID	คอนูลาริด
CONVENIENCE FOOD	คอนวีเนียนซ์ฟูด
CONVENT	คอนแวนต์
CONVERSE	คอนเวิร์ส
CONVERT	คอนเวิร์ต
CONVERTER	คอนเวอร์เตอร์
CONVEX	คอนเวกซ์
COOK	กุ๊ก
COOK BOOK	คุกบุ๊ก
COOKE, SAM	คุก, แซม
COOKIE	คุกกี้
COOLA	คูลา
COOLANT	คูแลนต์
COOLER	คูลเลอร์
COOLIDGE	คูลิดจ์
COOLIDGE, RITA	คูลิดจ์, ริตา
COOLIE	กุลี
COOMB	คูมบ์
COOMBE	คูมบ์
COOPER	คูเปอร์
COOPER, ALICE	คูเปอร์, แอลิซ
COORDINATION	โคออร์ดิเนชัน
COOTS, JOHN FREDERICK	คูตส์, จอห์น เฟรเดริก
COP	ซีโอพี
COPENHAGEN	โคเปนฮาเกน
COPERNICUS	โคเพอร์นิคัส
COPERNICUS, NICOLAUS	โคเพอร์นิคัส, นิโคเลาส์
COPPARD	คอปพาร์ด
COPPER	คอปเปอร์
COPPERAS	คอปเปอรัส
COPTIC	คอปต์
COPY	ก๊อบปี้
COPY WRITER	ก๊อบปี้ไรเตอร์
COQUINA	โคคีนา
CORAL	คอรัล
CORALLIAN	คอรอลเลียน
CORBUSIER, LE	กอร์บูซีเย, เลอ
CORD	คอร์ด
CORDIERITE	คอร์เดียไรต์
CORE CPI	คอร์ซีพีไอ
CORFU	คอร์ฟู
CORIOLIS	คอริออลิส
CORK	คอร์ก
CORK CELL	เซลล์คอร์ก
CORN	คอร์น
CORN COCKEL	คอร์นค้อกเกิล
CORN OIL	คอร์นออยล์
CORN SALAD	คอร์นสลัด
CORN SPURREY	คอร์นสเปอรี่
CORN SYRUP	คอร์นไซรัป
CORNBRASH	คอร์นแบรช
CORNELIUS	คอร์เนลีอุส
CORNELL	คอร์เนลล์
CORNER	คอร์เนอร์
CORNET	คอร์เนต
CORNFLAKES	คอร์นเฟลกส์
CORNICE	คอร์นิซ
CORNMEAL	คอร์นมีล
CORONA	คอโรนา
CORONAL	โคโรนัล
CORONOID	คอโรนอยด์
COROT, JEAN-BAPTISTE-CAMILLE	โกโร, ชอง-บาตีสต์-กามีย์
COROUTINE	โครูทีน
CORPORATION	คอร์ปอเรชั่น
CORPUS	คอร์ปัส
CORRECT	คอร์เรกต์
CORREGGIO	กอร์เรจโจ
CORRENTE	คอร์เรนเต
CORRIE	คอร์รี
CORRUPTION	คอรัปชั่น
CORSET	คอร์เซต
CORSICA	คอร์ซิกา
CORTEX	คอร์เทกซ์
COS	คอส
COSECANT	โคซีแคนต์
COSEISMIC	โคไซสมิก
COSGRAVE	คอสเกรฟ
COSMETICS	คอสเมติกส์
COSMIC	คอสมิก
COSSAC	คอสแซค
COSSACK	คอสแซค
COST	คอสต์
COSTA	โกสตา
COSTA RICA	คอสตาริกา
COSTARICA	คอสตาริกา
COSTELLO	คอสเทลโล
COSTELLO, ELVIS	คอสเทลโล, เอลวิส
COTANGENT	โคแทนเจนต์
COTE	โกต
COTE D'LVOIRE	โกตดิวัวร์
COTMAN, JOHN SELL	คอตแมน, จอห์น เซลล์
COTTAGE	คอตเทจ
COTTON GRASS	คอตต้อนกราส
COTYLOSAUR	โคทิโลซอร์
COUCH	คูช
COULOIR	กูลัวร์
COULOMB	คูลอมบ์
COUNT	เคานต์
COUNT BASIE	เคานต์เบซี
COUNT DOWN	เคาน์ดาวน์
COUNTDOWN	เคานต์ดาวน์
COUNTER	เคาน์เตอร์
COUNTESS	เคาน์เตส
COUNTRY	คันทรี
COUNTRY BOROUGH	เคาน์ตีบะระ
COUNTY	เคาน์ตี
COUPE	คูเป
COUPLE	คัปเปิล
COUPLES, FRED	คัปเปิลส์, เฟรด
COURAGE	เคอเรจ
COURANT	คูรันต์
COURBET, GUSTAVE	กูร์เบ, กูสตาฟว์
COURSE	คอร์ส
COURSEWARE	คอร์สแวร์
COURT	คอร์ต
COURT SHOE	คัตชู
COVALENCE	โคเวเลนซ์
COVALENT	โควาเลนท์
COVARIANT	โคแวเรียนต์
COVELLITE	โคเวลไลต์
COVENTRY	โคเวนทรี
COWARD	เคาว์เอิร์ด
COWBERRY	คาวเบอร์รี่
COWBOY	คาวบอย
COWES	คาวส์
COWGIRL	คาวเกิร์ล
COWLEY	คาวลีย์
COWPENS	เคาว์เพนส์
COWPER	คูว์เปอร์
CPM	ซีพีเอ็ม
CPS	ซีพีเอส
CPU	ซีพียู
CR	ซีอาร์
CRABBE	แครบบ์
CRACHIN	คราชิน
CRACKER	แครกเกอร์
CRADDOCK	แครดด็อก
CRAFT	คราฟต์
CRAIG	เครก
CRAMER	คราเมอร์
CRANBERRY	แครนเบร์รี
CRANE	เครน
CRANE'S BILL	เครนส์บิล
CRASHAW	แครชอว์
CRAWFISH	ครอว์ฟิช
CRAWFORD	ครอว์ฟอร์ด
CRAWLER DOZER	ครอเลอร์โดเซอร์
CRAYFISH	เครย์ฟิช
CRC	ซีอาร์ซี
CREAM	ครีม
CREAM CARAMEL	ครีมคาราเมล
CREAM OF TARTAR	ครีมออฟทาร์ทาร์
CREAM SODA	ครีมโซดา
CREASEY	ครีซีย์
CREATIVE	ครีเอทิฟ
CREDIT	เครดิต
CREDIT CARD	เครดิตการ์ด
CREDIT FANCIER	เครดิตฟองซิเอร์
CREDIT FONCIER	เครดิตฟองซิเอร์
CREEK	ครีก
CREELEY	ครีลีย์
CREOLE	ครีโอล
CREOSOTE	ครีโอโซต
CREPE	เครป
CREPE DE CHINE	เครปเดอชีน
CREPE SUZETTE	เครปซูเซตต์
CREPUSCULAR	ครีปัสคิวลาร์
CRESS	เครส
CRET	เกรต
CRETACEOUS	ครีเตเชียส
CRETE	ครีต
CRICHTON, MICHAEL	คริชตัน, ไมเคิล
CRICK	คริก
CRICKET	คริกเกต
CRICOID	ไครคอยด์
CRIMEA	ไครเมีย
CRIMSON CLOVER	คริมสันโคลเวอร์
CRINOID	ไครนอยด์
CRIPTON	คริปตอน
CRISIS	ไครซิส
CRISP	คริสป์
CRISTOBALITE	คริสโทบาไลต์
CRO-MAGNON	โครมันยอง
CROAT	โครแอต
CROATIA	โครเอเชีย
CROCE, JIM	โครเช, จิม
CROCHET	โครเชต์
CROCIDOLITE	โครซิโดไลต์
CROCK POT	คร็อกพอต
CROCKETT	ครอกเกตต์
CROESUS	ครีซัส
CROFT	ครอฟต์
CROFTS	คร็อฟตส์
CROISSANT	กรัวซอง
CROKER	โครเกอร์
CROME, JOHN	โครม, จอห์น
CROMLECH	ครอมเลก
CROMWELL	ครอมเวลล์
CROOKES	ครูกส์
CROSFIELD	ครอสฟีลด์
CROSS	ครอส
CROSS COUNTRY	ครอสส์ คันทรี
CROSS-STITCH	ครอสสติตช์
CROSSOPTERYGIAN	ครอสซอปเทอริเจียน
CROTON	โกรตัน
CROWBERRY	โครว์เบอร์รี่
CROWE	โครว์
CROWN	คราวน์
CROWN COLONY	คราวน์โคโลนี
CRT	ซีอาร์ที
CRUISE	ครูซ
CRUISE, TOM	ครูส, ทอม
CRULLER	ครัลเลอร์
CRUMB	ครัมบ์
CRUNDALL	ครันดอลล์
CRUSADE	ครูเซด
CRUST	ครัสต์
CRUSTACEA	ครัสเตเซีย
CRUSTACEANS	ครัสเตเชียน
CRYOHYDRATE	ไครโอไฮเดรต
CRYOLITE	ไครโอไลต์
CRYOPHILIC	ครีโอฟิลิก
CRYOSCOPIC	ไครโอสโกปิก
CRYPTOSPORIDIUM	คริปโตสปอริเดียม
CRYPTOZOIC	คริปโทโซอิก
CRYPTOZOON	คริปโทซูน
CRYSTAL	คริสตัล
CRYSTALLINE	คริสตัลไลน์
CRYSTALLOID	คริสแทลลอยด์
CSO	ซีเอสโอ
CSR	ซีเอสอาร์
CTT	ซีทีที
CTX	ซีทีเอ็กซ์
CUBA	คิวบา
CUBANITE	คิวบาไนต์
CUBE SUGAR	คิวบ์ชูการ์
CUBIC	คิวบิก
CUBISM	คิวบิซึม
CUCUMBER	คิวคัมเบอร์
CUE	คิว
CUESTA	เกวสตา
CUISINE	กุยซีน
CULINARY	คัลลินารี
CULLEN	คัลเลน
CULM	คัลม์
CULTURE	คัลเชอร์
CUMBERLAND	คัมเบอร์แลนด์
CUMMINGS	คัมมิงส์
CUMMINTONITE	คัมมินโทไนต์
CUMULATE	คูมูเลต
CUMULONIMBUS	คิวมูโลนิมบัส
CUMULUS	คิวมูลัส
CUNEIFORM	คิวนิฟอร์ม
CUNNINGHAM	คันนิงแฮม
CUP	คัป
CUP CAKE	คัปเค้ก
CUPID	คิวปิด
CUPRITE	คิวไพรต์
CURACAO	คูราเซา
CURD	เคิร์ด
CURE	เคียวร์
CURFEW	เคอร์ฟิว
CURIE	คูรี
CURIUM	คูเรียม
CURL	เคิร์ล
CURLING	เคิลลิง
CURRANT	เคอร์แรนต์
CURRENT	เคอร์เรนต์
CURRIER, NATHANIEL	เคอร์รีเออร์, นาทาเนียล
CURRY	เคอร์รี
CURRY, JOHN STEUART	เคอร์รี, จอห์น สจวร์ต
CURSOR	เคอร์เซอร์
CURT	เคิร์ต
CURTISS	เคอร์ทิส
CURTIZ	เคอร์ติส
CURTS	เคิตส์
CURVE	เคิร์ฟ
CURWEN	เคอร์เวิ้น
CURZON	เคอร์ซอน
CUSACK, JOHN	คูแซ็ก, จอห์น
CUSEC	คิวเซก
CUSHING	คูชิ่ง
CUSHMAN	คูชเมิน
CUST	คัสต์
CUSTARD	คัสตาร์ด
CUSTER	คัสเตอร์
CUSTIS	คัสติส
CUSTOMER	คัสทอมเมอร์
CUSTOMISE	คัสตอมไมซ์
CUSTOMIZE	คัสตอมไมซ์
CUT	คัต
CUT SHOES	คัตชู
CUT-OUT	คัตเอาต์
CUTHBERT	คัทเบิร์ต
CUTHBERTSON	คัทเบิร์ตสัน
CUTIN	คิวทิน
CUTLER	คัตเลอร์
CUTOUT	คัตเอาต์
CUTRIGHT	คัตไรต์
CUTTEN	คัตเทิ้น
CUTTER	คัตเตอร์
CUTTING	คัตทิ่ง
CUTTINGS	คัทติ้ง
CUTTS	คัตส์
CUTWORK	คัตเวิร์ก
CUVETTE	กูแวต
CWM	คัม
CY	ไซย์
CYANIDE	ไซยาไนด์
CYBER	ไซเบอร์
CYBERNATICS	ไซเบอร์เนติกส์
CYBERNETIC	ไซเบอร์เนติก
CYBERNETICS	ไซเบอร์เนติกส์
CYBERSPACE	ไซเบอร์สเปซ
CYBORG	ไซบอร์ก
CYCLADES	ไซคลาดิส
CYCLAMATE	ไซคลาเมต
CYCLIC	ไซคลิก
CYCLOGRAPH	ไซโคลกราฟ
CYCLOHEXANOL	ไซโคลเฮกซานอล
CYCLOID	ไซคลอยด์
CYCLOMATIC	ไซโคลเมติก
CYCLONE	ไซโคลน
CYCLOSIS	ไซโคลซิส
CYNTHIA	ซินเทีย
CYPRIAN	ซีเพรียน
CYR	ซีร์
CYRENE	ไซรีนี
CYRIL	ซิริล
CYRILLUS	ซีรีเลิส
CYRUS	ไซเริส
CYST	ซีสต์
CYTOCHROME	ไซโทโครม
CYTOPLASM	ไซโตปลาสซึม
CYTOSOL	ไซโทซอล
CZAJKOWSKI	ไชคอฟสกี้
CZECH	เช็ก
CZECHOSLOVAKIA	เช็กโกสโลวะเกีย
D-BASE	ดีเบส
D.J.	ดีเจ
D.N.SMITH	ดี.เอ็น.สมิท
DAAN	ดาน
DABNEY	แด็บนีย์
DABO	ดาโบ
DABORMIDA	ดาบอร์มิดา
DAC	ดีเอซี
DACCA	ดักกา
DACE	เดส
DACEY	เดซีย์
DACHI	แดชี่
DACHSHUND	ดัคส์ฮุนด์
DACITE	เดไซต์
DACK	แด็ก
DACTYL	แด็กทิล
DAD	แด๊ด
DADA	ดาดา
DADDARIO	ดัดดารีโอ้
DADDY	แด๊ดดี
DADE	แด๊ด
DADISMAN	แดดิสเมิ่น
DADY	เดดี้
DAEMON	ดีมอน
DAF	ดีเอเอฟ
DAFF	แดฟ
DAFFODIL	แดฟโฟดิล
DAFOE	แดโฟ
DAFT	แดฟต์
DAGATA	ดากาต้า
DAGE	เดจ
DAGGETT	แดกิต
DAGHESTAN	ดาเกสถาน
DAGMAR	แด็กมาร์
DAGUE	ด็อก
DAGUILAR	เดอเกอเลอร์
DAHL	ดาห์ล
DAHL, RONALD	ดาห์ล, โรนัลด์
DAHLBERG	ดาลเบิร์ก
DAHLEN	ดาห์เลิน
DAHLIA	ดาห์เลีย
DAHOMEY	ดาโฮเม
DAIGLE	เดเกิล
DAILEY	เดลีย์
DAILY	เดลี
DAIMLER, GOTTLIEB	เดมเลอร์, กอทท์ลีบ
DAIN	เดน
DAINES	เดนส์
DAIRE	แดร์
DAIRY	แดรี
DAISY	เดซี
DAKAR	ดาการ์
DAKIN	เดกคิ้น
DAKOTA	ดาโกตา
DAL	แดล
DALAS	ดอเลิส
DALBY	ดอลบี้
DALE	เดล
DALESSANDRO	ดัลเลสซันโดร
DALGETY	แดลเกตี้
DALHART, VERNON	ดาลฮาร์ต, เวอร์นอน
DALI	ดาลี
DALI, SALVADOR	ดาลี, ซาลวาดอร์
DALIA	ดาเลีย
DALIO	แดลีโอ้
DALKE	เดลึก
DALKEITH	เดลคีท
DALL	ดอล
DALLAM	แดลเลิ่ม
DALLARD	แดลเลิร์ด
DALLAS	แดลเลิ่ส
DALLEY	แดลลีย์
DALLINGER	แดลลิเงอร์
DALLMAN	ดอลเมิ่น
DALLON	แดลเลิ่น
DALMAHOY	แดลเมอฮอย
DALMATIA	ดัลมาเชีย
DALMATIAN	แดลเมเชียน
DALRYMPLE	แดลริมเปิ้ล
DALTON	ดอลตัน
DALY	เดลี
DALZELL	แดลเซิล
DALZIEL	แดลซิล
DAMASCUS	ดามัสกัส
DAMATO	ดามาโต้
DAMBROSIO	แดมโบรซีโอ
DAME	เดม
DAMER	เดเมอร์
DAMERON	ดาเมรอน
DAMIAN	เดเมี่ยน
DAMIANO	ดอมีอาโน่
DAMICO	ดัมมีโค่
DAMM	แดมม์
DAMMANN	แดมเมินน์
DAMON	เดเมิน
DAMOURS	แดมูเอิร์ส
DAMPER	แดมเปอร์
DAN	แดนนี
DANA	ดานา
DANAHER	แดนาเฮอร์
DANCE	ดานซ์
DANCER	แดนเซอร์
DANCY	แดนซี่
DANDELION	แดนดิเลียน
DANDRIDGE	แดนดิดจ์
DANDY	แดนดี
DANE	เดน
DANELLE	เดอเนล
DANFORD	แดนเฟิร์ด
DANFORTH	แดนเฟิร์ท
DANGAN	แดงเกิ่น
DANGELO	แดนเจอโล้
DANIAL L. STUFFLEBEAM	แดเนียล แอล. สตัฟเฟลบีม
DANIEL	ดานีล
DANIELL	แดเนียลล์
DANIELLI	แดนีเอลี่
DANIELLS	แดนีเอลส์
DANIELS	แดนเนิลส์
DANIELSON	แดนเนียลสัน
DANISH PASTRY	แดนิชเพสทรี
DANKERT	แดงเคิร์ต
DANN	แดนน์
DANNER	แดนเนอร์
DANNY	แดนนี
DANTE	ดันเต
DANTES	แดนต์ส
DANTON	แดนเติ้น
DANUB	ดานูบ
DANUBE	ดานูบ
DANVERS	แดนเวิร์ส
DANZIG	ดานซิก
DANZIGER	แดนซีเกอร์
DAPHNE	ดาฟเน่
DAPONTE	ดัปพาวน์เต้
DAPPER	แด็ปเปอร์
DAQUINO	ดักควินโน
DAR	ดาร์
DAR ES SALAAM	ดาเอสซาลาม
DARBY	ดาร์บี
DARCH	ดาร์ช
DARDANELLES	ดาร์ดะเนลส์
DARDEN	ดาร์เดิ้น
DARE	แดร์
DARELL	ดาเรล
DARESBURY	เดริสแบรี่
DARGAN	ดาร์เกิ้น
DARI	ดารี
DARIAS	ดาเรียส
DARING	เดริ่ง
DARIOLE	แดริโอล
DARIUS	ดาริอุส
DARK	ดาร์ก
DARKE	ดาร์ก
DARLEY	ดาร์ลีย์
DARLING	ดาร์ลิ่ง
DARLINGTON	ดาร์ลิ่งเติ้น
DARMAN	ดาร์เมิ่น
DARNALL	ดาร์เนิล
DARNELL	ดาร์เนล
DARNLEY	ดาร์นลีย์
DARON	เดรอน
DARPANET	ดาร์พาเน็ต
DARR	แดร์
DARRAH	แดร์เรอ
DARRELL	แดร์เรลล์
DARREN	แดร์เรน
DARRIN	แดเริ่น
DARRYL	แดร์เริล
DART	ดาร์ต
DARTH	ดาร์ท
DARTMOOR	ดาร์ตมัวร์
DARTMOUTH	ดาร์ตเมิท
DARTON	ดาร์เติ้น
DARWEN	ดาร์เวิ่น
DARWIN, CHARLES	ดาร์วิน, ชาลส์
DASD	แดสดี
DASH	แดช
DASHPOT	แดชพอต
DASSIN	แดสซิน
DASYMETRIC	เดซิเมตริก
DAT	ดีเอที
DATA	ดาตา
DATABASE	ดาตาเบส
DATAGRAM	เดทาแกรม
DATE	เดต
DATH	แดท
DATIVE	เดทิฟ
DATOLITE	ดาโทไลต์
DATZ	แด็ตส์
DAU	โด
DAUBE	โดบ
DAUBNEY	เดาบ์นีย์
DAUER	ดาวเออร์
DAUGHERTY	ดักเคอที่
DAUGHTERS	ดอเทอร์ส
DAUM	ดอม
DAUME	เดาอูม
DAUMIER, HONORE	โดมีเย, ออนอเร
DAUN	ดอน
DAUNT	ดอนต์
DAVE	เดฟ
DAVEE	แดวี่
DAVENANT	เดฟนันต์
DAVENPORT, LINDSAY	ดาเวนพอร์ต, ลินด์เซย์
DAVENTRY	แดเวินทรี่
DAVES	เดฟส์
DAVEY	เดวีย์
DAVID	ดาวิด
DAVID AUSUBEL	เดวิด ออซูเบล
DAVID KOLB	เดวิด คอล์บ
DAVID R. KRATHWOHL	เดวิด อาร์. แครทโวล
DAVID WECHSLER	เดวิด เวคส์เลอร์
DAVID, EISENHOWER DWIGHT	เดวิด, ไอเซนฮาวร์ ดไวต์
DAVID, HAL	เดวิด, แฮล
DAVID, JACQUES-LOUIS	ดาวิด, ชาก-ลุย
DAVIDOFF	เดวีดอฟ
DAVIDOW	แดวีโด้
DAVIDSON	เดวิดสัน
DAVIE	เดวี่
DAVIES	เดวิส
DAVIES, ARTHUR BOWEN	เดวีส์, อาร์เทอร์ โบเวน
DAVILA	ดาวิล่า
DAVIN	แดวิน
DAVIS	เดวิส
DAVIS, JACK	เดวิส, แจ็ก
DAVIS, JIM	เดวิส, จิม
DAVIS, MILES	เดวิส, ไมลส์
DAVIS, STUART	เดวิส, สจวร์ต
DAVISON	เดวิเซิน
DAVISSON	เดวิสสัน
DAVIT	เดวิท
DAVY	เดวี
DAVYS	เดวิส
DAW	ดอว์
DAWE	ดอว์
DAWES	ดอส์
DAWKINS	ดอว์คินส์
DAWLEY	ดอว์ลีย์
DAWLISH	ดอลิช
DAWN	ดอว์น
DAWSON	ดอร์สัน
DAY	เดย์
DAYDON	เดเดิ้น
DAYLIGHT	เดย์ไลต์
DAYS	เดย์ส
DAYTON	เดย์เติ้น
DAZZLING	แดซซลิง
DBMS	ดีบีเอ็มเอส
DC	ดีซี
DCF	ดีซีเอฟ
DDT	ดีดีที
DE KOONING, WILLEM	เดอ คูนิง, วิลเลม
DE LUXE	เดอลักซ์
DE STIJL	เดสตีเจล
DEA	ดี
DEACON	ดีเกิ่น
DEACTIVATION	ดีแอ็คติเวชัน
DEAD	เดด
DEAD LIFT	เดดลิฟท์
DEAD SEA	เดดซี
DEADLINE	เดดไลน์
DEAK	ดิ๊ก
DEAL	ดีล
DEALE	ดิล
DEALEY	ดีลีย์
DEAM	ดีม
DEAMINATION	ดีอะมิเนชัน
DEAN	ดีน
DEANE	ดิน
DEANES	ดีแอนส์
DEANGELIS	แดงเจิลเลิส
DEANS	ดีนส์
DEAR	เดียร์
DEARBORN	เดียร์บอร์น
DEARDEN	เดียร์เดิ่น
DEARDORFF	เดียร์ดอร์ฟ
DEARIE	เดอรี่
DEARING	เดียริ่ง
DEARMAS	เดอร์เมิส
DEARMOND	เดียร์เมินด์
DEARNLEY	เดิร์นลี่
DEARTH	เดิร์ท
DEAS	ดิส
DEASE	ดิส
DEB	เดบ
DEBACA	เดอบาค่า
DEBAKEY	ดีเบอร์คีย์
DEBATE	ดีเบต
DEBBIE	เดบบี
DEBBY	เดบบี
DEBEERS	เดอเบียร์ส
DEBEL	เดเบิ้ล
DEBELLEVILLE	เดเบลวิล
DEBELLIS	เดบิลลิส
DEBENHAM	เดอบินเฮิม
DEBIT	เดบิต
DEBIT CARD	เดบิตการ์ด
DEBLOIS	เดบลู
DEBO	ดีโบ
DEBOER	ดิโบเออร์
DEBORAH	เดบอราห์
DEBRA	เดบร้า
DEBRETT	ดีบริต
DEBREU	ดีบรู
DEBRUIN	เดบรูอิน
DEBRUYN	เดไบรน์
DEBS	เดบส์
DEBUS	ดีบิส
DEBUSSY, CLAUDE	เดอบูซี, โกลด
DEBYE	เดบาย
DECA	เดคา
DECAGRAM	เดคากรัม
DECAGRAMME	เดคากรัม
DECALITER	เดคาลิตร
DECAMETRE	เดคาเมตร
DECAMP	เดอแคมป์
DECAPUA	ดีคาพูอา
DECATUR	ดิเคเทอร์
DECHAMPS	เดเชิมป์ส
DECHANT	เดเชิ่นต์
DECI	เดซิ
DECIBEL	เดซิเบล
DECIGRAM	เดซิกรัม
DECIGRAMME	เดซิกรัม
DECILE	เดไซล์
DECILITER	เดซิลิตร
DECILITRE	เดซิลิตร
DECIMETRE	เดซิเมตร
DECIMUS	เดชีเมิส
DECIUS	เดสเซิส
DECK	เดก
DECKARD	ดิกคาร์ด
DECKER	เด็กเคอร์
DECLINATION	เดคลิเนชัน
DECOLLEMENT	เดกอลมอง
DECOR	เดคอร์
DECORA	เดคอร่า
DECORATE	เดคอเรต
DECORE	เดคอร์
DECOSTA	ดีโคสต้า
DECOURCY	เดคูร์คี่
DECT	เดกต์
DEDEKIND	เดเดคินด์
DEDRICK	เดดริก
DEE	ดี
DEED	ดี้ด
DEEDS	ดีดส์
DEEGAN	ดีเกิ้น
DEEJAY	ดีเจ
DEELEY	ดีลีย์
DEEMS	ดิมส์
DEEP FREEZE	ดีปฟรีซ
DEEP FRY	ดีปฟราย
DEER	เดียร์
DEERE	เดียร์
DEERFIELD	เดียร์ฟิลด์
DEERING	เดียริ่ง
DEFALCO	ดีฟอลโค้
DEFELICE	ดีเฟลิส
DEFINITIVE	เดฟินิทีฟ
DEFOE	ดิโฟ
DEFOE, DANIEL	เดโฟ, แดเนียล
DEFORD	เดเฟิร์ด
DEFOREST	ดีฟอร์เริส
DEFRAGMENT	ดิแฟรกเมนต์
DEFRANK	เดเฟริงก์
DEFREITAS	เดไฟรเติส
DEFROST	ดีฟรอสต์
DEGG	เด็กก์
DEGLAZE	ดีเกลซ
DEGRAFF	เดเกริฟ
DEGRAW	เดกรอว์
DEGREE	ดีกรี
DEGREGORY	เดกรีเกอรี่
DEGROOT	เดกรูต
DEHART	เดฮาร์ต
DEHAVEN	เดฮาเวิ่น
DEHAVILLAND	เดเฮอวิลเลินด์
DEHN	เดห์น
DEHYDRATE	ดีไฮเดรต
DEIBEL	ไดเบิล
DEIGHTON	เดตัน
DEIR	เดียร์
DEIRDRE	เดียดรี
DEITZ	ดิตส์
DEKAY	เดอเคย์
DEKKER	เดกเกอร์
DEL	เดล
DELACORTE	เดอเลอคอร์ต
DELACROIX, EUGENE	เดอลากรัว, เออแชน
DELACRUZ	เดอลาครูซ
DELAGARZA	เดอลาการ์ซ่า
DELAMAR	เดลามาร์
DELAMER	เดอลาแมร์
DELAMERE	เดลาแมร์
DELAND	ดีเลิ่นด์
DELANEY	เดอเลนี
DELANO	เดลาโน
DELANO, ROOSEVELT FRANKLIN	เดลาโน, รูสเวลต์ แฟรงคลิน
DELANY	เดลเลอนี่
DELASALLE	เดเลอแซล
DELATOUR	เดเลอทุร์
DELAURO	เดลอโร่
DELAVAN	เดเลอเวิน
DELAWARE	เดลาแวร์
DELAY	ดีเลย์
DELBELLO	เดลเบโล่
DELCANTO	เดลคันโต้
DELEO	เดลีโอ้
DELEON	เดเลี่ยน
DELETE	ดีลีต
DELEVAN	เดลลาเวิ่น
DELF	เดล์ฟ
DELFS	เดล์ฟส
DELFT	เดลฟต์
DELIGATE	เดลิเกต
DELISLE	ดิไลล์
DELIVERY	ดิลิเวอรี
DELK	เดลก์
DELL	เดลล์
DELLA	เดลลา
DELLAS	เดลเลิส
DELLINGER	เดลลิงเงอร์
DELMAR	เดลมาร์
DELMER	เดลเมอร์
DELMORE	เดลมอร์
DELONG	เดอลอง
DELORAINE	เดอลอเรน
DELOS	เดโลส
DELPHI	เดลฟาย
DELPHINIUM	เดลฟีเนียม
DELPHOS	เดลโฟส
DELREAL	เดลเริล
DELRIO	เดลรีโอ้
DELSON	เดลสัน
DELTA	เดลตา
DELTOID	เดลตอยด์
DELUCE	เดลุส
DELUXE	เดอลุกซ์
DELVALLE	เดลแวลลี่
DELVES	เดลวึส
DELVIN	เดลวิน
DEMAITRE	ดีเมทรี้
DEMAN	ดีเมิน
DEMAND	ดีมานด์
DEMANT	ดิเมิ่นต์
DEMANTOID	ดีมันทอยด์
DEMAR	ดีมาร์
DEMARCO	ดีมาร์โค
DEMAREST	เดมาเรสต์
DEMBART	เดทบาร์ต
DEMENT	เดอเมินต์
DEMER	เดเมอร์
DEMERS	ดิมเมิร์ส
DEMETRIUS	ดีเมทรีอิส
DEMING W., EDWARDS	เดมิง ดับเบิลยู., เอดเวิร์ด
DEMO	ดีโม
DEMOCRACY	ดิมอเครซี
DEMOCRAT	เดโมแครต
DEMOCRATIC	เดโมเครติก
DEMONSTRATE	เดมอนสเตรต
DEMOS	เดโมส
DEMPS	เดมป์ส
DEMPSEY	เดมป์ซี่ย์
DEMPSTER	เดมป์สเตอร์
DEMUTH	ดิเมิท
DEMUTH, CHARLES	เดอมุท, ชาลส์
DEN	เดน
DENBY	เดนบี้
DENCH	เดนช์
DENE	ดีน
DENEB	เดเน็บ
DENECKE	เดเนิก
DENHAM	เดอเนิม
DENIKE	เดนิก
DENIKIN	เดนีกิน
DENIM	เดนิม
DENING	ดินิ่ง
DENIO	ดีนีโอ้
DENIRO	เดอนีโร่
DENIS	เดนิส
DENISE	เดนิส
DENISON	เดนีสัน
DENITRIFICATION	ดีไนทริฟิเคชัน
DENITRIFIER	ดีไนทริฟายเออร์
DENKER	เดงเคอร์
DENMAN	เดนเมิ่น
DENNEHY	เดนนีฮี
DENNEN	เดเนิ่น
DENNETT	เดนนิต
DENNEY	เดนนี่ย์
DENNIE	เดนนี่
DENNING	เดนนิ่ง
DENNIS	เดนนิส
DENNISON	เดนนิสัน
DENNISTON	เดนนิสเติ้น
DENNY	เดนนี่
DENNY, ROBYN	เดนนี, รอบิน
DENOYER	เดนอยเออร์
DENS IN DENTAE	เดนส์อินเดนเต
DENSION	เดนเชิน
DENSON	เดนสัน
DENTAL FLOSS	เดนทัลฟลอส
DENTON	เดนทั่น
DENVER, JOHN	เดนเวอร์, จอห์น
DENVILLE	เดนวิลล์
DENYER	เดนเยอร์
DENYS	เดนิส
DENZIL	เดนเซิล
DEOXYRIBONUCLEIC	ดีออกซิไรโบนิวคลิอิก
