aabye	奥比
denton	登顿
dentremont	登特里蒙特
dentsply	登茨普莱
dentz	登茨
dentzer	登策
denunzio	德侬西奥
denuyl	登艾尔
denver	丹佛
denyer	德尼尔
denys	德尼斯
denysyk	德尼西克
denzil	登齐尔
denzinger	登青格
denzler	当兹莱
depalma	德帕尔马
depaulo	德保罗
depenbrock	德彭布罗克
depeny	德佩尼
depew	迪皮尤
depinet	德皮内
depoix	德普瓦
deporte	德波特
depp	德普
depraz	德普拉
depree	德普雷
deprez	德普雷
deprorok	迪普罗罗克
deprospero	德普罗斯佩罗
deptuck	德普塔克
depugh	迪普
depury	德普里
depuy	德普伊
deramus	德雷默斯
derananian	德阿纳尼安
derato	德拉托
derby	德比
derbyshire	德比希尔
derderian	戴德里安
derek	德里克
dereuter	德路透
derge	德奇
derheydt	德海特
derian	德里安
derick	德里克
derifield	德里菲尔德
dering	迪林
derity	德里蒂
derk	德克
derlanger	德朗热
derleth	德莱思
derman	德曼
dermot	德莫特
dern	德恩
dernberger	登伯格
derobeck	德罗贝克
derocco	德罗科
deroche	德罗什
deronde	德龙德
derosa	德罗莎
derounian	德鲁尼安
derow	德罗
derozio	德罗齐奥
derozud	德罗祖德
derr	德尔
derrberry	德里伯里
derrian	德里安
derrick	德里克
derrington	德林顿
derry	德里
derryck	德里克
dershowitz	德肖维茨
derthick	德西克
dertien	德蒂恩
dertinger	德廷格
dervan	德万
derville	德维尔
dervish	德维什
derwent	德温特
derwinski	德温斯基
deryl	德里尔
derzhavin	杰尔扎温
desalmand	德萨尔芒
desapio	德萨皮奥
desborough	德斯伯勒
desbrisay	德布里赛
descamps	德康
desch	德斯
deschler	德斯勒
deseversky	德塞维尔斯基
desfontaines	德方丹
desfor	德斯弗
deshazo	德谢佐
deshong	德尚
desiderius	德西迪里厄斯
desilva	德席尔瓦
desimone	德西蒙
desio	德西奥
deskey	德斯基
deslodge	德洛奇
deslongchamps	德朗尚
desmarais	戴马雷
desmond	德斯蒙德
desola	德索拉
desonia	德索尼亚
desoria	德索里亚
desparo	德斯帕罗
despiegler	德斯皮格勒
despons	德蓬
despres	德普雷斯
desrosiers	德罗齐埃
dessauer	德绍尔
dessel	德塞尔
dession	德申
dessler	德斯勒
dessoir	德索瓦
dessureault	德苏罗
destler	德斯勒
destouches	德图什
desvernine	德斯弗奈因
deters	德特斯
dethmers	德斯默斯
detmar	德特马
detmer	德特默
detmold	德特莫尔德
detray	德特雷
detrick	德特里克
dett	德特
dettinger	德廷杰
dettman	德特曼
dettmar	德特马
detuncq	德通克
deturris	德图里斯
detweiler	德特韦勒
detwiller	德特威勒
detzer	德策尔
deudney	德德尼
deuel	德尔
deukmejian	德克梅吉恩
deupree	德普雷
deury	德里
deus	德乌斯
deuschl	多伊斯尔
deutcher	多伊彻
deutermann	多伊特曼
deutrich	多伊特里希
deutsch	多伊奇
dev	德夫
devadoss	德瓦多斯
devall	德沃尔
devalois	德瓦卢瓦
devane	德韦恩
devaney	德瓦尼
devas	德瓦斯
devaughn	德沃恩
devcon	德夫孔
devendorf	德文多夫
devenish	德夫尼什
devens	德文斯
deventer	德文特
dever	德弗
deverall	德弗罗尔
deverell	德弗雷尔
devereux	德弗罗
deveria	德韦里亚
deverill	德夫里尔
devierno	德维尔诺
devilbiss	德维尔比斯
devilliers	德维利尔斯
devin	德温
devine	迪瓦恩
deviney	迪瓦伊尼
devita	德维塔
devitt	德维特
devlin	德夫林
devon	德文
devonshire	德文希尔
devor	德沃尔
devos	德沃斯
devoto	德沃托
devoy	德沃伊
devree	德夫里
devries	德弗里斯
devunich	德武尼奇
dew	迪尤
dewar	迪尤尔
dewart	德瓦特
dewas	德瓦斯
dewberry	杜伯里
dewe	迪尤
dewease	德威斯
dewell	杜尔
dewenter	德温特
dewing	杜因
dewis	杜伊斯
dewit	德威特
dewolf	德沃尔夫
dews	迪尤斯
dewsbury	迪尤斯伯里
dexter	德克斯特
dextraze	德克斯特雷兹
dey	戴伊
deyoe	戴约
deyon	德永
deyoung	德扬
dezerne	德泽纳
dezoete	德佐特
dhananjay	达南贾伊
dhomme	多姆
dhooghe	德胡赫
dhorme	多尔姆
diack	杰克
diagne	迪亚涅
dial	戴尔
diallo	贾洛
diamanti	迪亚曼蒂
diamond	戴蒙德
dian	戴安
diana	黛安娜
diane	黛安娜
dianne	黛安娜
diarmaid	迪尔梅德
diarmid	迪尔米德
dias	迪亚斯
diaz	迪亚兹
dibben	迪本
dibble	迪布尔
dibdin	迪布丁
diberll	迪布雷尔
diblasi	迪布拉西
dibley	迪布利
dibner	迪布纳
dibona	迪伯纳
dicarlo	迪卡洛
dice	戴斯
dicello	迪塞略
dicey	戴西
dichtel	迪希特尔
dichter	迪希特
dick	迪克
dicke	迪克
dickens	迪肯斯
dicker	迪克尔
dickerman	迪克曼
dickerson	迪克森
dickert	迪克特
dickey	迪基
dickie	迪基
dickins	迪金斯
dickinson	迪金森
dickman	迪克曼
dickmann	迪克曼
dicks	迪克斯
dicksee	迪克西
dickson	迪克森
dickstein	迪克斯坦
diclark	迪克拉克
didel	迪德尔
didion	迪迪翁
didusch	迪杜希
diebold	迪博尔德
dieckman	迪克曼
dieckmann	迪克曼
diedrik	迪德里克
diefenbach	迪芬巴赫
diefenbaker	迪芬贝克
diefendorf	迪芬多夫
dieffenbach	迪芬巴赫
diegelman	迪格尔曼
diego	迭戈
diehl	迪尔
diel	代尔
dieley	迪利
dieman	戴曼
diemand	戴曼德
diemer	迪默
dienna	迪恩纳
dienz	迪恩兹
diepgen	迪普根
diephuis	迪菲斯
diercouff	迪尔考夫
dierks	德克斯
dies	戴斯
diesen	戴森
dieter	迪特尔
dieterlen	迪特朗
dietrich	迪特里希
dietsch	迪奇
dietz	迪茨
dieulafoy	迪厄拉富瓦
diffenderfer	迪芬德弗
diffendor	迪芬德
difranco	迪弗兰科
digges	迪格斯
diggins	迪金斯
diggle	迪格尔
diggs	迪格斯
dignan	迪格南
dijk	戴克
dijkstra	戴克斯特拉
dijon	第戎
dike	戴克
dikeman	戴克曼
dikeos	迪基奥斯
dilberman	迪尔伯曼
dilda	迪尔达
dileo	迪莱奥
dilger	迪尔格
dilhorne	迪尔霍恩
dilke	迪尔克
dill	迪尔
dillahunty	迪拉亨蒂
dillaway	迪拉韦
dille	迪尔
diller	迪勒
dillery	迪勒里
dillin	迪林
dilling	迪林
dillinger	迪林杰
dillingham	迪林厄姆
dillon	狄龙
dillous	迪勒斯
dillow	迪洛
dillworth	迪尔沃斯
dilts	迪尔茨
diluchio	迪卢乔
dilweg	迪尔韦格
dilworth	迪尔沃思
dilys	迪莉斯
dima	迪玛
dimand	戴曼德
dimario	迪马里奥
dimatteo	迪马特奥
dimcoff	迪姆科夫
dimeck	迪梅克
dimeff	迪梅夫
dimick	迪米克
dimit	迪米特
dimiter	迪米特尔
dimitman	迪米特曼
dimitri	迪米特里
dimler	迪姆勒
dimling	迪姆林
dimmick	迪米克
dimmit	迪米特
dimnet	丹内
dimock	迪莫克
dimoline	迪莫兰
dimon	戴蒙
dimond	戴蒙德
dimos	迪莫斯
dimow	迪莫
din	丁
dinah	黛娜
dinan	迪南
dinberg	丁伯格
dinbleby	丁布尔比
dineen	迪宁
dinerman	迪内曼
dinerstein	迪纳斯坦
dines	丹斯
dinesen	丹森
dinesh	迪内希
diness	迪尼斯
ding	丁
dingell	丁格尔
dingelstedt	丁格尔施泰特
dinger	丁格
dingfelder	丁费尔德
dingivan	丁吉万
dingle	丁格尔
dingley	丁利
dinglinger	丁林格
dingman	丁曼
dingwall	丁沃尔
dinham	迪纳姆
dinitz	迪尼茨
dinkel	丁克尔
dinkin	丁金
dinkins	丁金斯
dinkmeyer	丁克迈耶
dinneen	丁南
dinning	丁宁
dino	吉诺
dinsdale	丁斯代尔
dinshaw	丁肖
dinsmoor	丁斯莫尔
dinsmore	丁斯莫尔
dinter	丁特尔
dinunnu	迪侬努
dinunzio	迪侬齐奥
dinwiddie	丁威迪
dinwoodey	丁伍迪
dio	戴奥
dion	戴恩
dionne	迪翁
dionysius	狄奥尼修斯
diop	迪奥普
diouf	迪乌夫
dipalo	迪帕洛
dipasquale	迪帕斯奎尔
dipietro	迪彼特罗
diplock	迪普洛克
diprete	迪普雷特
dipson	迪普森
dirac	迪拉克
dircks	德克斯
dirk	德克
dirlam	德拉姆
disbro	迪斯布罗
disch	迪施
discombe	迪斯科姆
discovery	迪斯卡弗里
diserens	迪塞伦斯
disher	迪舍
dishner	迪什纳
dishroom	迪什鲁姆
disimone	迪西蒙
disler	迪斯勒
disney	迪斯尼
disosway	迪索斯韦
dispenzirie	迪斯彭齐里
disque	迪斯克
disraeli	迪斯雷利
dissanayake	迪萨纳亚克
disspayne	迪斯佩恩
distad	迪斯塔德
distel	迪斯特尔
distelhurst	迪斯特赫斯特
distler	迪斯特勒
ditchburn	迪奇伯恩
ditchett	迪切特
ditchik	迪奇克
ditchy	迪奇
ditisheim	迪蒂斯海姆
ditore	迪托尔
dittman	迪特曼
dittmeier	迪特迈耶
dittmer	迪特默
dittrick	迪特里克
ditty	迪蒂
ditz	迪茨
ditzel	迪策尔
diuguid	迪乌吉德
diusenburg	迪乌森伯格
diveley	戴夫利
diven	戴文
diver	戴弗
divers	戴弗斯
diversey	戴弗西
dives	戴夫斯
divine	迪万
divitt	迪维特
diwoky	迪沃基
dix	迪克斯
dixey	迪克西
dixie	迪克西
dixon	狄克逊
dizard	迪扎德
dizdarevic	迪兹达雷维奇
dizzy	迪齐
djerejian	杰雷吉安
djiewanowski	杰瓦诺斯基
djilas	吉拉斯
dlamini	德拉米尼
dmitri	德米特里
dmitry	德米特里
dmitryk	德米特里克
dmowski	德莫夫斯基
dnieper	第聂伯河
doak	多克
doall	多尔
doan	多恩
doane	多恩
doar	多尔
dobb	多布
dobbie	多比
dobbin	多宾
dobbins	多宾斯
dobbs	多布斯
dobell	多贝尔
dobelle	多贝尔
doben	多宾
dobereiner	德贝赖纳
dobie	多比
dobin	迪宾
dobino	杜比诺
dobinsky	多宾斯基
dobinson	多宾森
dobkin	多布金
doble	多布尔
dobner	多布纳
dobranski	多布兰斯基
dobre	多布蕾
dobrianski	多布里扬斯基
dobriansky	多布里扬斯基
dobrin	多布林
dobrovir	多布罗维尔
dobson	多布森
doby	多比
dobyns	多宾斯
docas	多卡斯
docherty	多彻蒂
dock	多克
docker	多克尔
dockery	多克里
docking	多金
docksai	多克赛
doctoroff	多克托罗夫
dod	多德
dodd	多德
doddridge	多德里奇
dodds	多兹
doddson	杜森
doder	多德尔
dodge	道奇
dodgson	道奇森
dodie	多迪
dodington	多丁顿
dodson	多德森
dodsworth	多兹沃斯
dodwell	多德韦尔
doe	多伊
doebler	多布勒
doehler	多赫勒
doering	多林
doerr	多尔
doerschuk	多尔舒克
doesburg	杜斯堡
doetsch	多伊奇
dofan	多夫
dofort	多福特
dogan	多安
doganis	多加尼斯
doggart	多加特
doggett	多格特
doggette	多格特
dogin	多金
dogoloff	多戈洛夫
dohanos	多哈诺斯
doherty	多尔蒂
dohm	多姆
dohner	多纳
dohrenwend	多伦温德
dohrn	多恩
doidge	多伊奇
doig	多伊格
doiman	多伊曼
doisey	多伊西
doisneau	杜瓦诺
doisy	多伊西
doke	多克
dokken	多肯
dokoupil	多考皮尔
doktor	多克托尔
dola	多拉
dolak	多拉克
dolan	多兰
doland	多兰
dolbear	多比尔
dolben	多尔宾
dolce	多尔切
dolder	多尔德
dole	多尔
dolezal	多尔扎尔
dolgikh	多尔吉赫
dolgun	多尔贡
dolgushin	多尔古申
dolibois	多利布瓦
dolier	多利埃
dolin	多林
dolio	多利奥
doliver	多利弗
doll	多尔
dollar	多拉尔
dollard	多拉德
dollarhide	多拉希德
dollas	多拉斯
dolleck	多利克
dolley	多利
dollinger	多林格
dolliver	多利弗
dollman	多尔曼
dollof	多洛夫
dolly	多利
dolmetsch	多尔梅奇
dolores	多洛雷斯
dolphin	多尔芬
dolson	多尔森
dolve	多尔夫
dolvin	多尔文
domain	多曼
doman	多曼
domanici	多马尼西
domar	多马
domenici	多梅尼西
domhoff	多姆霍夫
domick	多米克
domike	多米克
domingo	多明戈
dominguez	多明格斯
domingus	多明格斯
dominic	多米尼克
dominick	多米尼克
dominicus	多米尼克斯
dominis	多米尼斯
dominy	多米尼
domke	多姆克
domm	多姆
dommen	多门
domogauer	多莫高尔
dompier	唐皮埃尔
dompierre	唐皮埃尔
domvile	多姆维尔
domville	多姆维尔
don	唐
donachie	多纳基
donagh	多纳
donagher	多纳格
donaghy	多纳希
donaho	多纳霍
donahue	多纳休
donal	多纳尔
donaldson	唐纳森
donat	多纳特
donato	多纳托
donatus	多纳图斯
donaty	多纳蒂
donaugh	多诺
doncaster	唐卡斯特
dondero	唐德罗
done	多恩
donegal	多尼戈尔
donegan	多尼根
donelan	唐兰
donelin	唐林
donell	唐奈
donelson	多纳尔森
donely	唐利
doner	多纳
dones	多恩斯
doney	多尼
donges	多涅斯
donghi	唐伊
donham	多纳姆
donielson	多尼尔森
doniphan	多尼芬
donisthorpe	多尼索普
donkin	唐金
donkor	唐科
donkova	东科娃
donlan	唐兰
donlavey	唐拉维
donlevy	唐利维
donley	唐利
donlin	唐伦
donlon	唐隆
donn	唐
donna	唐娜
donnahoo	多纳霍
donnally	唐纳利
donnan	唐南
donne	多恩
donnell	唐奈
donnelley	唐纳利
donnelly	唐纳利
donner	唐纳
donney	唐尼
donnie	唐尼
donnison	唐尼森
donnithorne	唐尼索恩
donnovin	唐诺文
donock	多诺克
donoghue	多诺霍
donoho	多诺霍
donohoe	多诺霍
donohue	多诺霍
donough	多诺
donoughmore	多诺莫尔
donovan	多诺万
donworth	唐沃斯
doob	杜布
doods	杜兹
dooher	杜埃尔
doolan	杜兰
doole	杜尔
dooley	杜利
doolin	杜林
doolittle	杜利特尔
doonam	杜南
doone	杜恩
door	多尔
doorley	多尔利
doorly	杜尔利
doorn	多恩
dopler	多普勒
dopping	多平
dora	多拉
doral	多勒尔
doralie	多拉利
doran	多兰
dorcus	多克斯
dorcy	多西
dore	多尔
doreen	多琳
doremus	多里默斯
dorety	多尔蒂
dorf	多尔夫
dorian	多里安
dorinda	多琳达
dorion	多里昂
doris	多丽丝
dorland	多兰
dorling	多林
dorman	多尔曼
dormer	多默
dorn	多恩
dornan	多南
dornberg	多恩伯格
dorny	多尼
doron	多伦
doroshaw	多罗肖
doroshenko	多罗申科
dorothee	多萝泰
dorothy	多萝西
dorr	多尔
dorrance	多兰斯
dorrell	多雷尔
dorris	多里斯
dorros	多罗斯
dorsay	多尔赛
dorse	多尔斯
dorsett	多塞特
dorsey	多尔西
dorson	多尔松
dorst	多斯特
dorsz	多尔斯
dortignac	多蒂尼亚克
dorward	多沃德
dorwin	多温
dose	多斯
dosedlo	多塞德洛
dosik	多西克
doss	多斯
dossett	多塞特
dossetter	多塞特
dost	多斯特
dostal	多斯特尔
doster	多斯特
dostert	多斯特尔特
doston	多斯顿
doten	多滕
dotson	多森
dott	多特
dotterweich	多特韦克
dottie	多蒂
doty	多蒂
dou	杜
douai	杜埃
douall	道尔
doub	道布
doubek	道比克
doubinsky	杜宾斯基
doubleday	道布尔迪
doubles	道布尔斯
doucet	杜塞
doud	杜
doug	道格
dougal	杜格尔
dougall	杜格尔
doughton	道顿
doughty	道蒂
douglas	道格拉斯
douglass	道格拉斯
dougle	杜格尔
doukan	杜康
doull	道尔
doulton	道尔顿
doune	杜恩
dourian	杜里安
douro	杜罗
doust	道斯特
douthirt	杜瑟特
douthit	杜西特
douthwaite	杜斯韦特
douty	道蒂
douville	杜维尔
dove	达夫
dovell	多维尔
dover	多弗
doveton	多夫顿
dowall	道尔
dowd	多德
dowdall	多德尔
dowden	道登
dowding	道丁
dowdle	多德尔
dowdy	道蒂
dowell	道尔
dower	道尔
dowie	道伊
dowland	道兰
dowler	道勒
dowling	道林
down	唐
downen	唐嫩
downer	唐纳
downes	唐斯
downey	唐尼
downie	唐尼
downing	唐宁
downs	唐斯
downton	唐顿
downtown	唐敦
dows	道斯
dowse	道斯
dowsett	多塞特
dowson	道森
dowty	道蒂
doyal	多亚尔
doyle	多伊尔
doyly	多伊利
dozer	多泽
dozier	多齐尔
drabble	德拉布尔
drach	德拉克
drachman	德拉克曼
draeger	德雷格
draffan	德拉芬
draft	德拉夫特
dragan	德勒冈
drage	德雷奇
dragoco	德拉戈科
dragon	德拉贡
dragonette	德拉贡内特
dragonetti	德拉戈内蒂
dragor	德拉戈
dragstedt	德拉格斯太特
dragunov	德拉古诺夫
draheim	德拉海姆
drake	德雷克
drakeley	德雷克利
drakert	德雷克特
drance	德兰斯
drane	德雷恩
drant	德兰特
draper	德雷珀
drath	德拉斯
dratz	德拉茨
draut	德劳特
draver	德雷弗
draw	德劳
drawbell	德劳贝尔
drax	德拉克斯
drayfahl	德雷法尔
drayne	德雷恩
drayson	德雷森
drayton	德雷顿
drazek	德拉泽克
drebes	德雷布斯
dred	德雷德
drees	德雷斯
dreese	德里斯
dregge	德雷奇
dregne	德雷涅
dreier	德赖尔
dreikurs	德雷屈尔
dreiser	德莱塞
dreiske	德赖斯克
dreith	德赖斯
drell	德雷尔
drennan	德雷南
drennen	德雷宁
drenz	德伦兹
dresbach	德雷斯巴赫
dresch	德雷施
drescher	德雷舍
dreschfield	德雷斯菲尔德
dresdel	德雷斯德尔
dresden	德累斯顿
dressel	德雷斯尔
dressendorfer	德雷森多弗
dresser	德雷瑟
dresslar	德雷斯勒
dressler	德雷斯勒
drever	德雷弗
dreves	德雷夫斯
drew	德鲁
drewe	德鲁
drewes	德鲁斯
drewett	德鲁伊特
drewry	德鲁里
drexel	德雷克塞尔
drexler	德雷克斯勒
dreyer	德雷尔
dreyfus	德赖弗斯
dreylinger	德雷林格
dreypool	德雷普尔
dreyse	德赖泽
dribben	德里本
dribbon	德里本
driberg	德赖伯格
drickey	德里基
dries	德赖斯
driessen	德里森
driessnack	德里斯纳克
driftmier	德里夫迈尔
driggs	德里格斯
drimmer	德里默
drinan	德里南
dring	德林
drinkall	德林考尔
drinkard	德林卡德
drinker	德林克
drinkhall	德林克霍尔
drinkwater	德林克沃特
drischler	德里斯勒
driscoll	德里斯科尔
driver	德赖弗
drob	德罗布
droege	德罗奇
drogheda	德罗伊达
drohat	德罗哈特
droke	德罗克
droney	德罗尼
dronfield	德龙菲尔德
drooks	德鲁克斯
droop	德鲁普
drosdoff	德罗斯多夫
droske	德罗斯克
droste	德罗斯特
drought	德劳特
drouin	德劳因
droullard	德劳拉德
drower	德劳尔
drowley	德劳利
drozdova	德罗兹多娃
dru	德鲁
druand	杜兰德
druckenmiller	德鲁肯米勒
drucker	德鲁克
drucquet	德吕盖
drude	德吕德
druen	德鲁恩
druffel	德鲁费尔
druitt	德鲁伊特
drukker	德鲁克
drumalbyn	德拉马尔宾
drumgo	德拉姆戈
drummeter	德鲁米特
drummond	德拉蒙德
drummy	德鲁米
drumright	德鲁姆赖特
drury	德鲁里
drustrup	德鲁斯特拉普
dryberg	德赖伯格
dryden	德赖登
drydes	德赖兹
dryer	德赖尔
dryerre	德赖尔
dryfoss	德赖富斯
drysdale	德赖斯代尔
dua	杜瓦
duald	杜尔德
duane	杜安
duarte	杜瓦蒂
dubas	杜巴斯
dubcek	杜布切克
dube	杜布
duberg	杜伯格
duberman	杜伯曼
duberstein	杜伯斯坦
dubey	迪贝
dubicki	杜比基
dubignon	杜比尼翁
dubilier	杜比利埃
dubinin	杜比宁
dubinsky	杜宾斯基
duble	达布尔
dublin	达布林
dubois	杜波伊斯
dubose	杜伯斯
dubridge	杜布里奇
dubrovnik	杜布罗夫尼克
dubrow	杜布罗
dubrul	杜布鲁尔
dubs	达布斯
duby	达比
ducander	杜坎德
ducane	杜坎
ducasse	杜卡塞
duccio	杜乔
duce	杜斯
ducey	杜西
duchamp	迪尚
duchin	达钦
duchworth	达克沃斯
ducker	达克
duckett	达克特
ducommun	杜科蒙
dud	达德
duda	杜达
duddon	达登
dudek	杜德克
duden	杜登
duder	杜德尔
dudgeon	达吉恩
dudman	达德曼
dudney	达德尼
dudok	杜多克
dudziak	杜齐亚克
due	迪尤
duel	迪尤尔
duell	迪尤尔
duemler	杜姆勒
duemling	杜姆林
duer	杜尔
duerk	杜尔克
duesenberry	杜森伯里
duesman	杜斯曼
dufek	杜费克
duff	达夫
duffee	达菲
dufferin	达弗林
duffes	达弗斯
duffey	达菲
duffie	达菲
duffield	达菲尔德
duffin	达芬
duffle	达夫尔
dufflon	杜弗隆
duffus	达弗斯
duffy	达菲
dufner	达夫纳
dufresne	迪弗雷纳
dufy	迪菲
dugald	杜格尔德
dugan	杜根
dugas	杜加斯
duggan	达根
duggar	达格尔
duggin	达金
duglish	达格利什
dugmore	达格莫尔
dugoff	杜戈夫
duguid	杜吉德
duhem	迪昂
duignan	杜伊格南
duin	杜因
duisberg	杜伊斯贝格
dujardin	杜雅尔丁
duka	杜卡
duke	杜克
dukes	杜克斯
dukinfield	达金菲尔德
dula	杜拉
dulacki	杜拉茨基
dulan	杜兰
dulaney	杜拉尼
dulanty	杜兰蒂
dulany	杜拉尼
dulbecco	杜尔贝科
dulberg	达尔伯格
dulcan	达尔肯
dulce	达尔西
dulcie	达尔西
duley	杜利
dulin	达林
dull	达尔
dullea	达利
dulles	杜勒斯
dullforce	达尔福斯
dullzell	达尔泽尔
dulski	杜尔斯基
duluth	德卢斯
dulwich	达利奇
dumaine	杜梅因
dumas	杜马
dumaurier	杜莫里埃
dumay	迪迈
dumbarton	邓巴顿
dumbauld	邓伯尔德
dumble	邓布尔
dumfries	邓弗里斯
dumiaux	杜米奥
dumke	杜姆克
dumler	杜姆勒
dumm	达姆
dummer	达默
dummit	达米特
dumond	杜蒙德
dumont	杜蒙
dumouchel	杜穆谢尔
dumphie	邓菲
dumpleton	邓普尔顿
dun	邓恩
dunathan	达纳森
dunavant	杜纳万特
dunaway	达纳韦
dunbabin	邓巴宾
dunbaugh	邓伯
duncalf	邓卡夫
duncalfe	邓卡夫
duncan	邓肯
duncannon	邓坎侬
duncanson	邓肯森
dunckel	邓克尔
duncker	东克尔
duncombe	邓库姆
dunderdale	邓德代尔
dundza	邓扎
dunford	邓福德
dungan	邓根
dunglass	邓格拉斯
dunglinson	邓格林森
dunglison	邓格利森
dunham	邓纳姆
dunhill	邓希尔
duni	杜尼
duniway	达尼韦
dunk	邓克
dunkelberg	邓克尔伯格
dunkelberger	邓克尔伯格
dunkerley	邓克利
dunkin	邓金
dunkle	邓克尔
dunkleberger	邓克尔伯格
dunkley	邓克利
dunlaevy	邓拉维
dunlap	邓拉普
dunluce	邓卢斯
dunmmor	邓莫尔
dunn	邓恩
dunnagan	邓纳根
dunnahoo	邓纳霍
dunnan	邓南
dunne	邓恩
dunnell	邓内尔
dunnells	邓内尔斯
dunner	邓纳
dunnicliff	邓尼克利夫
dunnie	邓尼
dunnigan	邓尼根
dunning	邓宁
dunninger	邓宁格
dunnington	邓宁顿
dunoyer	迪努瓦耶
dunphie	邓菲
dunphy	邓菲
dunrobin	邓罗宾
dunrossil	邓罗西尔
dunseath	邓西斯
dunsheath	邓希斯
dunshee	邓希
dunsmoor	邓斯穆尔
dunsmore	邓斯莫尔
dunst	邓斯特
dunsterville	邓斯特维尔
dunwoodie	邓伍迪
dunzweiler	邓兹韦勒
dupka	杜普卡
duplan	杜普兰
duplessis	杜普莱西
dupond	迪蓬
dupont	杜邦
duport	杜波特
duprat	杜普拉特
dupre	杜普雷
dupuis	迪普伊
dupuy	迪普伊
duque	杜凯
duquesne	迪凯纳
durack	杜拉克
duran	杜兰
durand	杜兰德
durango	杜兰戈
duranleau	杜兰洛
durant	杜兰特
durante	杜兰特
duranty	杜兰蒂
durbin	德宾
durbridge	德布里奇
durbrow	德布罗
durden	德登
durdin	德丁
duren	杜伦
durenberger	达伦伯杰
durey	杜里
durfee	德菲
durgin	德金
durham	德拉姆
durholt	德霍尔特
duricka	杜里卡
durisch	杜里希
durkee	德基
durkheim	迪尔凯姆
durkin	德金
durling	德林
durnell	德内尔
durnford	邓福德
durning	德宁
durno	杜尔诺
duro	杜罗
duroin	杜罗因
duron	杜龙
duross	杜罗斯
durran	达兰
durrant	达兰特
durrell	达雷尔
durrett	达雷特
durrow	达罗
durso	杜尔索
durst	德斯特
durstine	德斯廷
durward	德沃德
dury	杜里
duryea	杜里埃
duryee	杜里埃
dusard	杜萨德
dusault	杜索尔特
duscha	杜沙
dusenberg	杜森伯格
dusenberry	杜森伯里
dushanbe	杜尚别
dushkin	杜什金
duskin	达斯金
dusko	达斯科
dussaud	迪索
dussaut	迪索
dusseau	杜索
dussek	杜塞克
dussell	达塞尔
dustman	达斯特曼
dutcher	达彻
dutchess	达切斯
duthie	达西
dutrow	达特罗
dutschke	杜奇克
dutt	达特
dutterer	达特勒
dutton	达顿
duttweiler	杜特韦勒
duty	迪蒂
duval	杜瓦尔
duvalier	杜瓦利埃
duvall	杜瓦尔
duvivier	杜维维耶
dux	杜克斯
duxbury	达克斯伯里
duyvendak	德伊文达克
duzy	杜齐
dveen	杜维恩
dvorak	德沃夏克
dwan	德万
dwayne	德韦恩
dweling	德韦林
dwelley	德韦利
dwelly	德韦利
dwigans	德威甘斯
dwiggins	德威金斯
dwight	德怀特
dwinell	德维内尔
dwornik	德沃尼克
dworschak	德沃夏克
dwyer	德怀尔
dwyre	德怀尔
dyall	戴尔
dyas	戴斯
dybal	戴巴尔
dybvik	迪布维克
dyce	戴斯
dyche	戴奇
dyde	戴德
dye	戴伊
dyer	戴尔
dyers	戴尔斯
dyess	迪埃斯
dyett	戴特
dygrad	迪格
dyhrenfurth	迪伦弗斯
dyke	戴克
dykes	戴克斯
dykman	戴克曼
dykstra	戴克斯特拉
dylan	迪伦
dym	迪姆
dymally	迪马利
dyment	戴门特
dymond	戴蒙德
dynan	戴南
dyneley	戴恩利
dynes	戴恩斯
dyno	戴莫
dyrd	戴尔德
dyrne	戴恩
dyrness	德尼斯
dysart	戴萨特
dyson	戴森
dystel	迪斯特尔
dzus	祖斯
eachard	伊查德
eachen	伊琴
eachon	伊琼
eachron	埃克伦
eacker	埃克
eade	伊德
eader	伊德尔
eades	伊兹
eadie	伊迪
eadon	伊登
eads	伊兹
eadweard	埃德沃德
eady	伊迪
eagan	伊根
eagen	伊根
eager	伊格
eagger	伊格
eagle	伊格尔
eagleberger	伊格尔伯格
eagleburger	伊格尔伯格
eagles	伊格尔斯
eaglesham	伊格尔沙姆
eagleson	伊格尔森
eagleston	伊格尔斯顿
eagleton	伊格尔顿
eajes	伊杰斯
eakens	埃肯斯
eaker	埃克
eakin	埃金
eakins	埃金斯
eales	伊尔斯
eamer	伊默
eames	埃姆斯
eamon	埃蒙
eard	厄德
eardley	厄德利
earengey	埃伦盖
earhart	埃尔哈特
earl	厄尔
earle	厄尔
earleen	厄尔林
earlom	厄勒姆
early	厄尔利
earmarth	厄马斯
earnest	欧内斯特
earnshaw	厄恩肖
earp	厄普
easby	伊斯比
easey	伊西
easley	伊斯利
easlick	伊斯利克
eason	伊森
eassie	伊西
easson	伊森
east	伊斯特
east chicago	东芝加哥
east hartford	东哈特福德
eastburn	伊斯特本
easter	伊斯特尔
easterbrook	伊斯特布鲁克
easterbrooke	伊斯特布鲁克
easterday	伊斯特迪
easterling	伊斯特林
easterly	伊斯特利
easterman	伊斯特曼
eastham	伊斯特汉
eastick	伊斯蒂克
eastlick	伊斯特利克
eastman	伊斯门
easton	伊斯顿
eastridge	伊斯特里奇
eastvold	伊斯特沃尔德
eastwick	伊斯特威克
eastwood	伊斯特伍德
easum	伊萨姆
eather	伊瑟
eaton	伊顿
eavenson	埃文森
eaves	伊夫斯
ebaugh	伊伯
ebbecke	埃贝克
ebbels	埃贝尔斯
ebbisham	埃比沙姆
